dataset,sequence,condition,backend,recording,rule,frames,ospa,gospa,loc2,miss2,false2,countError,outputCount
v2v_development,0001,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,original,114,4.487199868596875,4.329729410357748,0.8846721147567078,18.94736842105263,21.473684210526315,0.5263157894736842,0.8421052631578947
v2v_development,0001,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,paired_veto,114,4.487199868596875,4.329729410357748,0.8846721147567078,18.94736842105263,21.473684210526315,0.5263157894736842,0.8421052631578947
v2v_development,0001,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,positive_rejected_veto,114,4.487199868596875,4.329729410357748,0.8846721147567078,18.94736842105263,21.473684210526315,0.5263157894736842,0.8421052631578947
v2v_development,0001,intermittent,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,negative_rejected_veto,114,4.487199868596875,4.329729410357748,0.8846721147567078,18.94736842105263,21.473684210526315,0.5263157894736842,0.8421052631578947
v2v_development,0002,reliable,GCE,testoutput_CAV_data_2022-03-15-10-29-43,original,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,0.5694444444444444
v2v_development,0002,reliable,GCE,testoutput_CAV_data_2022-03-15-10-29-43,paired_veto,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,0.5694444444444444
v2v_development,0002,reliable,GCE,testoutput_CAV_data_2022-03-15-10-29-43,positive_rejected_veto,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,0.5694444444444444
v2v_development,0002,reliable,GCE,testoutput_CAV_data_2022-03-15-10-29-43,negative_rejected_veto,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,0.5694444444444444
v2v_development,0002,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,original,144,3.9269747205540946,3.4676263209915614,0.08554200387392989,22.5,10.5,0.2916666666666667,0.5694444444444444
v2v_development,0002,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,paired_veto,144,3.9269747205540946,3.4676263209915614,0.08554200387392989,22.5,10.5,0.2916666666666667,0.5694444444444444
v2v_development,0002,reliable,Guarded Scalar,testoutput_CAV_data_2022-03-15-10-29-43,positive_rejected_veto,144,3.9269747205540946,3.4676263209915614,0.08554200387392989,22.5,10.5,0.2916666666666667,0.5694444444444444
