sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
0001,reliable,marked_gaussian_evidence,114,4.037052225727778,3.9220392071945795,0.8615224587847625,18.94736842105263,16.42105263157895,0.45614035087719296,700032,700032,3764736,4.192718208333333
0001,reliable,marked_gaussian_evidence_assoc_split,114,3.4787776201622225,3.3616601685641543,0.6864921457555748,13.894736842105264,16.42105263157895,0.38596491228070173,835552,835552,3764736,2.932304916666667
0001,reliable,marked_gaussian_evidence_assoc_quality,114,3.4787776201622225,3.3616601685641543,0.6864921457555748,13.894736842105264,16.42105263157895,0.38596491228070173,835552,835552,3764736,2.2053731666666665
0001,reliable,marked_gaussian_evidence_assoc_nis,114,3.5425491894763077,3.4376173745295935,0.7269806295907886,14.526315789473685,16.42105263157895,0.39473684210526316,834720,834720,3764736,2.264874333333333
0001,reliable,marked_gaussian_evidence_assoc_quality_nis,114,3.5425491894763077,3.4376173745295935,0.7269806295907886,14.526315789473685,16.42105263157895,0.39473684210526316,834720,834720,3764736,2.4463755833333334
0001,intermittent,marked_gaussian_evidence,114,4.491388169980095,4.352179450052706,0.862286002902925,18.94736842105263,22.105263157894736,0.5350877192982456,786976,573472,3764736,2.5855473333333334
0001,intermittent,marked_gaussian_evidence_assoc_split,114,3.9328045742203943,3.7913499522331344,0.6858666440904524,13.894736842105264,22.105263157894736,0.4649122807017544,937472,685088,3764736,2.499405708333333
0001,intermittent,marked_gaussian_evidence_assoc_quality,114,3.9328045742203943,3.7913499522331344,0.6858666440904524,13.894736842105264,22.105263157894736,0.4649122807017544,937472,685088,3764736,2.36907925
0001,intermittent,marked_gaussian_evidence_assoc_nis,114,3.9966671767011217,3.8674463918867756,0.7267404770386755,14.526315789473685,22.105263157894736,0.47368421052631576,937472,685088,3764736,3.4821256666666667
0001,intermittent,marked_gaussian_evidence_assoc_quality_nis,114,3.9966671767011217,3.8674463918867756,0.7267404770386755,14.526315789473685,22.105263157894736,0.47368421052631576,937472,685088,3764736,2.074434166666667
0006,reliable,marked_gaussian_evidence,304,5.4765182937340855,10.770003801373571,4.905353438209171,64.65789473684211,80.52631578947368,1.1151315789473684,7949312,7949312,13021184,31.428363916666665
0006,reliable,marked_gaussian_evidence_assoc_split,304,5.668170939357905,11.304761653044885,4.638596489769514,66.78947368421052,91.42105263157895,1.243421052631579,8829088,8829088,13922304,32.003441583333334
0006,reliable,marked_gaussian_evidence_assoc_quality,304,5.5211437202961715,10.929013458776566,4.638596489654376,66.78947368421052,83.60526315789474,1.1348684210526316,8919360,8919360,13922304,28.067951666666666
0006,reliable,marked_gaussian_evidence_assoc_nis,304,5.62354551279582,11.145751995641891,4.905353438324309,64.65789473684211,88.34210526315789,1.2236842105263157,9300832,9300832,14381056,29.17765125
0006,reliable,marked_gaussian_evidence_assoc_quality_nis,304,5.4765182937340855,10.770003801373571,4.905353438209171,64.65789473684211,80.52631578947368,1.1151315789473684,9391104,9391104,14381056,32.467800583333336
0006,intermittent,marked_gaussian_evidence,304,5.547432849060025,10.922876787450804,2.32710535462426,66.07894736842105,87.51315789473684,1.2351973684210527,7543104,5880832,12660736,23.536245791666666
0006,intermittent,marked_gaussian_evidence_assoc_split,304,5.713667294532063,11.344746218354773,2.3271053546278253,66.07894736842105,96.27631578947368,1.356907894736842,8817024,6856768,13496320,25.041371583333333
0006,intermittent,marked_gaussian_evidence_assoc_quality,304,5.547432849060025,10.922876787450804,2.32710535462426,66.07894736842105,87.51315789473684,1.2351973684210527,8911040,6947456,13496320,26.34447075
0006,intermittent,marked_gaussian_evidence_assoc_nis,304,5.713667294532063,11.344746218354773,2.3271053546278253,66.07894736842105,96.27631578947368,1.356907894736842,8817024,6856768,13496320,24.656146916666668
0006,intermittent,marked_gaussian_evidence_assoc_quality_nis,304,5.547432849060025,10.922876787450804,2.32710535462426,66.07894736842105,87.51315789473684,1.2351973684210527,8911040,6947456,13496320,24.873284166666668
0007,reliable,marked_gaussian_evidence,221,2.889940560312305,8.985144534339545,10.539414288708471,67.76470588235294,45.61085972850679,0.9864253393665159,8754304,8754304,12754176,32.167506125
0007,reliable,marked_gaussian_evidence_assoc_split,221,2.881061401498783,8.993593787576447,10.519253651956518,66.78733031674209,46.588235294117645,0.9592760180995475,10351328,10351328,14441728,35.32690266666667
0007,reliable,marked_gaussian_evidence_assoc_quality,221,2.881068446585,8.993637992526093,10.520662323407302,66.78733031674209,46.588235294117645,0.9592760180995475,10351328,10351328,14441728,30.059599916666667
0007,reliable,marked_gaussian_evidence_assoc_nis,221,2.883220795166507,8.97331626734752,10.835215822342853,67.1131221719457,45.61085972850679,0.9773755656108597,10345920,10345920,14425344,30.582786458333334
0007,reliable,marked_gaussian_evidence_assoc_quality_nis,221,2.8832278256212547,8.973363875993426,10.836624487541025,67.1131221719457,45.61085972850679,0.9773755656108597,10345920,10345920,14425344,32.58189741666666
0007,intermittent,marked_gaussian_evidence,221,3.6677597469572776,12.074982670543115,29.543906028110236,144.81447963800906,68.90497737556561,1.4298642533936652,8916224,5521472,12492032,23.431591333333333
0007,intermittent,marked_gaussian_evidence_assoc_split,221,3.9744603419248006,12.757390102991977,29.634933133762054,149.70135746606334,69.39366515837104,1.4592760180995474,10427456,6475328,14703872,24.151070916666665
0007,intermittent,marked_gaussian_evidence_assoc_quality,221,3.63642668676458,12.007793918973913,29.68292377667401,141.71945701357467,69.39366515837104,1.3846153846153846,10436608,6483648,14703872,26.719754791666666
0007,intermittent,marked_gaussian_evidence_assoc_nis,221,3.997872372492166,12.80966428836502,29.866313427953294,152.1447963800905,68.7420814479638,1.493212669683258,10491936,6484480,14736640,23.806877958333335
0007,intermittent,marked_gaussian_evidence_assoc_quality_nis,221,3.6598386977584845,12.060068729569558,29.914304172964624,144.16289592760182,68.7420814479638,1.418552036199095,10501088,6493216,14736640,24.531772041666667
