dataset,cohort,sequence,scene,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,wire_bytes,raw_payload_bytes,delivered_raw_bytes,split_branches
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_er,114,5.284570949201942,4.994748901378376,0.8812895059693315,20.210526315789473,27.157894736842106,0.6228070175438597,,,,
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_asymmetric,114,4.048104151053303,3.9357250864807325,0.8950412149618395,18.94736842105263,16.42105263157895,0.45614035087719296,,,,
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_guarded_scalar,114,4.048104147664298,3.9357250824380894,0.8950411671475578,18.94736842105263,16.42105263157895,0.45614035087719296,3764736,730304,730304,0
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_no_curvature,114,4.037052223160187,3.92203920439619,0.8615224688226395,18.94736842105263,16.42105263157895,0.45614035087719296,,,,
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_fixed_025,114,4.775347042106354,4.50045714446888,0.8667178783592937,20.842105263157894,19.57894736842105,0.5263157894736842,,,,
v2v,development,test_0001,testoutput_CAV_data_2022-03-15-10-29-43_3,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence,114,4.037052225727778,3.9220392071945795,0.8615224587847625,18.94736842105263,16.42105263157895,0.45614035087719296,3764736,700032,700032,0
v2v,development,test_0002,testoutput_CAV_data_2022-03-15-10-29-43_4,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_lineage,144,3.954912228731807,3.4963648789971296,0.1023588537686483,22.5,11.25,0.3020833333333333,,,,
v2v,development,test_0002,testoutput_CAV_data_2022-03-15-10-29-43_4,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_er,144,4.192447439076712,3.7214945421485774,0.11112508125955875,20.0,14.0,0.3472222222222222,,,,
v2v,development,test_0002,testoutput_CAV_data_2022-03-15-10-29-43_4,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_asymmetric,144,4.092658078600703,3.547163657763145,0.10234618307487765,22.5,10.25,0.2951388888888889,,,,
v2v,development,test_0002,testoutput_CAV_data_2022-03-15-10-29-43_4,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_guarded_scalar,144,4.092658065279272,3.547163626694582,0.10234571010076057,22.5,10.25,0.2951388888888889,4755456,512224,404768,0
v2v,development,test_0002,testoutput_CAV_data_2022-03-15-10-29-43_4,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_no_curvature,144,4.036525444108323,3.5340761547243553,0.0983341750412885,22.0,11.0,0.2986111111111111,,,,
v2v,development,test_0002,testoutput_CAV_data_2022-03-15-10-29-43_4,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_fixed_025,144,4.208256087821075,3.724824738379679,0.10209018274518258,21.5,13.25,0.3368055555555556,,,,
v2v,development,test_0002,testoutput_CAV_data_2022-03-15-10-29-43_4,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence,144,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333,4755456,507648,401248,0
v2v,development,test_0002,testoutput_CAV_data_2022-03-15-10-29-43_4,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_lineage,144,3.95051734733339,3.5041893371967965,0.08339223829578074,23.0,11.0,0.3055555555555556,,,,
v2v,development,test_0002,testoutput_CAV_data_2022-03-15-10-29-43_4,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_er,144,4.0016379766126455,3.5241810254457397,0.09728976631288716,19.5,12.0,0.3541666666666667,,,,
v2v,development,test_0002,testoutput_CAV_data_2022-03-15-10-29-43_4,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_asymmetric,144,3.926974960639229,3.4676265610767056,0.08554223387384982,22.5,10.5,0.2916666666666667,,,,
v2v,development,test_0002,testoutput_CAV_data_2022-03-15-10-29-43_4,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_guarded_scalar,144,3.9269747205540946,3.4676263209915614,0.08554200387392989,22.5,10.5,0.2916666666666667,4755456,459776,459776,0
v2v,development,test_0002,testoutput_CAV_data_2022-03-15-10-29-43_4,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_no_curvature,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,,,,
v2v,development,test_0002,testoutput_CAV_data_2022-03-15-10-29-43_4,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_fixed_025,144,4.094600363817548,3.63557299431951,0.08511434019889359,22.0,12.0,0.3333333333333333,,,,
v2v,development,test_0002,testoutput_CAV_data_2022-03-15-10-29-43_4,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,4755456,478784,478784,0
v2v,development,test_0003,testoutput_CAV_data_2022-03-17-10-50-46_0,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_lineage,198,6.889729521033739,16.738350711820754,13.273366641957713,268.90909090909093,66.18181818181819,3.4823232323232323,,,,
v2v,development,test_0003,testoutput_CAV_data_2022-03-17-10-50-46_0,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_er,198,6.705566631599712,16.461443399140787,12.923606215916962,255.63636363636363,70.54545454545455,3.313131313131313,,,,
v2v,development,test_0003,testoutput_CAV_data_2022-03-17-10-50-46_0,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_asymmetric,198,6.700680570668571,16.31404133910915,11.832249439633204,270.72727272727275,60.72727272727273,3.477272727272727,,,,
v2v,development,test_0003,testoutput_CAV_data_2022-03-17-10-50-46_0,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_guarded_scalar,198,6.712785816591965,16.40317397601031,10.771406567340245,268.1818181818182,62.54545454545455,3.4065656565656566,11699712,8936224,6249024,0
v2v,development,test_0003,testoutput_CAV_data_2022-03-17-10-50-46_0,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_no_curvature,198,6.573380283646044,16.017474879209832,10.327618725414343,265.09090909090907,57.81818181818182,3.3585858585858586,,,,
v2v,development,test_0003,testoutput_CAV_data_2022-03-17-10-50-46_0,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_fixed_025,198,6.765001500438266,16.57476545125237,13.464649995520482,260.0,69.27272727272727,3.351010101010101,,,,
v2v,development,test_0003,testoutput_CAV_data_2022-03-17-10-50-46_0,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence,198,6.629738284342926,16.1817846794556,10.327580337150478,262.90909090909093,60.36363636363637,3.3333333333333335,10798592,6707008,4713952,0
v2v,development,test_0003,testoutput_CAV_data_2022-03-17-10-50-46_0,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_lineage,198,6.4276549784294845,15.795180802434816,12.030246211614955,251.27272727272728,58.54545454545455,3.272727272727273,,,,
v2v,development,test_0003,testoutput_CAV_data_2022-03-17-10-50-46_0,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_er,198,6.3867776624809665,15.9818794752686,12.197885488990838,247.63636363636363,69.0909090909091,3.217171717171717,,,,
v2v,development,test_0003,testoutput_CAV_data_2022-03-17-10-50-46_0,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_asymmetric,198,6.2273227914264915,15.56610600714813,16.077241740683927,254.54545454545453,56.36363636363637,3.2676767676767677,,,,
v2v,development,test_0003,testoutput_CAV_data_2022-03-17-10-50-46_0,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_guarded_scalar,198,6.280622916377265,15.70235311463642,12.363729592584807,256.3636363636364,60.0,3.2626262626262625,13256192,9936608,9936608,0
v2v,development,test_0003,testoutput_CAV_data_2022-03-17-10-50-46_0,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_no_curvature,198,6.074512900461867,15.172477466382077,15.013479126871314,245.0909090909091,53.45454545454545,3.1464646464646466,,,,
v2v,development,test_0003,testoutput_CAV_data_2022-03-17-10-50-46_0,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_fixed_025,198,6.317054702505234,15.848552430951552,14.169458192979336,244.0,66.18181818181819,3.106060606060606,,,,
v2v,development,test_0003,testoutput_CAV_data_2022-03-17-10-50-46_0,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence,198,6.122249479331334,15.250273261067981,11.934718309063507,241.8181818181818,55.63636363636363,3.121212121212121,10814976,7731328,7731328,0
v2v,development,test_0004,testoutput_CAV_data_2022-03-17-10-50-46_1,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_lineage,180,5.196199370650485,21.68809697083468,58.2769063489444,361.2,67.8,4.075,,,,
v2v,development,test_0004,testoutput_CAV_data_2022-03-17-10-50-46_1,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_er,180,5.179138928084923,21.653094617692346,57.736030624383964,358.6,69.4,4.016666666666667,,,,
v2v,development,test_0004,testoutput_CAV_data_2022-03-17-10-50-46_1,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_asymmetric,180,5.226589387384028,21.423333123777773,56.40607808441449,367.8,52.8,4.375,,,,
v2v,development,test_0004,testoutput_CAV_data_2022-03-17-10-50-46_1,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_guarded_scalar,180,5.154998800864758,21.177913489040694,57.341295484783224,355.6,53.2,4.2,13906944,10950976,8102080,0
v2v,development,test_0004,testoutput_CAV_data_2022-03-17-10-50-46_1,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_no_curvature,180,5.233483479484172,21.408302948529126,56.00109009570774,368.2,51.6,4.397222222222222,,,,
v2v,development,test_0004,testoutput_CAV_data_2022-03-17-10-50-46_1,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_fixed_025,180,5.022675684934023,22.074315738233565,59.29649126411814,332.8,107.4,3.1305555555555555,,,,
v2v,development,test_0004,testoutput_CAV_data_2022-03-17-10-50-46_1,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence,180,5.157977066480075,21.18528848483337,57.55235961007309,354.8,53.2,4.188888888888889,13792256,10893952,8055264,0
v2v,development,test_0004,testoutput_CAV_data_2022-03-17-10-50-46_1,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_lineage,180,5.116871531476196,22.42015663073348,61.49916915327948,350.8,104.0,3.4277777777777776,,,,
v2v,development,test_0004,testoutput_CAV_data_2022-03-17-10-50-46_1,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_er,180,5.112904317200598,22.473488765532725,59.79748842292349,350.8,107.6,3.3777777777777778,,,,
v2v,development,test_0004,testoutput_CAV_data_2022-03-17-10-50-46_1,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_asymmetric,180,5.2169768477216865,21.213215028754995,58.75442330297585,366.4,44.0,4.477777777777778,,,,
v2v,development,test_0004,testoutput_CAV_data_2022-03-17-10-50-46_1,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_guarded_scalar,180,5.004198076160943,20.65008873163957,59.200873973188216,333.6,51.2,3.922222222222222,14005248,10450080,10450080,0
v2v,development,test_0004,testoutput_CAV_data_2022-03-17-10-50-46_1,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_no_curvature,180,5.19076158853357,21.057319318212215,59.7882008728571,362.0,41.2,4.455555555555556,,,,
v2v,development,test_0004,testoutput_CAV_data_2022-03-17-10-50-46_1,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_fixed_025,180,4.896036070579665,22.29539857414641,59.98699105138274,314.4,132.8,2.533333333333333,,,,
