dataset,sequence,arm,mode,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s,alignment_payload_bytes,alignment_wire_bytes,total_wire_bytes,alignment_compute_seconds
v2v_development,0000,marked_gaussian_evidence,occupancy,147,3.0596841416375256,4.167539163395564,9.179863845402787,13.714285714285714,3.9183673469387754,0.21768707482993196,802816,802816,4854528,5.213449458333334,1185408,4854528,9709056.0,0.599333783990005
v2v_development,0000,marked_lineage,occupancy,147,3.24549922694238,4.384455073158009,9.141097063225478,16.163265306122447,4.408163265306122,0.24489795918367346,555672,555672,4854528,2.6242049583333333,1185408,4854528,9709056.0,0.599333783990005
v2v_development,0001,marked_gaussian_evidence,occupancy,114,4.606109327534387,4.736453282048523,5.856544262260369,22.105263157894736,18.94736842105263,0.5,758112,758112,3764736,4.922125875,919296,3764736,7529472.0,0.47194270524778403
v2v_development,0001,marked_lineage,occupancy,114,5.129622154102302,5.321340677952992,5.122037151965248,27.789473684210527,24.63157894736842,0.6403508771929824,589416,589416,3764736,2.6507652083333335,919296,3764736,7529472.0,0.47194270524778403
v2v_development,0002,marked_gaussian_evidence,occupancy,144,4.162819214841859,3.7308438551198253,0.6549446645626654,22.0,11.0,0.2916666666666667,400640,400640,4755456,4.904089666666667,1161216,4755456,9510912.0,0.6005242167739198
v2v_development,0002,marked_lineage,occupancy,144,4.27386313779436,3.84970690992028,0.6626934267966589,22.5,12.5,0.3194444444444444,310320,310320,4755456,2.6551661666666666,1161216,4755456,9510912.0,0.6005242167739198
v2v_development,0003,marked_gaussian_evidence,occupancy,198,6.126252438695924,15.358076496973771,21.86664998711108,230.9090909090909,60.0,3.0,6656672,6656672,10356224,18.5819135,1596672,6538752,16894976.0,1.0148806197103113
v2v_development,0003,marked_lineage,occupancy,198,6.447904428631951,16.104348257817968,15.925464318132274,255.27272727272728,64.0,3.2525252525252526,5334048,5334048,8734208,17.301221625,1596672,6538752,15272960.0,1.0148806197103113
v2v_development,0004,marked_gaussian_evidence,occupancy,180,5.001230671214371,20.61335984065767,61.6209907866923,330.8,50.0,3.9,10567648,10567648,14054400,164.65082145833333,1451520,5944320,19998720.0,0.9363491139083635
v2v_development,0004,marked_lineage,occupancy,180,5.128264984221511,22.482538796955446,62.17171712444892,353.2,104.8,3.45,6047208,6047208,8811520,92.414576375,1451520,5944320,14755840.0,0.9363491139083635
v2v_development,0005,marked_gaussian_evidence,occupancy,310,4.62791106164129,14.453993614545816,19.520328834513677,127.74193548387096,87.56129032258065,1.6096774193548387,15729952,15729952,21296640,41.83523208333333,2499840,10237440,31534080.0,1.5453873751393985
v2v_development,0005,marked_lineage,occupancy,310,4.704359321356427,14.726747358882365,18.42716157145006,136.33548387096775,89.65161290322581,1.6548387096774193,10478128,10478128,15169024,37.735354375,2499840,10237440,25406464.0,1.5453873751393985
v2v_development,0006,marked_gaussian_evidence,occupancy,304,5.4242365452237955,10.81179100447053,3.1482438962457677,65.13157894736842,86.92105263157895,1.131578947368421,7358656,7358656,12562432,16.271098458333334,2451456,10039296,22601728.0,1.7598409642232582
