dataset,sequence,arm,mode,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s,alignment_payload_bytes,alignment_wire_bytes,total_wire_bytes,alignment_compute_seconds
v2v_development,0000,marked_gaussian_evidence,zero,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,1001696,1001696,4854528,3.8419075416666666,0,0,4854528.0,0
v2v_development,0000,marked_lineage,zero,147,2.1112403445538552,2.5475354198425153,0.1435112359521936,16.163265306122447,4.408163265306122,0.24489795918367346,684624,684624,4854528,1.9007941666666666,0,0,4854528.0,0
v2x_val,v2x_0002,marked_gaussian_evidence,zero,140,9.143681433383385,23.79752746403247,116.77018146860557,208.28571428571428,252.5142857142857,2.4571428571428573,3151264,3151264,5016576,8.35164525,0,0,5016576.0,0
v2x_val,v2x_0002,marked_lineage,zero,140,9.038455596971394,22.95975833831666,106.41917071969642,212.4,216.0,2.3642857142857143,3131240,3131240,5966848,17.07533775,0,0,5966848.0,0
v2v_development,0000,marked_gaussian_evidence,original,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,1001696,1001696,4854528,6.180642916666667,0,0,4854528,0.0
v2v_development,0000,marked_lineage,original,147,2.1112403445538552,2.5475354198425153,0.1435112359521936,16.163265306122447,4.408163265306122,0.24489795918367346,684624,684624,4854528,2.707269875,0,0,4854528,0.0
v2x_val,v2x_0002,marked_gaussian_evidence,original,140,9.143681433383385,23.79752746403247,116.77018146860557,208.28571428571428,252.5142857142857,2.4571428571428573,3151264,3151264,5016576,5.480845416666667,0,0,5016576,0.0
v2x_val,v2x_0002,marked_lineage,original,140,9.038455596971394,22.95975833831666,106.41917071969642,212.4,216.0,2.3642857142857143,3131240,3131240,5966848,18.959015291666667,0,0,5966848,0.0
