sequence,recording,frame,source,target_id,range_m,matched_2m,matched_12m
0000,testoutput_CAV_data_2022-03-15-09-54-40,39,1,1,20.334524282805834,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,39,1,2,39.76919756401992,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,40,1,1,20.42476057388692,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,40,1,2,39.42720245645137,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,41,1,1,20.53242921079827,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,41,1,2,39.090111840249584,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,42,1,1,20.644665565641677,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,42,1,2,38.76902374847895,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,43,1,1,20.763778580458595,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,43,1,2,38.467981267401505,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,44,1,1,20.86026905359609,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,44,1,2,38.164086521452404,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,45,1,1,20.95095537899553,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,45,1,2,37.93618685688625,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,46,1,1,21.066893615379865,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,46,1,2,37.680969481906025,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,46,1,107,22.837043844549637,0,0
0000,testoutput_CAV_data_2022-03-15-09-54-40,47,1,1,21.20552020428759,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,47,1,2,37.35799124939061,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,47,1,107,22.99452347923503,0,0
0000,testoutput_CAV_data_2022-03-15-09-54-40,48,1,1,21.346550447938125,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,48,1,2,37.10021110418778,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,48,1,107,24.98986923947146,0,0
0000,testoutput_CAV_data_2022-03-15-09-54-40,49,1,1,21.471922462390346,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,49,1,2,36.912668738560015,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,49,1,107,23.06844780627757,0,0
0000,testoutput_CAV_data_2022-03-15-09-54-40,50,1,1,21.62334902256578,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,50,1,2,36.64904759429125,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,51,1,1,21.835449889857678,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,51,1,2,36.47389209778507,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,52,1,1,21.95278120627017,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,52,1,2,36.258659300410436,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,53,1,1,22.123390227123746,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,53,1,2,36.1214870526924,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,53,2,103,21.107573131145255,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,54,1,1,22.305818600346132,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,54,1,2,35.987177872151854,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,54,2,103,21.164792159447288,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,55,1,1,22.477619095303776,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,55,1,2,35.87142210642996,1,1
0000,testoutput_CAV_data_2022-03-15-09-54-40,55,2,103,21.185105862479364,1,1
