source_formation,source_label_truth_states,mean_actual_squared_error,mean_component_trace,mean_full_output_risk,log_component_risk_error_correlation,log_full_risk_error_correlation,multicomponent_fraction
0,503,6800.47557884,78326.3452808,78326.5627772,0.231304661508,0.231790446178,0.0815109343936
1,136,5810.11974887,78846.8256435,78847.4396477,-0.231912734769,-0.232586323071,0.0955882352941
2,126,6350.62610181,67645.2111368,67645.1798776,-0.281108073905,-0.278796339941,0.190476190476
3,28,798.380098771,141036.154231,141036.154231,-0.77443324096,-0.77443324096,0
4,34,7844.13060738,37624.5690164,37624.5690164,0.430205447521,0.430205447521,0
5,76,8722.49655592,59116.6573489,59117.0499118,0.888423428213,0.888704655009,0.0526315789474
6,103,8527.37106618,101267.700601,101267.700601,0.935824277448,0.935824277448,0
