seed,full_attempted_bytes,moment_attempted_bytes,attempted_reduction_percent,full_delivered_bytes,moment_delivered_bytes,delivered_reduction_percent,full_local_eospa,moment_local_eospa,local_eospa_delta,full_consensus_ospa,moment_consensus_ospa,consensus_ospa_delta,full_consensus_position,moment_consensus_position,consensus_position_delta,full_consensus_cardinality,moment_consensus_cardinality,consensus_cardinality_delta,missing_snapshot_count,label_set_mismatch_count,missing_label_count,comparison_count,snapshot_count,max_abs_r,max_abs_mu,max_abs_sigma,exact_match,attempted_masks_equal,delivered_masks_equal
82,24075760,10210000,57.592200620042732,19640012,8127332,58.61849778910522,2.0454895379585905,2.0454895379585905,0,1.8790011524079262,1.8790011524079262,0,3.4272647601411017,3.4272647601411017,0,0.19875000000000001,0.19875000000000001,0,0,0,0,21858,800,0,0,0,1,1,1
83,23528080,9648880,58.98993883053781,19213288,7760008,59.611244051512685,2.0985449411549388,2.0985449411549388,0,1.9502980000907915,1.9502980000907915,0,6.0121595389353777,6.0121595389353777,0,0.21375,0.21375,0,0,0,0,20888,800,0,0,0,1,1,1
84,25804080,10632240,58.796283378442482,20702704,8621584,58.355275716640683,2.0729057637163852,2.0729057637163852,0,2.0296135516095539,2.0296135516095539,0,4.798884369481593,4.798884369481593,0,0.24249999999999999,0.24249999999999999,0,0,0,0,22889,800,0,0,0,1,1,1
85,23734960,10152880,57.223943078058696,18799972,8053732,57.160936197139016,2.00197000254192,2.00197000254192,0,1.9281257218132817,1.9281257218132817,0,3.4891841109220416,3.4891841109220416,0,0.1875,0.1875,0,0,0,0,21730,800,0,0,0,1,1,1
86,23196560,9317360,59.833009722131216,18577144,7524784,59.494398062479355,2.070668810680719,2.070668810680719,0,1.8472530058552581,1.8472530058552581,0,2.9616926411873177,2.9616926411873177,0,0.21625,0.21625,0,0,0,0,20449,800,0,0,0,1,1,1
87,27442800,10907760,60.252743889107528,22205812,8888452,59.972407223838516,2.191144175669169,2.191144175669169,0,1.9678773414835729,1.9678773414835729,0,5.4976402510634879,5.4976402510634879,0,0.19375000000000001,0.19375000000000001,0,0,0,0,23581,800,0,0,0,1,1,1
88,24982640,10879760,56.450719379537148,19888712,8609792,56.710158003192966,2.0602800038735154,2.0602800038735154,0,1.963487093550849,1.963487093550849,0,4.119917751067768,4.119917751067768,0,0.20749999999999999,0.20749999999999999,0,0,0,0,23044,800,0,0,0,1,1,1
89,25889520,11045520,57.335941338425741,20785992,8653392,58.369117047673257,2.1409541223940542,2.1409541223940542,0,2.0600839927315961,2.0600839927315961,0,4.4829289465066608,4.4829289465066608,0,0.22500000000000001,0.22500000000000001,0,0,0,0,23664,800,0,0,0,1,1,1
90,21366480,8616240,59.6740314735979,17294764,7017844,59.42214649474257,2.0117189786553147,2.0117189786553147,0,1.9190304334601245,1.9190304334601245,0,2.2337008128010876,2.2337008128010876,0,0.215,0.215,0,0,0,0,18579,800,0,0,0,1,1,1
91,25882960,11076880,57.203967397855578,20863580,8910860,57.289880260242967,2.1843779571674946,2.1843779571674946,0,1.904921521146548,1.904921521146548,0,5.3773922453452201,5.3773922453452201,0,0.18124999999999999,0.18124999999999999,0,0,0,0,23268,800,0,0,0,1,1,1
92,24463120,9944560,59.348766633201322,19529692,7908652,59.504471447885606,2.0443336871992814,2.0443336871992814,0,1.9631934747354172,1.9631934747354172,0,5.5517213879720497,5.5517213879720497,0,0.19875000000000001,0.19875000000000001,0,0,0,0,21489,800,0,0,0,1,1,1
93,23380640,9927200,57.540939854512111,18595848,7765248,58.242033382935801,1.9284086585870515,1.9284086585870515,0,1.7990032195422385,1.7990032195422385,0,3.0379845175791074,3.0379845175791074,0,0.16250000000000001,0.16250000000000001,0,0,0,0,21006,800,0,0,0,1,1,1
94,27381120,11699040,57.273332865857931,22166916,9400236,57.593397295320649,2.1025098062731749,2.1025098062731749,0,1.9873139906142145,1.9873139906142145,0,5.5195857704212044,5.5195857704212044,0,0.20250000000000001,0.20250000000000001,0,0,0,0,24753,800,0,0,0,1,1,1
95,28691520,11904000,58.5103891323987,23150564,9477164,59.062923909758744,2.26798627841834,2.26798627841834,0,2.1284598535765316,2.1284598535765316,0,7.0905200760867411,7.0905200760867411,0,0.2475,0.2475,0,0,0,0,25291,800,0,0,0,1,1,1
96,27037440,10761600,60.1974151398949,21569312,8550032,60.360200640613847,2.058796392702976,2.058796392702976,0,1.9271609287170244,1.9271609287170244,0,6.738308478328074,6.738308478328074,0,0.20250000000000001,0.20250000000000001,0,0,0,0,23174,800,0,0,0,1,1,1
97,24421280,10256480,58.001873775657948,19575404,8069444,58.777637488350173,1.9954708989758057,1.9954708989758057,0,1.8811662583880819,1.8811662583880819,0,3.8684664960962034,3.8684664960962034,0,0.18124999999999999,0.18124999999999999,0,0,0,0,21894,800,0,0,0,1,1,1
98,27473680,11601040,57.773985865744962,21738900,9273900,57.339607799842682,2.1606103975259208,2.1606103975259208,0,1.9883069212980771,1.9883069212980771,0,6.2914121913467804,6.2914121913467804,0,0.21875,0.21875,0,0,0,0,24484,800,0,0,0,1,1,1
99,23423280,9331920,60.159636054386915,18645504,7495464,59.800153431089875,1.9699092957296118,1.9699092957296118,0,1.8725638043447743,1.8725638043447743,0,3.5603456030860214,3.5603456030860214,0,0.19,0.19,0,0,0,0,20038,800,0,0,0,1,1,1
100,24968720,10348880,58.552621039444553,19990068,8366508,58.146675639122385,2.0661832915435041,2.0661832915435041,0,1.9582057193395803,1.9582057193395803,0,4.731051076348324,4.731051076348324,0,0.21625,0.21625,0,0,0,0,22509,800,0,0,0,1,1,1
101,26462720,11664320,55.921689078069072,21206808,9241608,56.421503886865011,2.0991013218300374,2.0991013218300374,0,2.0655390903440334,2.0655390903440334,0,7.0311110492715123,7.0311110492715123,0,0.20624999999999999,0.20624999999999999,0,0,0,0,24832,800,0,0,0,1,1,1
102,24499120,9947920,59.394786424981795,19564368,7879008,59.72776631476161,1.9970623558628291,1.9970623558628291,0,1.9176200923613242,1.9176200923613242,0,3.0639890323824392,3.0639890323824392,0,0.20374999999999999,0.20374999999999999,0,0,0,0,21245,800,0,0,0,1,1,1
103,25558880,11012480,56.913291975235225,20364712,8789512,56.839497656534498,2.1728682744634922,2.1728682744634922,0,2.0054678804282831,2.0054678804282831,0,3.7814243965710177,3.7814243965710177,0,0.22875000000000001,0.22875000000000001,0,0,0,0,23582,800,0,0,0,1,1,1
104,25010560,10571200,57.733053558177026,19877180,8366060,57.911232881122977,2.2272953259360286,2.2272953259360286,0,2.0224038484805731,2.0224038484805731,0,9.6661914193755702,9.6661914193755702,0,0.215,0.215,0,0,0,0,22972,800,0,0,0,1,1,1
105,25974800,10886480,58.088300968631138,20569936,8738056,57.520256747517351,2.0576211574480094,2.0576211574480094,0,1.9704434320079089,1.9704434320079089,0,3.901686712316994,3.901686712316994,0,0.23874999999999999,0.23874999999999999,0,0,0,0,23278,800,0,0,0,1,1,1
106,23154960,9405840,59.378724903865091,18403052,7559252,58.923921966856369,2.0203250011096965,2.0203250011096965,0,1.9087144987473996,1.9087144987473996,0,2.9949120019945474,2.9949120019945474,0,0.19750000000000001,0.19750000000000001,0,0,0,0,20415,800,0,0,0,1,1,1
107,29182080,11268960,61.383972629778278,23333196,9104076,60.982301781547626,2.1415863523432725,2.1415863523432725,0,1.9913345828417186,1.9913345828417186,0,5.9380441753657784,5.9380441753657784,0,0.21124999999999999,0.21124999999999999,0,0,0,0,23758,800,0,0,0,1,1,1
