arm,frame,robot,detected,output_count,active_components,near_active_components,near_total_r,near_max_r,association_has_column,association_effective_labels,association_largest_share,association_nearest_distance_m,association_joint_mass
marked_gaussian_evidence_guarded_scalar_once_joint_range,1,1,False,0,0,0,0.0,0.0,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,1,2,False,0,0,0,0.0,0.0,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,2,1,False,2,9,1,0.010432654096559416,0.010432654096559416,True,2.213184274790416,0.585415501140231,0.06757423227289326,0.1062352979724278
marked_gaussian_evidence_guarded_scalar_once_joint_range,2,2,False,2,9,1,0.010432654096559416,0.010432654096559416,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,3,1,False,3,19,1,0.009073840137579756,0.009073840137579756,True,3.9824941444514805,0.3541768761728752,0.07036703932767976,0.16292125840893615
marked_gaussian_evidence_guarded_scalar_once_joint_range,3,2,False,3,19,1,0.009073840137579756,0.009073840137579756,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,4,1,False,3,23,3,0.04997463714157452,0.022628721718759497,True,5.9622737522956,0.2540031861429864,0.0560528450527953,0.45731074851201575
marked_gaussian_evidence_guarded_scalar_once_joint_range,4,2,False,3,23,3,0.049974637141574504,0.022628721718759348,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,5,1,False,4,30,5,0.08999790712854748,0.029049390203236835,True,7.996175650890173,0.1995536617570999,0.09935741134367751,0.5458604717015778
marked_gaussian_evidence_guarded_scalar_once_joint_range,5,2,False,4,30,5,0.08999790712854758,0.029049390203236835,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,6,1,False,4,36,7,0.13875242352332617,0.03529142067481469,True,9.889007367387434,0.1828145430724945,0.10656854480590164,0.6993099164873587
marked_gaussian_evidence_guarded_scalar_once_joint_range,6,2,False,4,36,7,0.1387524235233263,0.03529142067481494,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,7,1,False,5,42,10,0.22001773342967906,0.04636591939970309,True,11.24053969682171,0.17946690815738,0.05378356768864491,0.7658384571457522
marked_gaussian_evidence_guarded_scalar_once_joint_range,7,2,False,5,42,10,0.2200177334296787,0.04636591939970277,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,8,1,False,5,48,15,0.28113712398412855,0.05756175128321774,True,11.864882394728058,0.1848002739996766,0.051262000733259636,0.8935539155262893
marked_gaussian_evidence_guarded_scalar_once_joint_range,8,2,False,4,33,12,0.08931765893505306,0.01799548421399705,True,1.076816559565892,0.9859189628796741,35.07648949985105,2.0360339054125563e-22
marked_gaussian_evidence_guarded_scalar_once_joint_range,9,1,False,5,54,20,0.1761148684190224,0.03242836468498112,True,12.547009453860296,0.18855121553794948,0.05706067093004055,0.8475067848394493
marked_gaussian_evidence_guarded_scalar_once_joint_range,9,2,False,4,30,11,0.03391841708624302,0.00685309974655705,True,1.0000000000870688,0.9999999999968513,35.64463907174475,0.0005408466544268181
marked_gaussian_evidence_guarded_scalar_once_joint_range,10,1,False,5,60,23,0.16200642867765602,0.015483127812629094,True,16.745933779875422,0.16121390031932556,0.04529137185970938,0.8894411841523169
marked_gaussian_evidence_guarded_scalar_once_joint_range,10,2,False,5,60,23,0.1620064286776561,0.015483127812629203,True,1.269105620438208,0.9358218247888845,35.80341075488868,0.03823313034422428
marked_gaussian_evidence_guarded_scalar_once_joint_range,11,1,False,5,67,26,0.21319922564117255,0.020126892774219224,True,23.533132652479654,0.11982838564892302,0.11247041930649476,0.7794337249307982
marked_gaussian_evidence_guarded_scalar_once_joint_range,11,2,False,5,67,26,0.21319922564117288,0.020126892774219224,True,1.7717112467245806,0.8170568926060823,35.99589844149703,0.19168749423854947
marked_gaussian_evidence_guarded_scalar_once_joint_range,12,1,False,5,74,27,0.28027790239821254,0.028624843040306797,True,24.115594254089817,0.13100730082319817,0.051580401947551806,0.843030838465222
marked_gaussian_evidence_guarded_scalar_once_joint_range,12,2,False,5,74,27,0.2802779023982118,0.0286248430403064,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,13,1,False,6,81,29,0.33542264926283016,0.03562146828102207,True,24.110183080093183,0.13495311520691153,0.03365421759250316,0.8866294574813934
marked_gaussian_evidence_guarded_scalar_once_joint_range,13,2,False,6,81,29,0.3354226492628297,0.035621468281021584,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,14,1,False,6,81,32,0.3968991602087628,0.055028265454833664,True,23.21343151239926,0.1349246400763036,0.03193951217151648,0.9303906715980935
marked_gaussian_evidence_guarded_scalar_once_joint_range,14,2,False,6,81,32,0.3968991602087641,0.05502826545483404,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,15,1,False,6,75,25,0.3083988803000366,0.056644546001123605,True,21.29397566667204,0.17655648593131346,0.09931305650821314,0.9059807797424482
marked_gaussian_evidence_guarded_scalar_once_joint_range,15,2,False,6,75,25,0.30839888030003765,0.05664454600112399,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,16,1,False,6,77,27,0.28941895017511443,0.060081781061985015,True,20.224901379692284,0.18792302534531682,0.11344635573578923,0.9112836882970792
marked_gaussian_evidence_guarded_scalar_once_joint_range,16,2,False,6,77,27,0.2894189501751143,0.060081781061985015,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,17,1,False,6,80,30,0.3375418078421244,0.06350934821481534,True,21.092567108684605,0.19351410303634145,0.03564853079705343,0.914847187503339
marked_gaussian_evidence_guarded_scalar_once_joint_range,17,2,False,6,80,30,0.3375418078421245,0.06350934821481534,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,18,1,True,8,80,40,1.6430175180841289,0.2389890885024755,True,21.691212180835112,0.19985294918113808,0.045649281019597344,0.9257493502168173
marked_gaussian_evidence_guarded_scalar_once_joint_range,18,2,False,6,57,21,0.10972827128582135,0.02637865786813115,False,,,,
marked_gaussian_evidence_guarded_scalar_once_joint_range,19,1,False,6,89,33,0.2603722363807273,0.07994338113517514,True,20.359189928401698,0.21865809079837542,0.041851459391518776,0.9705874010933033
marked_gaussian_evidence_guarded_scalar_once_joint_range,19,2,False,6,89,33,0.2603722363807279,0.07994338113517567,False,,,,
