arm,frame,robot,detected,output_count,active_components,near_active_components,near_total_r,near_max_r,association_has_column,association_effective_labels,association_largest_share,association_nearest_distance_m,association_joint_mass
marked_gaussian_evidence_range,1,1,False,0,0,0,0.0,0.0,False,,,,
marked_gaussian_evidence_range,1,2,False,0,0,0,0.0,0.0,False,,,,
marked_gaussian_evidence_range,2,1,False,2,9,1,0.010432654096559416,0.010432654096559416,True,2.213184274790416,0.585415501140231,0.06757423227289326,0.1062352979724278
marked_gaussian_evidence_range,2,2,False,2,9,1,0.010432654096559416,0.010432654096559416,False,,,,
marked_gaussian_evidence_range,3,1,False,3,19,1,0.009073840137579727,0.009073840137579727,True,3.982494144451483,0.354176876172875,0.07036703932767976,0.16292125840893623
marked_gaussian_evidence_range,3,2,False,3,19,1,0.009073840137579727,0.009073840137579727,False,,,,
marked_gaussian_evidence_range,4,1,False,3,23,3,0.050012651785004726,0.022661713361882878,True,5.962273752295602,0.25400318614298695,0.0560528450527953,0.4573107485120154
marked_gaussian_evidence_range,4,2,False,3,23,3,0.050012651785004726,0.022661713361882878,False,,,,
marked_gaussian_evidence_range,5,1,False,4,30,5,0.08940845086024674,0.02883497990701671,True,8.00674679788556,0.19761337200809448,0.09935741134367751,0.5492152016838697
marked_gaussian_evidence_range,5,2,False,4,30,5,0.08940845086024674,0.02883497990701671,False,,,,
marked_gaussian_evidence_range,6,1,False,4,36,8,0.1460942895616129,0.03507749396109088,True,9.93939073823188,0.18103522000956518,0.10656854480590164,0.70478921985354
marked_gaussian_evidence_range,6,2,False,4,36,8,0.1460942895616129,0.03507749396109088,False,,,,
marked_gaussian_evidence_range,7,1,False,5,42,10,0.2212051122121578,0.046208848425404875,True,11.282829174436383,0.17659645438518276,0.05378356768864491,0.7710732510556569
marked_gaussian_evidence_range,7,2,False,5,42,10,0.2212051122121578,0.046208848425404875,False,,,,
marked_gaussian_evidence_range,8,1,False,5,48,15,0.28341541278396576,0.05716143082431063,True,11.86282582923177,0.18149635570556621,0.051262000733259636,0.8954945503115572
marked_gaussian_evidence_range,8,2,False,4,33,13,0.09311642264035279,0.017934834696130983,True,1.009428606060121,0.9987829367886791,35.07648949985105,6.441546864375728e-21
marked_gaussian_evidence_range,9,1,False,5,54,20,0.1846637534334424,0.03218841023764848,True,12.51032816424443,0.18504781523564387,0.05706067093004055,0.8490076446668234
marked_gaussian_evidence_range,9,2,False,4,31,11,0.03624338129571513,0.0068302390639775395,True,1.0000000000031402,0.9999999999999022,35.64463907174475,0.000540846654425169
marked_gaussian_evidence_range,10,1,False,5,60,23,0.16834683323187793,0.01992107266488721,True,16.899092721347905,0.15603924859650062,0.04529137185970938,0.891925856833452
marked_gaussian_evidence_range,10,2,False,5,60,23,0.16834683323187793,0.01992107266488721,True,1.2691056207213565,0.9358218247793579,35.80341075488868,0.038233130344598604
marked_gaussian_evidence_range,11,1,False,5,67,27,0.22547609359604262,0.023312328969884888,True,23.866210919077268,0.113485328242458,0.11247041930649476,0.7809730564892089
marked_gaussian_evidence_range,11,2,False,5,67,27,0.22547609359604262,0.023312328969884888,True,2.7506728866654857,0.5331953630740625,35.99589844149703,0.11599009345854651
