mode,condition,frame,robot,phase,left_count,right_count,common_labels,same_labels,exact,maximum_existence_difference,maximum_mean_difference,maximum_covariance_difference,equal
nominal,reliable,5,2,posterior,29,29,29,True,False,0.016640447737030786,1.0833336980701764,11.997386578738745,False
nominal,reliable,5,2,fused,32,32,32,True,False,0.016640447737030786,1.0833336980701764,11.997386578738745,False
nominal,reliable,5,2,target_local,2,2,2,True,False,2.572329372432054e-06,0.04704792580067618,0.7943765878546287,False
nominal,reliable,5,2,target_posterior,3,3,3,True,False,6.8484054413228e-05,0.07828314133657138,3.156300086930173,False
nominal,reliable,6,1,predicted,38,38,38,True,False,0.01647404325966048,1.1132096777326086,0.0,False
nominal,reliable,6,1,local,36,37,36,False,False,0.2084433261559226,2.2563947748526747,23.94118038952338,False
nominal,reliable,6,1,posterior,36,37,36,False,False,0.08341053208101425,1.911310460490757,30.068037362175204,False
nominal,reliable,6,1,fused,36,37,36,False,False,0.08341053208101425,1.911310460490757,30.068037362175204,False
nominal,reliable,6,1,target_local,4,4,4,True,False,0.0017503342865409152,0.2466103790545806,6.623926794775429,False
nominal,reliable,6,1,target_posterior,4,4,4,True,False,0.00012022082751022081,0.24661037905457306,6.623926794775414,False
nominal,reliable,6,2,predicted,29,29,29,True,False,0.01647404325966048,1.1132096777326086,0.0,False
nominal,reliable,6,2,local,17,20,17,False,False,0.0019020914857600562,0.4717067726360149,11.997386578738748,False
nominal,reliable,6,2,posterior,36,37,36,False,False,0.08341053208103742,1.911310460490757,30.068037362175204,False
nominal,reliable,6,2,fused,36,37,36,False,False,0.08341053208103742,1.911310460490757,30.068037362175204,False
nominal,reliable,6,2,target_local,0,0,0,True,True,0.0,0.0,0.0,True
nominal,reliable,6,2,target_posterior,4,4,4,True,False,0.00012022082751022081,0.24661037905457306,6.623926794775414,False
nominal,reliable,7,1,predicted,45,46,45,False,False,0.0825764267602041,1.911310460490757,0.0,False
nominal,reliable,7,1,local,42,43,42,False,False,0.29196384671322584,5.1208330564166324,23.310030398774416,False
