x,self_input_intensity,gateway_input_intensity,renormalized_intensity,self_fallback_intensity
-3.0,0.003545478729550406,7.307776326691677e-12,0.0002729690001287507,0.001745854257448553
-2.99,0.0036532719637361166,7.837258024454738e-12,0.00028314946490428207,0.0018025349535262176
-2.98,0.0037639660215471834,8.404262615882892e-12,0.000293680243825039,0.0018608697420430308
-2.97,0.003877626324783156,9.01138728449291e-12,0.0003045722204170577,0.001920900298644251
-2.96,0.003994319370889901,9.66140450366254e-12,0.0003158365720545261,0.0019826691286483388
-2.95,0.004114112738443152,1.0357273550655342e-11,0.0003274847763046016,0.0020462195765371997
-2.94,0.004237075092248816,1.1102152755042026e-11,0.00033952861735437153,0.0021115958353258276
-2.93,0.004363276188045237,1.189941252687851e-11,0.0003519801925190448,0.0021788429558017098
-2.92,0.004492786876792775,1.2752649212707109e-11,0.0003648519188304178,0.0022480068556242744
-2.91,0.004625679108535579,1.3665699830304662e-11,0.0003781565397045192,0.002319134328274245
-2.9,0.0047620259358206836,1.464265773612457e-11,0.0003919071316872866,0.002392273051842794
-2.89,0.004901901516658951,1.5687889282575714e-11,0.00040611711127698454,0.0024674715976499397
-2.88,0.005045381117012742,1.6806051525655588e-11,0.00042080024182201845,0.0025447794386816314
-2.87,0.005192541112794692,1.8002111047025557e-11,0.0004359706404926499,0.0026242469578345736
-2.86,0.005343458991362096,1.928136395838596e-11,0.00045164278532505936,0.0027059254559578133
-2.85,0.005498213352491177,2.0649457159989388e-11,0.00046783152233604214,0.002789867159679729
-2.84,0.005656883908815559,2.2112410929343635e-11,0.0004845520727065679,0.0028761252290090506
-2.83,0.005819551485712975,2.36766429205933e-11,0.0005018200400322667,0.0029647537646981317
-2.82,0.005986298020624451,2.5348993659767417e-11,0.0005196514176388332,0.003055807815356752
-2.81,0.006157206561789858,2.713675362603412e-11,0.0005380625959601868,0.003149343384304257
-2.8,0.0063323612663839755,2.904769201433441e-11,0.0005570703699771337,0.003245417436147941
-2.79,0.006511847398036817,3.1090087280292094e-11,0.0005766919467141232,0.00334408790307511
-2.78,0.006695751323722427,3.3272759574128713e-11,0.0005969449527915975,0.003445413690846388
-2.77,0.006884160509999739,3.560510517645588e-11,0.0006178474420312669,0.0035494546844773564
-2.76,0.007077163518589786,3.8097133055325396e-11,0.0006394179031115582,0.0036562717535957123
-2.75,0.007274850001272842,4.0759503670749476e-11,0.0006616752672702964,0.0037659267574607328
-2.74,0.007477310694089827,4.360357016014605e-11,0.0006846389160516005,0.0038784825496319284
-2.73,0.00768463741083167,4.664142204577534e-11,0.0007083286890937839,0.003994002982273374
-2.7199999999999998,0.007896923035800916,4.9885931613278794e-11,0.0007327648919549468,0.004112552910080187
-2.71,0.008114261515829663,5.3350803118907556e-11,0.0007579683039727944,0.004234198193813534
-2.7,0.008336747851538073,5.705062499196861e-11,0.0007839601861550647,0.004359005703430332
-2.69,0.008564478087817752,6.100092520843414e-11,0.000810762289096801,0.0044870433207936196
-2.68,0.008797549303524457,6.521823002160052e-11,0.000838396860920566,0.004618379941949647
-2.67,0.009036059600364908,6.972012624615127e-11,0.0008668866552355569,0.004753085478957558
-2.66,0.00928010809096205,7.45253273030068e-11,0.0008962549391113692,0.004891230861257227
-2.65,0.009529794886084145,7.965374324397604e-11,0.0009265255010620944,0.005032888036561158
-2.64,0.009785221081022378,8.51265549874688e-11,0.0009577226590361875,0.005178129971255751
-2.63,0.01004648874110257,9.096629300943235e-11,0.0009898712684074616,0.005327030650297695
-2.62,0.010313700886316245,9.719692074726159e-11,0.0010229967299623388,0.005479665076590686
-2.61,0.0105869614750571,1.0384392298875383e-10,0.0010571249978783984,0.005636109269828078
-2.6,0.010866375386948492,1.1093439953322538e-10,0.001092282587689019,0.005796440264786592
-2.59,0.011152048404748661,1.184971644278124e-10,0.0011284965842288403,0.005960736109056618
-2.58,0.011444087195319754,1.2656285109863304e-10,0.001165794649554504,0.0061290758601942
-2.57,0.011742599289648036,1.3516402371410464e-10,0.0012042050308350835,0.006301539582280159
-2.56,0.012047693061901961,1.443352951361982e-10,0.0012437565682063216,0.0064782083418714895
-2.55,0.01235947770751614,1.54113451834873e-10,0.0012844787025827473,0.006659164203330498
-2.54,0.012678063220288655,1.6453758616142375e-10,0.0013264014834214774,0.00684449022351682
-2.53,0.013003560368480405,1.7564923639803404e-10,0.0013695555764314119,0.0070342704458279
-2.52,0.013336080669904847,1.8749253502345663e-10,0.0014139722712213105,0.007228589893573137
-2.51,0.013675736365997566,2.001143656586256e-10,0.001459683488880121,0.007427534562667419
-2.5,0.014022640394854832,2.1356452918102817e-10,0.0015067217894827024,0.007631191413629349
-2.49,0.014376906363231707,2.278959195230446e-10,0.0015551203795139785,0.007839648362870119
-2.48,0.01473864851748964,2.431647096971555e-10,0.0016049131192043323,0.008052994273258559
-2.4699999999999998,0.015107981713484951,2.594305486200484e-10,0.0016561345297689304,0.00827131894394837
-2.46,0.015485021385389573,2.7675676933822756e-10,0.001708819800543463,0.008494713099453566
-2.45,0.01586988351343625,2.952106092899654e-10,0.001763004796008656,0.008723268377958332
-2.44,0.016262684590580674,3.148634432721163e-10,0.0018187260626957012,0.008957077318847567
-2.4299999999999997,0.016663541588073764,3.3579102981591113e-10,0.0018760208359646043,0.009196233349444697
-2.42,0.017072571919938228,3.5807377171309526e-10,0.0019349270466473257,0.00944083077094352
-2.41,0.01748989340634351,3.817969914729122e-10,0.0019954833275473718,0.00969096474352105
-2.4,0.01791562423587432,4.0705122253160313e-10,0.0020577290197873253,0.009946731270618413
-2.39,0.018349882926688554,4.3393251707924224e-10,0.0021217041789957252,0.010208227182377327
-2.38,0.018792788286561096,4.625427714140497e-10,0.002187449581324476,0.010475550118219963
-2.37,0.01924445937181038,4.929900697819293e-10,0.002255006729287802,0.010748798508559861
-2.36,0.019705015445106007,5.253890477088901e-10,0.002324417857413728,0.011028071555632589
-2.35,0.020174575932155506,5.598612758863844e-10,0.0023957259376987117,0.011313469213434287
-2.34,0.020653260377270152,5.965356657246803e-10,0.0024689746848561554,0.01160509216675749
-2.33,0.02114118839780938,6.355488977468813e-10,0.0025442085613491404,0.011903041809313055
-2.32,0.02163847963750543,6.770458740568925e-10,0.0026214727821978067,0.01220742022092827
-2.31,0.02214525371866926,7.211801961779642e-10,0.002700813319551442,0.012518330143810815
-2.3,0.022661630193280952,7.68114669624987e-10,0.0027822769070154608,0.012835874957869302
-2.29,0.023187728492967533,8.180218366435193e-10,0.0028659110437230582,0.01316015865508103
-2.2800000000000002,0.023723667877873,8.710845386216513e-10,0.0029517639981414554,0.013491285812898513
-2.27,0.024269567384425313,9.27496509757361e-10,0.0030398848116023167,0.013829361566686325
-2.26,0.02482554577200662,9.874630036445062e-10,0.0031303233015459496,0.014174491581180585
-2.25,0.025391721468533936,1.0512014545247072e-09,0.0032231300644687314,0.014526782020963898
-2.24,0.025968212514957956,1.1189421750404902e-09,0.0033183564785631086,0.014886339519949035
-2.23,0.0265551365086889,1.1909290924176128e-09,0.0034160547060394044,0.01525327114986491
-2.2199999999999998,0.027152610545959372,1.267420525101164e-09,0.003516277695118582,0.015627684387739472
-2.21,0.027760751163135058,1.3486900019713608e-09,0.003619079181685062,0.016009687082374345
-2.2,0.02837967427698514,1.4350271263712637e-09,0.003724513690588569,0.016399387419806684
-2.19,0.029009495123924978,1.5267384872894928e-09,0.003832636536583881,0.0167968938877544
-2.1799999999999997,0.02965032819824521,1.6241486201574446e-09,0.003943503824897358,0.01720231523904142
-2.17,0.030302287189341987,1.7276010198425233e-09,0.004057172451409044,0.017615760454000522
-2.16,0.030965484917964487,1.8374592085456949e-09,0.004173700102439062,0.01803733870185168
-2.15,0.03164003327149618,1.954107861445636e-09,0.004293145254126939,0.018467159301054616
-2.14,0.03232604313828825,2.0779539930708253e-09,0.004415567171392573,0.018905331678635003
-2.13,0.03302362434106434,2.2094282075268722e-09,0.004541025906467457,0.01935196532848461
-2.12,0.03373288556941625,2.348986015859145e-09,0.00466958229698466,0.019807169768635852
-2.11,0.034453934311412596,2.4971092239901275e-09,0.004801297963616306,0.020271054497512948
-2.1,0.03518687678434176,2.6543073948378443e-09,0.004936235307246948,0.020743728949161353
-2.09,0.035931817864613684,2.8211193883963047e-09,0.005074457505671611,0.02122530244745934
-2.08,0.03668886101684392,2.9981149837408312e-09,0.005216028509806903,0.02171588415931498
-2.07,0.037458108222146534,3.1858965871121427e-09,0.005361013039404038,0.022215583046853952
-2.06,0.03823965990566163,3.385101030431903e-09,0.005509476578252174,0.022724507818603044
-2.05,0.03903361486334622,3.5964014648105967e-09,0.005661485368861056,0.023242766879676597
-2.04,0.039840070188056624,3.820509353825821e-09,0.0058171064066114275,0.023770468280972255
-2.0300000000000002,0.040659121194952935,4.058176571576385e-09,0.0059764074333623,0.024307719667385017
-2.02,0.04149086134625646,4.310197610754208e-09,0.006139456930503787,0.02485462822504803
-2.01,0.04233538217539226,4.577411906223918e-09,0.006306324111444568,0.025411300627610173
-2.0,0.043192773210550456,4.860706279858629e-09,0.006477078913523077,0.025977842981561555
-1.99,0.04406312189770062,5.161017512649401e-09,0.0066517919893316286,0.02655436077061827
-1.98,0.04494651352309444,5.479335050388607e-09,0.006830534697442698,0.027140958799179226
-1.97,0.045843031135293706,5.816703849520087e-09,0.007013379092526922,0.02773774113486886
-1.96,0.046752755466761185,6.174227370056423e-09,0.007200397914852417,0.028344811050179875
-1.95,0.047675764855052864,6.553070722783339e-09,0.00739166457915504,0.02896227096323208
-1.94,0.04861213516365183,6.9544639783041895e-09,0.007587253162869738,0.029590222377663164
-1.93,0.04956193970248413,7.379705645826177e-09,0.007787238393712853,0.030228765821669574
-1.92,0.050525249148158924,7.830166329952944e-09,0.00799169563660596,0.030878000786215217
-1.91,0.05150213146397549,8.307292574125061e-09,0.008200700879931482,0.031538025662428255
-1.9,0.052492651819741276,8.812610899745846e-09,0.008414330721111106,0.032208937678205415
-1.89,0.05349687251144573,9.347732050439896e-09,0.008632662351497712,0.03289083283404632
-1.88,0.05451485288083568,9.914355451320104e-09,0.008855773540572308,0.03358380583813933
-1.8699999999999999,0.05554664923493936,1.0514273893585714e-08,0.009083742619437217,0.03428795004072315
-1.8599999999999999,0.05659231476558672,1.1149378455237992e-08,0.00931664846359754,0.03500335736774788
-1.8499999999999999,0.05765189946897442,1.1821663669184045e-08,0.009554570475022693,0.03573011825386167
-1.84,0.058725450065325514,1.2533232950506059e-08,0.009797588563480668,0.036468321574749
-1.83,0.059813009918694086,1.3286304295193637e-08,0.010045783127137501,0.03721805457884825
-1.82,0.06091461895696585,1.4083216263188627e-08,0.010299235032414993,0.03797940281847711
-1.81,0.06203031359210719,1.492643425915689e-08,0.010558025593100272,0.03875245008039507
-1.8,0.06316012664071533,1.581855712499574e-08,0.01082223654870056,0.03953727831583405
-1.79,0.06430408724492334,1.676232405870164e-08,0.011091950042037656,0.040333967570027884
-1.78,0.06546222079371426,1.776062187486321e-08,0.011367248596076275,0.04114259591127413
-1.77,0.06663454884469958,1.8816492622712672e-08,0.0116482150899815,0.041963239359560776
-1.76,0.0678210890464178,1.9933141578360796e-08,0.011934932734400265,0.042795971814793124
-1.75,0.06902185506120923,2.111394562856459e-08,0.012227485045963144,0.04364086498465567
