rule,self_weight,dominant_weight,gateway_weight,eta,fused_existence,fused_mean,fused_variance
Renormalize,0.8333333333333334,0,0.16666666666666666,0.32919298780790557,0.5683649400760448,0.6666666666666666,1
Self fallback,0.95,0,0.05,0.6838614092123558,0.7322943238324231,0.2,1
