arm,start,end,outputs,birth_assignment_agreement,birth_nearest_agreement,geometric_pooled_rmse,birth_anchored_pooled_rmse
1,1,40,6478,0.28465575795,0.286199444273,9.10993479379,24.791733064
1,1,5,642,0.679127725857,0.489096573209,12.5341833176,15.4593589866
1,6,20,2156,0.370593692022,0.375231910946,8.70419477342,18.5416904657
1,21,40,3680,0.165489130435,0.198641304348,8.61949561006,28.9626827053
2,1,40,13718,0.551392331244,0.372503280362,26.9096067145,31.4437341595
2,1,5,1002,0.72255489022,0.477045908184,13.1548313756,15.3226401564
2,6,20,5549,0.624797260768,0.407100378447,15.5546160828,19.736204144
2,21,40,7167,0.470629273057,0.331100879029,34.2709327266,39.4719137963
