sensor,formation,reference_eospa,candidate_eospa,reference_rmse,candidate_rmse
1,1,130.155736095,134.956470995,8.79270362178,8.73102986068
2,1,130.684114836,135.391167516,8.44663976773,8.34359925007
3,1,131.467171963,137.352957796,8.97151205447,7.07007483657
4,1,132.002950657,137.118582356,9.79068085491,8.31541269503
5,1,131.533322924,136.976738555,9.84037275241,9.3912521172
6,1,130.807964873,135.412859018,8.08288735174,8.69365903593
7,2,134.035989815,134.476598238,7.340666321,7.6836317841
8,2,134.473340402,135.170867561,6.34915472668,6.86491988541
9,2,134.476846914,135.19793476,7.19374347797,7.5529913312
10,2,133.50161381,134.115720198,7.95802876086,7.68045915747
11,2,132.977300232,133.916681229,8.04435047484,7.95751146157
12,2,133.506840333,134.115687749,7.25288522771,7.89581304193
13,3,135.937467829,139.093534907,8.33539794318,9.08502082815
14,3,136.274108673,138.831883937,8.10263173814,8.87983310681
15,3,136.623600946,138.99726456,8.57335105479,8.98306869557
16,3,136.959042427,140.089920583,8.31474630281,9.55869997985
17,3,136.71035218,139.333562698,8.14261194666,8.74614401303
18,3,136.286272844,138.91943326,8.16345796448,8.78562646751
19,4,136.64878523,138.394015065,9.72834376061,9.98388045809
20,4,136.971918707,137.556702885,8.62007135978,10.0816854187
21,4,136.627213865,136.707848327,8.14168425814,9.71796810461
22,4,136.613986054,136.828498972,7.72005829044,8.37684123127
23,4,136.615032134,137.600601825,7.88761212655,8.79222384736
24,4,136.977405393,138.201740961,9.18695104309,9.47462099842
25,5,137.370604974,138.050598354,8.26825706984,8.55560659476
26,5,137.218191314,136.964018327,8.74165621216,9.3768985203
27,5,136.792923398,136.778045798,8.80164693616,8.2693010804
28,5,137.196640485,136.864858001,7.59673881754,7.74189982422
29,5,137.376133278,137.789355974,7.78330285305,7.9989601713
30,5,137.719448351,138.636279784,7.96521802651,8.05617893233
31,6,135.602502965,135.527092429,9.52406978906,10.3423737079
32,6,135.954829276,135.596860133,9.23620240836,9.12369906098
33,6,135.786173871,136.362551808,9.25104339248,8.97219045587
34,6,135.578797354,136.683750206,8.67103105372,9.08958452922
35,6,135.417083721,136.177366882,9.0290998846,9.50065291693
36,6,135.59936766,135.342922796,9.46261960396,10.4458774053
