time,reference_eospa,candidate_eospa,reference_rmse,candidate_rmse,reference_count_error,candidate_count_error,reference_disagreement,candidate_disagreement
1,141.096339114,140.461755993,11.9510907762,12.7913583064,21.2222222222,21.0277777778,150,148.666764368
2,138.298358049,138.079549254,11.7124579539,14.6836449777,20.3888888889,20.3055555556,148.958847427,146.058759452
3,137.447413588,136.788331648,12.2255377837,16.2176951853,20.1388888889,19.9166666667,145.653180308,145.639929513
4,137.699997643,136.074734446,10.1577744314,17.0348957733,20.2222222222,19.6944444444,146.704461262,145.669319068
5,137.612268085,135.355180032,9.63170547595,14.6078922683,20.1944444444,19.5,148.679341991,142.631779838
6,137.530864781,135.513817239,10.4703770797,13.4472265196,20.1666666667,19.5555555556,147.097108863,141.04989879
7,137.715717016,135.465460881,9.57833785033,15.2262076904,20.2222222222,19.5277777778,144.015845361,141.319998816
8,137.330151002,134.934133509,8.99067300079,13.6911032136,20.1111111111,19.3888888889,143.182544394,140.223834495
9,137.530239964,134.563559564,8.70332351538,14.0101499331,20.1666666667,19.2777777778,147.103633315,141.162494065
10,137.71538959,134.592954752,8.57488552912,15.970756856,20.2222222222,19.25,147.082389801,142.643270124
11,137.71218519,134.496116561,8.17390963402,13.9802398966,20.2222222222,19.25,145.015789866,139.78590084
12,137.52614894,133.999045079,7.6803248931,16.7371170891,20.1666666667,19.0555555556,144.732337973,139.716625335
13,136.869943188,133.502996602,8.24296844385,12.6997784376,19.9722222222,18.9722222222,146.347376641,140.533818141
14,137.051155855,133.46283215,7.89947539843,14.5318618284,20.0277777778,18.9166666667,145.797038011,139.318460476
15,136.848983184,133.008489388,8.0013427884,16.7220591548,19.9722222222,18.7777777778,147.562386602,139.360496085
16,136.761385972,133.00067976,7.92820549273,16.6661155047,19.9444444444,18.7777777778,147.077832256,139.385107866
17,136.36128505,132.779887526,7.38396036492,16.1417465753,19.8333333333,18.7222222222,146.562719607,139.399527303
18,136.16212321,132.717048418,7.15690970123,18.188745092,19.7777777778,18.6944444444,146.556872752,142.158623289
19,135.762951167,132.087110729,7.67679921659,15.1250587214,19.6666666667,18.5555555556,146.570417959,141.727341597
20,135.664907546,131.993038637,7.07606623204,15.3494563194,19.6388888889,18.5277777778,147.078466097,141.718250164
21,135.571432979,132.343570423,7.29041389869,19.515907463,19.6111111111,18.5833333333,147.072682314,140.896213209
22,135.67978492,132.091280514,7.65072434316,21.0368278027,19.6388888889,18.5,146.570063275,141.432286397
23,135.279168263,131.758040672,7.3740864163,16.1598914014,19.5277777778,18.4444444444,146.557713079,140.483320866
24,135.264531198,131.546045696,7.33601703526,17.8878885889,19.5277777778,18.3611111111,147.050399725,139.753708155
25,134.983111709,131.747657571,6.90810295333,17.9794009192,19.4444444444,18.4166666667,147.097711538,140.664188016
26,134.893233693,131.412674047,7.60048452536,20.9804451873,19.4166666667,18.2777777778,145.524273635,139.077249534
27,134.395350767,131.594685785,7.19101618306,21.2701144749,19.2777777778,18.3333333333,144.043736873,140.246209959
28,133.709195516,131.15164824,6.96542314771,21.1895596684,19.0833333333,18.1944444444,144.217004304,140.728739772
29,133.614485433,131.334993935,7.30235978863,22.5693934664,19.0555555556,18.2222222222,144.966068684,140.130379647
30,133.136743553,130.736304277,7.28444139859,24.4712024967,18.9166666667,18.0277777778,142.415234575,139.298313024
31,133.032744291,130.696277215,7.97301743094,30.2848399968,18.8888888889,17.8888888889,143.397657964,138.30454475
32,132.037179989,129.709707443,7.74967859814,27.0446320875,18.6111111111,17.6944444444,142.485364037,137.381841559
33,132.253991152,129.944941791,8.60301516526,29.7004443656,18.6666666667,17.7222222222,142.490586622,138.246079703
34,132.144384407,129.808028792,8.59925192433,24.4210986114,18.6388888889,17.75,142.526251809,136.792680031
35,131.445935666,129.53465951,8.68263418977,29.0987854585,18.4444444444,17.5833333333,141.346861837,134.807227009
36,131.056078981,129.189173438,8.75995577121,25.8792210204,18.3333333333,17.5277777778,133.757654714,134.688831117
37,130.375624824,129.419310243,8.55875069467,29.8873824097,18.1388888889,17.5555555556,133.645907661,135.438540778
38,130.665756238,129.352936196,8.55645081474,27.9468283265,18.2222222222,17.5277777778,141.775910477,137.080330254
39,130.578432825,129.255193379,8.53841542442,28.9361084939,18.1944444444,17.5,140.778732839,137.340628044
40,130.386220771,129.201626195,8.87233387712,29.3438654984,18.1388888889,17.4722222222,137.289549939,135.539132188
