sensor,formation,reference_eospa,candidate_eospa,reference_conditional_rmse,candidate_conditional_rmse
1,1,130.155736095,129.902129506,8.79270362178,24.4860631271
2,1,130.684114836,130.002995829,8.44663976773,24.2633355553
3,1,131.467171963,130.749851769,8.97151205447,24.910905154
4,1,132.002950657,131.152238024,9.79068085491,27.1067678165
5,1,131.533322924,130.670637236,9.84037275241,25.7493084594
6,1,130.807964873,130.369259055,8.08288735174,25.2251902501
7,2,134.035989815,131.490622431,7.340666321,13.9166003016
8,2,134.473340402,131.575572912,6.34915472668,11.5757203771
9,2,134.476846914,131.438548699,7.19374347797,18.3926834333
10,2,133.50161381,131.216245922,7.95802876086,17.9375771216
11,2,132.977300232,130.573197637,8.04435047484,17.2731535038
12,2,133.506840333,130.407926263,7.25288522771,13.7676502826
13,3,135.937467829,133.117317867,8.33539794318,20.12495853
14,3,136.274108673,133.491887577,8.10263173814,20.9057802025
15,3,136.623600946,133.362856219,8.57335105479,21.5454765813
16,3,136.959042427,133.653359409,8.31474630281,24.6152263105
17,3,136.71035218,133.422500223,8.14261194666,25.1972147638
18,3,136.286272844,133.477689395,8.16345796448,23.7237074753
19,4,136.64878523,132.871058322,9.72834376061,15.735496977
20,4,136.971918707,132.93673403,8.62007135978,14.8470891211
21,4,136.627213865,132.81257353,8.14168425814,13.2762937256
22,4,136.613986054,132.968064339,7.72005829044,16.1332275212
23,4,136.615032134,132.644970392,7.88761212655,16.6276158369
24,4,136.977405393,133.119945879,9.18695104309,18.311031678
25,5,137.370604974,133.900490209,8.26825706984,22.5525483469
26,5,137.218191314,133.599416889,8.74165621216,21.0104635691
27,5,136.792923398,133.905279489,8.80164693616,21.5730731351
28,5,137.196640485,133.600560496,7.59673881754,21.8795503151
29,5,137.376133278,133.636218983,7.78330285305,24.3729015234
30,5,137.719448351,133.673545128,7.96521802651,25.0591552948
31,6,135.602502965,133.841490771,9.52406978906,11.5529543708
32,6,135.954829276,134.047996186,9.23620240836,13.026187404
33,6,135.786173871,134.259998283,9.25104339248,22.2641566958
34,6,135.578797354,134.28970068,8.67103105372,18.3902927343
35,6,135.417083721,134.059563958,9.0290998846,17.8332078168
36,6,135.59936766,133.992486242,9.46261960396,15.3216870609
