sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes,runtime_s,maximum_bernoulli_count
0000,reliable,qualified_exist,147,3.8487297657742148,4.870508607059032,0.24534976607055414,15.673469387755102,27.918367346938776,0.48299319727891155,72.13283122474286,630,750504,4854528,2.7591123333333334,23
0000,reliable,joint_evidence,147,3.9628212833853187,5.0699991394313795,0.3372082992939097,15.183673469387756,30.857142857142858,0.5170068027210885,99.13923999240929,632,705792,4854528,1.29211625,22
0000,reliable,joint_evidence_recency,147,3.980672263197303,5.136148997558171,0.3372092636801437,15.183673469387756,32.326530612244895,0.5238095238095238,99.13952352196236,632,699312,4854528,1.1718524583333334,22
0000,intermittent,qualified_exist,147,3.96132069559732,5.108084014450409,1.373065492853881,15.918367346938776,27.918367346938776,0.48639455782312924,403.6812548990412,629,768432,4854528,1.17350325,22
0000,intermittent,joint_evidence,147,4.198613007178835,5.500433011454427,1.4634143646993474,15.428571428571429,33.795918367346935,0.5476190476190477,430.24382322160847,631,782472,4854528,1.0476297083333332,21
0000,intermittent,joint_evidence_recency,147,4.080437518174996,5.32169308938188,1.4634153573822115,15.428571428571429,31.591836734693878,0.5306122448979592,430.2441150703701,631,721128,4854528,1.022484,21
0001,reliable,qualified_exist,114,7.193531192082701,6.897881157712179,0.8374250780432799,22.105263157894736,49.89473684210526,0.8947368421052632,190.93291779386786,114,509712,3764736,0.977614625,30
0001,reliable,joint_evidence,114,7.334324081635908,7.113913301919705,0.8506170097038037,21.473684210526315,53.68421052631579,0.9210526315789473,193.94067821246722,116,497616,3764736,0.8659635,23
0001,reliable,joint_evidence_recency,114,7.334324074528276,7.1447441474936495,0.8506164534295556,21.473684210526315,54.31578947368421,0.9298245614035088,193.9405513819387,116,490704,3764736,0.8128852083333333,24
0001,intermittent,qualified_exist,114,7.101120952344334,7.338679276755113,0.8332113634674999,21.789473684210527,60.94736842105263,1.043859649122807,189.97219087058994,115,472128,3764736,0.6776585833333333,26
0001,intermittent,joint_evidence,114,8.06921565888617,7.812780711384331,0.8464296429783542,21.157894736842106,62.526315789473685,1.0482456140350878,192.9859585990648,117,466296,3764736,0.7124370833333333,22
0001,intermittent,joint_evidence_recency,114,8.074428998101473,7.834581077996781,0.8464291486121549,21.157894736842106,63.1578947368421,1.0570175438596492,192.9858458835713,117,479256,3764736,0.7185231666666667,23
0002,reliable,qualified_exist,144,5.091669890505766,4.763774508526266,0.922989083235725,22.5,24.5,0.4583333333333333,265.8208559718888,122,473184,4755456,0.899131375,17
0002,reliable,joint_evidence,144,5.349082891901803,4.93209427828561,0.10786014743731144,21.0,26.5,0.4930555555555556,31.063722461945687,128,474264,4755456,0.83459425,15
0002,reliable,joint_evidence_recency,144,5.348731928668403,4.931382890484733,0.0953701827478981,21.0,26.5,0.4930555555555556,27.466612631394646,128,416592,4755456,0.7617649583333334,14
0002,intermittent,qualified_exist,144,6.148642871696854,5.4999837056093535,1.6750340016967253,21.25,30.25,0.5555555555555556,482.40979248865693,127,504072,4755456,0.8441720416666667,19
0002,intermittent,joint_evidence,144,6.292497559431716,5.6007752565179345,0.9613998081927417,20.5,32.5,0.6041666666666666,276.8831447595096,130,549216,4755456,0.8210427916666667,18
0002,intermittent,joint_evidence_recency,144,6.287960319980176,5.68748565142623,0.9505632620513542,20.0,34.75,0.6076388888888888,273.76221947079006,132,494784,4755456,0.7565909166666667,18
0003,reliable,qualified_exist,198,6.463879887487626,16.1948360384673,12.856196833214042,221.0909090909091,86.9090909090909,2.8434343434343434,5091.053945952757,2500,5343120,8816128,11.281699666666666,118
