scene,arm,seeds,ospa,count_mae,worst_node,p90,gospa,loc2,miss2,false2,matched_rmse,wire_bytes,raw_bytes,reunion_ospa,post_departure_false2,ospa_sample_sd,remote_acquisitions,remote_queries
split_latebirth,local,3,6.995471896354762,1.3399305555555554,8.944230750019498,8.567646576812706,9.515387906969627,5.839665672837306,97.575,1.1,1.6448537161561188,0.0,0.0,7.877286619487761,3.3000000000000003,0.3120516234427218,0,24
split_latebirth,kla,3,3.3593860813469973,0.5565972222222222,4.069809044242735,6.0725780051051705,4.699661842109065,0.5594937648666215,40.1,0.024999999999999998,0.4214218361023551,26173440.0,2854760.0,6.954532092856936,0.0,0.07943151861394743,24,24
split_latebirth,fov,3,3.3622164087372535,0.5576388888888889,4.062998468256661,6.075238791503093,4.702384783743258,0.5594844284483513,40.15,0.0,0.4215090277836162,26173440.0,2806704.0,6.964882966363113,0.0,0.07315066560023338,24,24
split_latebirth,lineage,3,2.6605842289891974,0.41875,3.1367495362585345,6.036093494801482,3.7809775440038274,0.5748474726901307,30.149999999999995,0.0,0.420098299319448,26173440.0,2737880.0,3.8722353215522776,0.0,0.05540082898455113,24,24
split_latebirth,mil,3,4.354356512970608,0.5760416666666667,5.310018003101082,6.558740283539744,6.5282429544594365,12.658964485757098,42.875,1.4000000000000001,2.055369381641221,26173440.0,7231632.0,6.396177071799457,4.9,0.27079089199257467,22,24
split_latebirth,recent,3,2.8708359857529735,0.46319444444444446,3.5615200713361346,6.06477730633591,4.050333702856364,0.6680629112254253,33.35,0.0,0.45960076249290666,26173440.0,2772536.0,4.897383097746455,0.0,0.07159378539935365,24,24
churn_departure,local,3,6.868984225703521,1.192013888888889,8.927197698357917,8.949033182723648,9.037519723983067,6.065564477368031,87.52499999999999,1.7,1.7420800977285384,0.0,0.0,7.568913679941548,5.8999999999999995,0.3027250799611016,0,24
churn_departure,kla,3,2.2987886174745693,0.35451388888888885,3.867718685760259,6.004931241001725,3.1928680055495655,0.14212635352901296,21.575,4.25,0.22194513309136601,26927104.0,2958512.0,2.4107312642198724,16.900000000000002,0.3831229982452813,24,24
churn_departure,fov,3,2.2761553595033384,0.3510416666666667,3.803960915280232,6.005008498004581,3.1594104028928727,0.14178898155701292,21.900000000000002,3.625,0.22185283618012985,26927104.0,2886600.0,2.3255654940647434,14.5,0.3735927703106626,24,24
churn_departure,lineage,3,0.7695577749891992,0.09340277777777778,1.5376388754464365,0.4472136828698847,1.1257035082248164,0.17787913107947015,2.45,4.2749999999999995,0.23731689945883838,26927104.0,2705416.0,0.9334231931680205,17.099999999999998,0.06399021678563802,24,24
churn_departure,mil,3,3.9201572431601677,0.41250000000000003,5.3952741055349165,6.724908367961135,6.025809165370386,19.1068459865747,25.75,5.1,2.553948876835895,26927104.0,8949728.0,4.5885660596552205,19.4,0.2708217769208254,14,24
churn_departure,recent,3,1.334689240656549,0.19097222222222224,2.4525002932516,6.003186961791253,1.8838784137905489,0.1717658513346323,10.549999999999999,3.1999999999999997,0.23752174367801124,26927104.0,2856456.0,1.3408984609648849,12.799999999999999,0.20624449937531183,24,24
split_no_new,local,3,5.989668931253884,0.6215277777777778,9.300101847635217,8.631107514076378,6.3558879180543,5.448756481720969,45.800000000000004,1.05,1.9624966089800173,0.0,0.0,6.716293494803071,3.0,0.8744198392633404,0,0
split_no_new,kla,3,0.9182345085000213,0.06805555555555555,1.8140522591509134,1.1749829910513578,1.0651664179322817,0.5073107901188277,4.925,0.024999999999999998,0.4847094620165207,26173440.0,2334112.0,3.8576434379226847,0.0,0.17541787499620096,0,0
split_no_new,fov,3,0.944286816428784,0.07152777777777779,1.8311203036756263,1.1994023537565328,1.0898075476194184,0.5072444045451595,5.1499999999999995,0.0,0.4850955074323399,26173440.0,2280560.0,4.170202136819771,0.0,0.1798623596306042,0,0
split_no_new,lineage,3,0.8135081597203206,0.05555555555555555,1.557001642346694,1.135943907716465,0.964905141812865,0.5083174962900548,3.8250000000000006,0.17500000000000002,0.484838469934411,26173440.0,2206376.0,4.100729186579018,0.3,0.1890954255201111,0,0
split_no_new,mil,3,2.3966592827519198,0.035069444444444445,3.7097703870012757,4.699965568383623,3.267157414500822,13.361665935566279,3.8499999999999996,1.325,2.528136293114336,26173440.0,4927784.0,2.7338099468379995,3.9,0.7144017129566858,0,0
split_no_new,recent,3,0.748195597925338,0.044097222222222225,1.5712369868321556,1.1773035421153975,0.9088918183587,0.606762331304492,3.1750000000000003,0.0,0.5354614441049047,26173440.0,2203312.0,2.4554493493368983,0.0,0.13702561361144183,0,0
