cohort,sequence,condition,frame,receiver,source,source_birth_time,source_birth_location,delta,raw_kappa,discarded_log_odds,smallest_precision_eigenvalue,curvature_tolerance
new_recording_diagnostic,0000,reliable,3,1,2,3,200004,-2.0119159001028026,0.3059030464463317,-0.6154512030352609,-0.004823056921856483,1e-10
new_recording_diagnostic,0000,reliable,3,2,2,3,200004,-2.0119159001028026,0.3059030464463317,-0.6154512030352609,-0.004823056921856483,1e-10
new_recording_diagnostic,0000,reliable,4,1,2,4,200004,-1.025133780232281,0.11403279588213822,-0.11689887111311245,-0.038687479664119805,1e-10
new_recording_diagnostic,0000,reliable,4,1,2,4,200002,-1.796446058678437,0.24660758995043938,-0.44301723300665496,-0.04377512566263381,1e-10
new_recording_diagnostic,0000,reliable,4,2,2,4,200002,-1.796446058678437,0.24660758995043938,-0.44301723300665496,-0.04377512566263381,1e-10
new_recording_diagnostic,0000,reliable,4,2,2,4,200004,-1.025133780232281,0.11403279588213822,-0.11689887111311245,-0.038687479664119805,1e-10
new_recording_diagnostic,0000,reliable,5,1,2,5,200004,-1.9278983841731423,0.28125189580590687,-0.5422250754698408,-0.029321430905662586,1e-10
new_recording_diagnostic,0000,reliable,5,1,2,5,200002,-2.142746517648517,0.3486605551715656,-0.7470911904352708,-0.0024982704228570535,1e-10
new_recording_diagnostic,0000,reliable,5,2,2,5,200002,-2.142746517648517,0.3486605551715656,-0.7470911904352708,-0.0024982704228570535,1e-10
new_recording_diagnostic,0000,reliable,5,2,2,5,200004,-1.9278983841731423,0.28125189580590687,-0.5422250754698408,-0.029321430905662586,1e-10
new_recording_diagnostic,0000,reliable,6,1,2,6,200002,-2.161260852844968,0.3551759010988788,-0.7676277709189429,-0.0012175862334562963,1e-10
new_recording_diagnostic,0000,reliable,6,1,2,6,200004,-1.523168042541694,0.187639084140295,-0.28580585649428936,-0.02481570602395518,1e-10
new_recording_diagnostic,0000,reliable,6,2,2,6,200002,-2.161260852844968,0.3551759010988788,-0.7676277709189429,-0.0012175862334562963,1e-10
new_recording_diagnostic,0000,reliable,6,2,2,6,200004,-1.523168042541694,0.187639084140295,-0.28580585649428936,-0.02481570602395518,1e-10
new_recording_diagnostic,0000,reliable,7,1,2,7,200002,-2.1606419786773894,0.354956159911828,-0.7669331796956199,-0.0116469600562871,1e-10
new_recording_diagnostic,0000,reliable,7,2,2,7,200002,-2.1606419786773894,0.354956159911828,-0.7669331796956199,-0.0116469600562871,1e-10
new_recording_diagnostic,0000,reliable,10,1,2,10,200005,-2.2867356283341045,0.4026581497420482,-0.9207727370542306,-0.0026061693879420146,1e-10
new_recording_diagnostic,0000,reliable,10,2,2,10,200005,-2.2867356283341045,0.4026581497420482,-0.9207727370542306,-0.0026061693879420146,1e-10
new_recording_diagnostic,0000,reliable,11,1,2,11,200004,-2.07435477822095,0.32561219526984664,-0.6754352131050194,-0.02503909549184042,1e-10
new_recording_diagnostic,0000,reliable,11,2,2,11,200004,-2.07435477822095,0.32561219526984664,-0.6754352131050194,-0.02503909549184042,1e-10
new_recording_diagnostic,0000,reliable,15,1,2,15,200005,-2.286991801222723,0.1611045252226605,-0.3684447283241039,-0.002531491332979784,1e-10
new_recording_diagnostic,0000,reliable,15,1,2,14,200005,-2.3021563650802115,0.16356622319621095,-0.37655502184328754,-0.0010236405570051592,1e-10
new_recording_diagnostic,0000,reliable,15,2,2,14,200005,-2.3021563650802115,0.16356622319621095,-0.37655502184328754,-0.0010236405570051592,1e-10
new_recording_diagnostic,0000,reliable,15,2,2,15,200005,-2.286991801222723,0.1611045252226605,-0.3684447283241039,-0.002531491332979784,1e-10
new_recording_diagnostic,0000,reliable,21,1,2,21,200006,-2.302546232916424,0.40907501209530844,-0.941914128080293,-3.354526339077134e-05,1e-10
new_recording_diagnostic,0000,reliable,21,2,2,21,200006,-2.302546232916424,0.40907501209530844,-0.941914128080293,-3.354526339077134e-05,1e-10
new_recording_diagnostic,0000,reliable,23,1,2,23,200003,-2.1296056051466308,0.13764352394694723,-0.2931264201095533,-0.006685247759746842,1e-10
new_recording_diagnostic,0000,reliable,23,2,2,23,200003,-2.1296056051466308,0.13764352394694723,-0.2931264201095533,-0.006685247759746842,1e-10
new_recording_diagnostic,0000,reliable,34,1,1,34,100001,-2.187269369061472,0.3645346756517349,-0.7973355300137986,-0.01653721784602405,1e-10
new_recording_diagnostic,0000,reliable,34,2,1,34,100001,-2.187269369061472,0.3645346756517349,-0.7973355300137986,-0.01653721784602405,1e-10
new_recording_diagnostic,0000,reliable,36,1,1,36,100001,-2.1738613851466044,0.35967962156192573,-0.7818936403376143,-0.013731689730304874,1e-10
new_recording_diagnostic,0000,reliable,36,2,1,36,100001,-2.1738613851466044,0.35967962156192573,-0.7818936403376143,-0.013731689730304874,1e-10
new_recording_diagnostic,0000,reliable,37,1,1,37,100001,-1.9783560657537047,0.29580734345719123,-0.5852122522230238,-0.039302025561383964,1e-10
new_recording_diagnostic,0000,reliable,37,2,1,37,100001,-1.9783560657537047,0.29580734345719123,-0.5852122522230238,-0.039302025561383964,1e-10
new_recording_diagnostic,0000,reliable,38,1,1,36,100004,-1.2327326721849952,0.05613695052114712,-0.06920185302425055,-0.018942589951265153,1.8180230929797705e-10
new_recording_diagnostic,0000,reliable,38,1,1,37,100004,-2.146263191727334,0.13995553567186442,-0.30038141469100443,-0.1184151165615606,1e-10
new_recording_diagnostic,0000,reliable,38,2,1,36,100004,-1.2327326721849952,0.05613695052114712,-0.06920185302425055,-0.018942589951265153,1.8180230929797705e-10
new_recording_diagnostic,0000,reliable,38,2,1,37,100004,-2.146263191727334,0.13995553567186442,-0.30038141469100443,-0.1184151165615606,1e-10
new_recording_diagnostic,0000,reliable,39,1,1,37,100004,-2.196202308194722,0.1471222518345549,-0.3231102290658547,-0.030502172656370615,1e-10
new_recording_diagnostic,0000,reliable,39,2,1,37,100004,-2.196202308194722,0.1471222518345549,-0.3231102290658547,-0.030502172656370615,1e-10
new_recording_diagnostic,0000,reliable,43,1,2,35,100004,-2.2963110968823615,0.4034910213113312,-0.9265409097296072,-0.04809431519978257,1.8811631714668177e-10
new_recording_diagnostic,0000,reliable,43,2,2,35,100004,-2.2963110968823615,0.4034910213113312,-0.9265409097296072,-0.04809431519978257,1.8811631714668177e-10
new_recording_diagnostic,0000,reliable,44,1,2,35,100004,-2.233702643555108,0.37616169317287346,-0.8402333684444129,-0.17653231384409837,1.4637084399812995e-10
new_recording_diagnostic,0000,reliable,44,2,2,35,100004,-2.233702643555108,0.37616169317287346,-0.8402333684444129,-0.17653231384409837,1.4637084399812995e-10
new_recording_diagnostic,0000,reliable,45,1,2,35,100004,-1.4727632839479499,0.17443230694933826,-0.2568974972093242,-0.15736784130119494,1.328048939071861e-10
new_recording_diagnostic,0000,reliable,45,1,2,45,200002,-2.0540918905267422,0.31908074838700223,-0.6554211776849451,-0.030008200488858473,1e-10
new_recording_diagnostic,0000,reliable,45,2,2,35,100004,-1.4727632839479499,0.17443230694933826,-0.2568974972093242,-0.15736784130119494,1.328048939071861e-10
new_recording_diagnostic,0000,reliable,45,2,2,45,200002,-2.0540918905267422,0.31908074838700223,-0.6554211776849451,-0.030008200488858473,1e-10
new_recording_diagnostic,0000,reliable,46,1,2,46,200002,-1.936449444528087,0.2836672097722142,-0.5493072107942366,-0.03854983055247611,1e-10
new_recording_diagnostic,0000,reliable,46,2,2,46,200002,-1.936449444528087,0.2836672097722142,-0.5493072107942366,-0.03854983055247611,1e-10
new_recording_diagnostic,0000,reliable,47,1,2,45,200006,-1.2044758594131302,0.05457290081676129,-0.06573174161193607,-0.07550977322148589,1.5343383782206403e-10
new_recording_diagnostic,0000,reliable,47,1,2,46,200006,-1.9843111622480152,0.11902966411686661,-0.23619189114573044,-0.1647547338484846,1e-10
new_recording_diagnostic,0000,reliable,47,2,2,45,200006,-1.2044758594131302,0.05457290081676129,-0.06573174161193607,-0.07550977322148589,1.5343383782206403e-10
new_recording_diagnostic,0000,reliable,47,2,2,46,200006,-1.9843111622480152,0.11902966411686661,-0.23619189114573044,-0.1647547338484846,1e-10
