sequence,condition,truth_id,frame,robot,arm,preprune_components,retained_components,sum_r,max_r,probability_effective_count,born_in_last_ten_frames,total_retained_components,matched
v2xt_0001,reliable,5,25,1,marked_gaussian_evidence,1,1,0.9973238301860681,0.9973238301860681,1.0,0,73,True
v2xt_0001,reliable,5,25,2,marked_gaussian_evidence,1,1,0.9973238301860681,0.9973238301860681,1.0,0,73,True
v2xt_0001,reliable,5,26,1,marked_gaussian_evidence,1,1,0.9977261123327027,0.9977261123327027,1.0,0,71,True
v2xt_0001,reliable,5,26,2,marked_gaussian_evidence,1,1,0.9977261123327027,0.9977261123327027,1.0,0,71,True
v2xt_0001,reliable,5,27,1,marked_gaussian_evidence,1,1,0.997805720905605,0.997805720905605,1.0,0,77,True
v2xt_0001,reliable,5,27,2,marked_gaussian_evidence,1,1,0.997805720905605,0.997805720905605,1.0,0,77,True
v2xt_0001,reliable,5,28,1,marked_gaussian_evidence,1,1,0.9972417236172133,0.9972417236172133,0.9999999999999999,0,76,True
v2xt_0001,reliable,5,28,2,marked_gaussian_evidence,1,1,0.9972417236172133,0.9972417236172133,0.9999999999999999,0,76,True
v2xt_0001,reliable,5,29,1,marked_gaussian_evidence,1,1,0.9974934563366791,0.9974934563366791,1.0,0,80,True
v2xt_0001,reliable,5,29,2,marked_gaussian_evidence,1,1,0.9974934563366791,0.9974934563366791,1.0,0,80,True
v2xt_0001,reliable,5,30,1,marked_gaussian_evidence,1,1,0.997590960241634,0.997590960241634,1.0,0,81,True
v2xt_0001,reliable,5,30,2,marked_gaussian_evidence,1,1,0.997590960241634,0.997590960241634,1.0,0,81,True
v2xt_0001,reliable,5,31,1,marked_gaussian_evidence,1,1,0.9975354741907847,0.9975354741907847,1.0,0,87,True
v2xt_0001,reliable,5,31,2,marked_gaussian_evidence,1,1,0.9975354741907847,0.9975354741907847,1.0,0,87,True
v2xt_0001,reliable,5,32,1,marked_gaussian_evidence,1,1,0.9972525379412945,0.9972525379412945,1.0,0,89,True
v2xt_0001,reliable,5,32,2,marked_gaussian_evidence,1,1,0.9972525379412945,0.9972525379412945,1.0,0,89,True
v2xt_0001,reliable,5,33,1,marked_gaussian_evidence,1,1,0.9974494598474307,0.9974494598474307,1.0,0,95,True
v2xt_0001,reliable,5,33,2,marked_gaussian_evidence,1,1,0.9974494598474307,0.9974494598474307,1.0,0,95,True
v2xt_0001,reliable,5,34,1,marked_gaussian_evidence,1,1,0.9977434288994498,0.9977434288994498,1.0,0,97,True
v2xt_0001,reliable,5,34,2,marked_gaussian_evidence,1,1,0.9977434288994498,0.9977434288994498,1.0,0,97,True
v2xt_0001,reliable,5,35,1,marked_gaussian_evidence,1,1,0.9971853426199342,0.9971853426199342,1.0,0,103,True
v2xt_0001,reliable,5,35,2,marked_gaussian_evidence,1,1,0.9971853426199342,0.9971853426199342,1.0,0,103,True
