state,source_1,source_2,kla,mil
-7.0,0.00013383022576488537,7.69459862670642e-23,9.134720408364595e-12,6.691511288244268e-05
-6.99,0.00013928497646575994,8.503421446798956e-23,9.796572530568422e-12,6.964248823287997e-05
-6.98,0.00014494756042389079,9.396324532749073e-23,1.0505328269853615e-11,7.247378021194539e-05
-6.97,0.00015082527155051807,1.0381948798732551e-22,1.1264234105616178e-11,7.541263577525903e-05
-6.96,0.00015692563406553226,1.1469812748239538e-22,1.2076755629578174e-11,7.846281703276613e-05
-6.95,0.00016325640876624202,1.267040052182252e-22,1.2946591938319177e-11,8.162820438312101e-05
-6.94,0.0001698255994293433,1.3995258667650211e-22,1.3877690943802483e-11,8.491279971467164e-05
-6.93,0.00017664145934757124,1.545710248779582e-22,1.4874265658598137e-11,8.832072967378562e-05
-6.92,0.0001837124980024571,1.706993289543599e-22,1.5940811515883886e-11,9.185624900122855e-05
-6.91,0.00019104748787459762,1.884916480826121e-22,1.7082124787880828e-11,9.552374393729881e-05
-6.9,0.00019865547139277237,2.0811768202028245e-22,1.8303322170155714e-11,9.932773569638618e-05
-6.89,0.00020654576802322586,2.2976423056216597e-22,1.960986160321971e-11,0.00010327288401161293
-6.88,0.00021472798150036704,2.536368954198987e-22,2.1007564407069486e-11,0.00010736399075018352
-6.87,0.0002232120072001021,2.799619493209732e-22,2.2502638808781945e-11,0.00011160600360005105
-6.86,0.00023200803965694195,3.0898838854036835e-22,2.4101704947982274e-11,0.00011600401982847097
-6.85,0.00024112658022599367,3.409901866280067e-22,2.5811821449986735e-11,0.00012056329011299684
-6.84,0.00025057844489086075,3.7626876879235364e-22,2.7640513661679543e-11,0.00012528922244543037
-6.83,0.00026037477221844247,4.1515572825612974e-22,2.9595803650741625e-11,0.00013018738610922123
-6.82,0.0002705270314615208,4.580158079313133e-22,3.168624207470927e-11,0.0001352635157307604
-6.81,0.00028104703080998687,5.052501729818172e-22,3.3920942032542887e-11,0.00014052351540499343
-6.8,0.00029194692579146027,5.573000022720691e-22,3.630961501791801e-11,0.00014597346289573014
-6.79,0.0003032392278220042,6.146504293571968e-22,3.8862609100365115e-11,0.0001516196139110021
-6.78,0.00031493681290752155,6.778348665759302e-22,4.15909494676606e-11,0.00015746840645376078
-6.77,0.0003270529304963753,7.47439748985571e-22,4.450638147056985e-11,0.00016352646524818765
-6.76,0.0003396012124836548,8.241097383508909e-22,4.762141631915674e-11,0.0001698006062418274
-6.75,0.00035259568236744546,9.085534311976665e-22,5.094937958843684e-11,0.00017629784118372273
-6.74,0.000366050764557335,1.0015496190910082e-21,5.450446270018256e-11,0.0001830253822786675
-6.73,0.0003799812938353208,1.1039541538361366e-21,5.830177755721918e-11,0.0001899906469176604
-6.72,0.0003944025249691569,1.2167074752562462e-21,6.235741451659849e-11,0.00019720126248457846
-6.71,0.0004093301424780789,1.340842864619259e-21,6.668850389863444e-11,0.00020466507123903944
-6.7,0.00042478027055075143,1.4774954927042648e-21,7.131328123996076e-11,0.00021239013527537572
-6.69,0.00044076948311513176,1.6279123379626345e-21,7.62511565105424e-11,0.00022038474155756588
-6.68,0.0004573148140598576,1.7934630572937176e-21,8.152278752700065e-11,0.0002286574070299288
-6.67,0.00047443376760662064,1.9756518996659527e-21,8.715015780768908e-11,0.00023721688380331032
-6.66,0.0004921443288328931,2.1761307612409837e-21,9.31566591287585e-11,0.00024607216441644656
-6.65,0.0005104649743441847,2.396713489855086e-21,9.956717905497005e-11,0.00025523248717209237
-6.64,0.0005294146830949357,2.6393915567568464e-21,1.0640819373433638e-10,0.00026470734154746786
-6.63,0.0005490129473569587,2.9063512244646384e-21,1.1370786626179043e-10,0.00027450647367847935
-6.62,0.0005692797838342526,3.19999235157584e-21,1.21496150934077e-10,0.0002846398919171263
-6.61,0.0005902357449227851,3.522948988425638e-21,1.2980490373594138e-10,0.00029511787246139253
-6.6,0.0006119019301137731,3.878111931746961e-21,1.3866799941653172e-10,0.00030595096505688655
-6.59,0.0006342999975387576,4.268653422046667e-21,1.4812145553476551e-10,0.0003171499987693788
-6.58,0.0006574521756546766,4.698054184383368e-21,1.582035638732913e-10,0.0003287260878273383
-6.57,0.0006813812750668916,5.170133031756747e-21,1.689550296426308e-10,0.0003406906375334458
-6.56,0.0007061107004880375,5.689079270519541e-21,1.80419118920249e-10,0.00035305535024401875
-6.55,0.0007316644628303109,6.2594881692601015e-21,1.9264181479359126e-10,0.00036583223141515545
-6.54,0.0007580671914287103,6.886399776640131e-21,2.056719827017797e-10,0.00037903359571435515
-6.53,0.0007853441463924686,7.575341399875025e-21,2.195615454975418e-10,0.0003926720731962343
-6.52,0.0008135212310818092,8.332374084132099e-21,2.3436566877932076e-10,0.0004067606155409046
-6.51,0.0008426250047069028,9.164143464267265e-21,2.50142957073282e-10,0.0004213125023534514
-6.5,0.0008726826950457602,1.0077935394300011e-20,2.669556614762852e-10,0.0004363413475228801
-6.49,0.0009037222112775245,1.1081736797038495e-20,2.8486989940380574e-10,0.00045186110563876224
-6.48,0.000935772156927478,1.2184302216627425e-20,3.0395588712144434e-10,0.000467886078463739
-6.47,0.0009688618429198468,1.3395226600761204e-20,3.2428818577506054e-10,0.0004844309214599234
-6.46,0.0010030213007342376,1.4725024887223958e-20,3.459459616727844e-10,0.0005015106503671188
-6.45,0.0010382812956614103,1.6185219021629385e-20,3.690132616124567e-10,0.0005191406478307052
-6.4399999999999995,0.0010746733401537367,1.7788433090096716e-20,3.935793040901454e-10,0.0005373366700768684
-6.43,0.001112229707265567,1.9548497312574888e-20,4.1973878726988887e-10,0.0005561148536327835
-6.42,0.0011509834441784845,2.1480561709980598e-20,4.4759221464136907e-10,0.0005754917220892423
-6.41,0.0011909683858061168,2.3601220331823754e-20,4.772462393411402e-10,0.0005954841929030584
-6.4,0.0012322191684730178,2.592864701100371e-20,5.088140281645039e-10,0.0006161095842365089
-6.39,0.0012747712436618351,2.848274369959531e-20,5.424156463490548e-10,0.0006373856218309176
-6.38,0.0013186608918227423,3.128530253429455e-20,5.781784642675621e-10,0.0006593304459113712
-6.37,0.0013639252362389036,3.4360182883449736e-20,6.162375872274116e-10,0.0006819626181194518
-6.36,0.0014106022569413826,3.773350474000502e-20,6.56736309636108e-10,0.0007053011284706913
-6.35,0.0014587308046667472,4.14338599469603e-20,6.998265948579804e-10,0.0007293654023333736
-6.34,0.0015083506148503075,4.5492542875110605e-20,7.456695821558504e-10,0.0007541753074251537
-6.33,0.0015595023216476915,4.9943802317586317e-20,7.944361221836016e-10,0.0007797511608238457
