sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s,experiment,cohort,pd
0000,reliable,marked_lineage,147,2.48984722937064,2.9304810698143315,0.2005337460693375,18.122448979591837,4.8979591836734695,0.30612244897959184,1107984,1107984,4854528,10.79232375,motion,development,0.9
0000,reliable,marked_asymmetric,147,2.4308565056332925,2.8790325548485427,0.20765948802052114,17.632653061224488,4.8979591836734695,0.29931972789115646,1198640,1198640,4854528,7.913723833333333,motion,development,0.9
0000,reliable,marked_gaussian_evidence_guarded_scalar,147,2.3746234825765384,2.8234091129500447,0.20794981760680015,17.142857142857142,4.8979591836734695,0.2925170068027211,1884160,1884160,4854528,7.794024791666667,motion,development,0.9
0000,reliable,marked_gaussian_evidence,147,2.2514681819133644,2.678496401193276,0.16202696863758376,16.653061224489797,4.408163265306122,0.2789115646258503,2199904,2199904,4854528,9.732105833333334,motion,development,0.9
0000,intermittent,marked_lineage,147,3.3298962054773713,4.145531995917742,3.750810430923461,24.489795918367346,6.36734693877551,0.3877551020408163,1089840,861680,4854528,5.5341915833333335,motion,development,0.9
0000,intermittent,marked_asymmetric,147,3.229394884495026,4.0356947502987985,3.7520088115028623,24.0,5.877551020408164,0.3741496598639456,1436208,1063280,4854528,6.080998458333333,motion,development,0.9
0000,intermittent,marked_gaussian_evidence_guarded_scalar,147,3.284739399859608,4.091064359856385,3.752009893569999,24.0,6.36734693877551,0.38095238095238093,2180192,1613984,4854528,8.330697,motion,development,0.9
0000,intermittent,marked_gaussian_evidence,147,3.212003491102,4.008147464034735,3.5983608389086443,24.0,5.877551020408164,0.3741496598639456,2474464,1809344,4854528,7.772058333333334,motion,development,0.9
0001,reliable,marked_lineage,114,4.833386682352234,4.615602413251688,0.9166865609991957,25.263157894736842,18.94736842105263,0.47368421052631576,767832,767832,3764736,9.146307875,motion,development,0.9
0001,reliable,marked_asymmetric,114,4.306950118022279,4.186658746504088,0.919966408034632,23.36842105263158,17.05263157894737,0.42105263157894735,815352,815352,3764736,5.994538,motion,development,0.9
0001,reliable,marked_gaussian_evidence_guarded_scalar,114,4.306949451370099,4.186658019304569,0.9199588493214237,23.36842105263158,17.05263157894737,0.42105263157894735,1238592,1238592,3764736,5.3128412916666665,motion,development,0.9
0001,reliable,marked_gaussian_evidence,114,4.233532283372434,4.11524833317768,0.8980734717392871,22.736842105263158,17.05263157894737,0.41228070175438597,1218880,1218880,3764736,5.147834791666667,motion,development,0.9
0001,intermittent,marked_lineage,114,4.7062851398470675,4.627304088570341,0.9195582167429777,23.68421052631579,23.36842105263158,0.4956140350877193,799800,585952,3764736,4.933362416666666,motion,development,0.9
