sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes,runtime_s,maximum_bernoulli_count
0000,reliable,marked_lineage,147,2.1112403445538552,2.5475354198425153,0.1435112359521936,16.163265306122447,4.408163265306122,0.24489795918367346,42.19230336994491,628,684624,4854528,2.707269875,21
0000,reliable,marked_er,147,2.242465426652271,2.7810313707372782,0.2633034218581524,13.714285714285714,9.306122448979592,0.23809523809523808,77.41120602629681,638,633000,4854528,1.3441736666666666,19
0000,reliable,marked_ceiling_association,147,2.006040118964944,2.431654433417971,0.2644843076630509,13.714285714285714,5.387755102040816,0.22448979591836735,77.75838645293699,638,658488,4854528,1.3045166666666668,21
0000,reliable,marked_ceiling_score,147,2.017360320822991,2.448694005281119,0.16389163993482744,15.183673469387756,4.408163265306122,0.23129251700680273,48.18414214083925,632,651144,4854528,1.37252625,21
0000,reliable,marked_ceiling_calibrated,147,2.0347343322059315,2.4611416035466043,0.19016381832324886,14.693877551020408,4.8979591836734695,0.23129251700680273,55.90816258703525,634,652656,4854528,1.2349077083333333,21
0000,intermittent,marked_lineage,147,2.5395482514421954,3.1271579668644116,1.2141880055959131,16.653061224489797,6.122448979591836,0.2891156462585034,356.97127364519883,626,614856,4854528,1.0454215,19
0000,intermittent,marked_er,147,2.6175947589940143,3.307663128448342,1.3339431341298043,14.204081632653061,10.53061224489796,0.2755102040816326,392.1792814341624,636,633864,4854528,1.218830875,20
0000,intermittent,marked_ceiling_association,147,2.410097986257966,3.0317139676013753,1.3858836631091191,13.959183673469388,7.836734693877551,0.25510204081632654,407.4497969540809,637,647256,4854528,1.0366501666666668,21
0000,intermittent,marked_ceiling_score,147,2.502651606407077,3.101410867073333,1.224378157049332,16.163265306122447,6.612244897959184,0.2755102040816326,359.9671781725035,628,630408,4854528,1.0600727916666666,20
0000,intermittent,marked_ceiling_calibrated,147,2.4488227145638937,3.0370620110399322,1.311563162186852,14.938775510204081,6.857142857142857,0.2687074829931973,385.59956968293466,633,643800,4854528,1.102362,21
0001,reliable,marked_lineage,114,4.266652951077348,4.3122586637801295,0.8709107637021682,21.473684210526315,20.210526315789473,0.543859649122807,198.56765412409433,116,509496,3764736,1.0061247083333333,21
0001,reliable,marked_er,114,5.284570949201942,4.994748901378376,0.8812895059693315,20.210526315789473,27.157894736842106,0.6228070175438597,200.93400736100745,120,487464,3764736,0.953421125,21
0001,reliable,marked_ceiling_association,114,4.62439172761934,4.422378325087013,0.8937072562350209,20.210526315789473,20.210526315789473,0.5263157894736842,203.76525442158479,120,450960,3764736,0.90455375,19
0001,reliable,marked_ceiling_score,114,4.081382577335213,3.995778286595382,0.8937264697066823,20.210526315789473,15.789473684210526,0.4649122807017544,203.76963509312355,120,453552,3764736,0.922518375,19
0001,reliable,marked_ceiling_calibrated,114,4.291893911016267,4.1446218172064695,0.8937072193145905,20.210526315789473,17.05263157894737,0.4824561403508772,203.7652460037267,120,450960,3764736,0.896997875,19
0001,intermittent,marked_lineage,114,4.671126059490567,4.530136575509032,0.8845635720473002,19.57894736842105,23.36842105263158,0.543859649122807,201.68049442678443,122,491568,3764736,0.8048650833333333,22
0001,intermittent,marked_er,114,5.202650085354024,4.925947904739759,0.8845522310610672,19.57894736842105,27.157894736842106,0.5964912280701754,201.67790868192336,122,482712,3764736,0.7912410833333333,24
0001,intermittent,marked_ceiling_association,114,4.781597440972675,4.628218722447637,0.8845521714711679,19.57894736842105,24.63157894736842,0.5614035087719298,201.6778950954262,122,452472,3764736,0.8410375416666667,21
0001,intermittent,marked_ceiling_score,114,4.355331503653942,4.3068325447624645,0.8845506163732155,19.57894736842105,21.473684210526315,0.5175438596491229,201.67754053309315,122,458088,3764736,0.7567853333333333,21
0001,intermittent,marked_ceiling_calibrated,114,4.673727599293762,4.541957898674509,0.8845520996318966,19.57894736842105,23.68421052631579,0.5482456140350878,201.6778787160724,122,451824,3764736,0.7564234583333334,21
0002,reliable,marked_lineage,144,3.95051734733339,3.5041893371967965,0.08339223829578074,23.0,11.0,0.3055555555555556,24.016964629184844,120,335808,4755456,1.2805455,18
0002,reliable,marked_er,144,4.0016379766126455,3.5241810254457397,0.09728976631288716,19.5,12.0,0.3541666666666667,28.019452698111508,134,288720,4755456,1.0270850416666666,13
0002,reliable,marked_ceiling_association,144,3.91483141193328,3.437169608546326,0.0937025146025532,20.0,11.0,0.3333333333333333,26.98632420553534,132,290664,4755456,1.0147950416666667,16
0002,reliable,marked_ceiling_score,144,4.043004673673741,3.540860646728982,0.0890084170462884,21.5,11.0,0.3263888888888889,25.634424109331064,126,309672,4755456,1.021473375,18
0002,reliable,marked_ceiling_calibrated,144,3.829557012333347,3.3516999983394835,0.0926759934853782,20.5,10.0,0.3125,26.69068612378892,130,292824,4755456,1.0072077916666666,17
0002,intermittent,marked_lineage,144,3.954912228731807,3.4963648789971296,0.1023588537686483,22.5,11.25,0.3020833333333333,29.479349885370702,122,380952,4755456,1.060589125,18
0002,intermittent,marked_er,144,4.192447439076712,3.7214945421485774,0.11112508125955875,20.0,14.0,0.3472222222222222,32.00402340275293,132,331488,4755456,0.9417513333333334,13
0002,intermittent,marked_ceiling_association,144,4.105748113404768,3.591472541390532,0.10754052278742084,20.5,12.0,0.3402777777777778,30.9716705627772,130,333432,4755456,0.93136625,16
