sensor,formation,reference_eospa,candidate_eospa,reference_conditional_rmse,candidate_conditional_rmse
1,1,146.843904672,145.229947942,2.75465554481,1.8746042406
2,1,146.841751556,146.841751556,1.006521093e-13,0
3,1,146.841751556,146.841751556,7.28037097363e-14,0
4,1,146.842954709,146.843245959,2.05917242749,2.2949140806
5,1,145.231806682,145.231431111,4.36747375401,4.27384004978
6,1,143.620797569,143.625183613,4.70497143644,5.83015269978
7,2,135.340558441,137.143941663,14.4689074685,18.1446542167
8,2,136.960959483,136.965505035,11.2178267433,11.5507588871
9,2,138.66796504,138.871216562,9.37609313714,21.7575804451
10,2,140.339515285,140.343387348,11.2846181199,11.4283587409
11,2,138.747042416,137.183317123,15.4339146078,22.18782023
12,2,136.985266221,137.016216569,12.9540149888,14.8701369005
13,3,137.08267033,135.350672254,15.7573678686,13.5325779685
14,3,140.361473278,138.647462908,14.6340902906,15.3957015455
15,3,138.568859961,136.989494472,8.20429951465,13.3537092907
16,3,140.352092138,140.493535183,14.2052948148,22.4086476076
17,3,138.746718613,137.160989191,14.1127654843,19.3503677111
18,3,137.194457458,137.176763336,20.5312577873,20.095646093
19,4,137.064465795,137.100090891,14.7815271346,16.6900626749
20,4,137.051942576,137.051921788,14.1200610203,14.1048012749
21,4,138.676353059,138.747708267,10.3055299921,14.2277418673
22,4,138.735742466,138.787937688,14.2617068022,17.9401521853
23,4,137.020960896,137.018482898,14.8960594184,15.0613182464
24,4,142.039651838,138.934376297,14.1873467217,22.918733954
25,5,140.338494376,140.319615514,11.9008643062,10.7066586458
26,5,135.34731674,135.377238829,15.8194240324,16.17168294
27,5,137.02958703,138.696266929,15.3740940658,12.0543116089
28,5,140.338641276,140.345873487,11.1328224889,11.6880436019
29,5,140.37105241,138.789737106,11.5003776804,17.5536686906
30,5,140.324602027,138.684757394,10.163346713,10.8661337393
31,6,137.08710093,137.080263262,15.9981983751,15.6837360815
32,6,137.121711474,137.059521325,18.4451669651,14.3626336592
33,6,138.753377739,137.090440399,15.4463322601,16.0796408589
34,6,140.380185439,140.387024114,12.3570312802,12.9654247679
35,6,138.712476096,137.124359046,13.1083538213,16.6889979136
36,6,137.140341359,137.192065836,16.0789100758,20.4368456967
