time,receiver,formation,networkPayloadLabelCount,localMapCount,scheduledIncoming,lostIncoming,emptyDeliveredIncoming,nonemptyReceivedIncoming,networkLabelsAbsentFromInputs,scheduledLabelCount,transportUnavailableLabels,inputUnionLabelCount,fusedLabelCount,retainedLabelCount,outputMapCount,weakBeforeEtaCount,etaCrossesHalfCount,preEtaExistenceMass,fusedExistenceMass,etaExistenceMassLoss,prunedExistenceMass,retainedNotOutputMass,mixtureUsedLabelCount,normalizerFallbackLabelCount,absentObservableSourceCount,maxExistenceIdentityError,medianNegativeLogEta,maxNegativeLogEta
84,2,1,16,7,1,0,0,1,1,15,0,15,15,15,6,8,1,6.51448846793,5.8258256872,0.688662780731,0,0.616138342038,4,0,0,1.11022302463e-16,0.0115405105079,3.78247524976
84,3,1,16,7,1,0,0,1,1,15,0,15,15,15,7,8,0,6.77382164972,6.76262920649,0.0111924432264,0,0.448831898572,2,2,0,1.11022302463e-16,0.0123661758718,0.748298172734
84,4,1,16,6,2,0,0,2,0,16,0,16,16,16,5,9,1,6.53911613812,5.52848846962,1.01062766849,0,1.33725019845,3,5,0,2.22044604925e-16,0.105863654829,1.49898823075
84,5,1,16,6,1,0,0,1,0,16,0,16,16,16,5,10,0,5.64857983314,5.47213013172,0.176449701424,0,1.21259575852,2,5,0,5.55111512313e-17,0.0067322474552,0.869508201719
84,6,1,16,6,1,0,0,1,0,16,0,16,16,16,6,9,0,5.84725760508,5.5112559001,0.336001704973,0,0.959834172632,1,3,0,1.11022302463e-16,0.0104035876287,2.1135336559
84,7,2,16,6,2,1,0,1,0,16,0,16,16,16,6,8,0,6.70284791356,6.17420600001,0.528641913545,0,1.37334729914,4,0,0,1.11022302463e-16,0.079490476434,2.81933332205
84,8,2,16,7,1,0,0,1,0,16,0,16,16,16,7,8,0,6.64181992914,6.53967181016,0.102148118976,0,0.687818004961,3,1,0,1.21430643318e-17,0.00355508485186,1.31173423918
84,9,2,16,7,1,0,0,1,0,16,0,16,16,16,7,8,0,6.84651630869,6.5893347277,0.257181580994,0,0.770923542457,2,2,0,2.22044604925e-16,0.00286172565314,0.939353607844
84,10,2,16,7,1,0,0,1,0,16,0,16,16,16,7,8,0,6.96476047168,6.74159295313,0.223167518549,0,0.815479417865,4,0,0,2.08166817117e-17,0.00340530945555,1.73940573064
84,11,2,16,7,1,0,0,1,0,16,0,16,16,16,7,8,0,7.14132456682,6.72661818171,0.414706385113,0,0.84716767813,4,0,0,1.38777878078e-17,0.000359671269509,2.54500798951
84,12,2,16,7,1,0,0,1,0,16,0,16,16,16,7,8,0,6.95876388594,6.49789334167,0.460870544274,0,0.682909802368,4,0,0,1.11022302463e-16,0.00116212241632,1.68815278632
84,13,3,16,4,2,1,0,1,0,16,0,16,16,16,4,12,0,4.65405555634,4.62105735947,0.0329981968697,0,0.633759873183,0,6,0,1.38777878078e-17,0.00162150563348,0.231158161965
84,14,3,16,5,1,0,0,1,0,16,0,16,16,15,4,12,0,4.56913700983,4.51191800842,0.0572190014136,0.0032802331049,0.609768247254,1,5,0,1.38777878078e-17,0.00186655633943,2.77644220172
84,15,3,16,5,1,0,0,1,0,16,0,16,16,16,5,11,0,5.23074760454,5.22429524387,0.00645236066397,0,0.619562854848,0,4,0,1.11022302463e-16,0.0029437164655,0.186896374725
