time,receiver,formation,birthTime,birthLocation,weightedInputLogOdds,spatialLogNormalizer,preEtaExistence,fusedExistence,retained,selectedForOutput,mixtureUsed,fallbackReason
84,20,4,1,5,-4.04669026556,-1.2282655959e-07,0.0171798279162,0.0171798258423,1,0,0,
84,20,4,1,6,-4.06514021888,-3.56862889461e-06,0.0168710655487,0.016871006358,1,0,0,
84,20,4,1,7,-3.62932849481,-3.10364711709e-08,0.025848141653,0.0258481408715,1,0,0,
84,20,4,1,8,-3.97184925585,-1.56406354925e-05,0.0184902341285,0.018489950279,1,0,0,
84,20,4,1,9,0.627736226693,-0.00548554446939,0.651975981433,0.650730257885,1,1,0,
84,20,4,1,10,-3.42846341963,-0.00749548529697,0.0314176576408,0.0311903649859,1,0,0,
84,20,4,1,11,1.76284130282,-0.000607208543585,0.8535651563,0.853489243988,1,1,0,
84,20,4,1,12,-4.23580335585,-0.00461302285995,0.0142618395326,0.0141971327346,1,0,0,
84,20,4,1,13,4.28990552029,-0.141020062472,0.986479100234,0.984463205252,1,1,0,powered-gm-normalizer-exceeds-one
84,20,4,1,14,4.2874186243,-0.12044893412,0.986445889642,0.984737401127,1,1,0,powered-gm-normalizer-exceeds-one
84,20,4,1,15,5.94992316168,-0.119971236106,0.997400733041,0.997070389605,1,1,0,powered-gm-normalizer-exceeds-one
84,20,4,1,16,4.81855294997,-0.177330896436,0.991986270033,0.990446251911,1,1,0,powered-gm-normalizer-exceeds-one
84,21,4,1,1,-3.80602763341,-7.56851818551e-07,0.0217526357335,0.0217526196281,1,0,0,
84,21,4,1,2,-4.58271123729,-7.1054273576e-15,0.0101235951672,0.0101235951672,1,0,0,
84,21,4,1,3,-4.01312923209,-1.1523607057e-05,0.0177557738115,0.017755572835,1,0,0,
84,21,4,1,4,-0.483496222954,-0.000645758068941,0.381426883662,0.381274534905,1,0,0,
84,21,4,1,5,-4.04868785932,-1.11119190649e-06,0.0171461316925,0.0171461129666,1,0,0,
84,21,4,1,6,-4.06003560649,-4.15804198184e-07,0.0169559419955,0.0169559350646,1,0,0,
84,21,4,1,7,-3.62893806944,-1.16875789047e-08,0.02585797439,0.0258579740956,1,0,0,
84,21,4,1,8,-3.96035927712,-5.8632047768e-06,0.0186999159967,0.0186998084059,1,0,0,
84,21,4,1,9,0.779440302251,-0.0063207763542,0.685559473725,0.684195323176,1,1,0,
84,21,4,1,10,-3.27784187659,-0.00844641477543,0.0363392154245,0.0360445887446,1,0,0,
84,21,4,1,11,1.82114509996,-0.00134729603802,0.860703473228,0.860541863344,1,1,0,
84,21,4,1,12,-4.28959417185,-0.00800166680363,0.0135250531876,0.0134187084658,1,0,0,
84,21,4,1,13,4.00098819597,-0.0804922953667,0.982031235942,0.980554373267,1,1,0,powered-gm-normalizer-exceeds-one
84,21,4,1,14,3.9444330957,-0.0764660014557,0.981005583725,0.979527084969,1,1,0,powered-gm-normalizer-exceeds-one
84,21,4,1,15,4.32403964011,-0.23570995318,0.986926904518,0.98350928668,1,1,0,powered-gm-normalizer-exceeds-one
84,21,4,1,16,4.81519168878,-0.0343861926119,0.991959505418,0.991680555064,1,1,0,powered-gm-normalizer-exceeds-one
