sequence,dataset,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s,reused
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence,114,4.037052225727778,3.9220392071945795,0.8615224587847625,18.94736842105263,16.42105263157895,0.45614035087719296,700032,700032,3764736,4.194569875,True
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_range,114,3.7250101396292363,3.8493938252745314,0.8641108764934159,19.57894736842105,17.68421052631579,0.4824561403508772,805632,805632,3764736,2.621816791666667,False
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_lineage_range,114,4.063579162473906,4.117526962559335,0.9009350792576193,19.57894736842105,20.210526315789473,0.5175438596491229,561768,561768,3764736,1.6621219583333333,False
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_guarded_scalar_range,114,3.7362845659819675,3.8634136641910195,0.901006024715408,19.57894736842105,17.68421052631579,0.4824561403508772,825696,825696,3764736,1.5063960416666666,False
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_constant,114,3.970798004386555,4.004360406996541,0.8614629576758365,18.94736842105263,19.57894736842105,0.5,845760,845760,3764736,1.3463103333333333,False
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_lineage_constant,114,3.8531478727202724,3.968838380826874,0.9026912186577085,19.57894736842105,18.94736842105263,0.5,573864,573864,3764736,1.3544984166666667,False
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_guarded_scalar_constant,114,3.9864579953343227,4.024564496078513,0.9116054518604162,18.94736842105263,19.57894736842105,0.5,784864,784864,3764736,1.242354375,False
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence,114,4.491388169980095,4.352179450052706,0.862286002902925,18.94736842105263,22.105263157894736,0.5350877192982456,786976,573472,3764736,2.081993833333333,True
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_range,114,4.244495044194419,4.195640092260734,0.8652229813092357,19.57894736842105,20.210526315789473,0.5175438596491229,903136,667456,3764736,1.1712028333333333,False
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_lineage_range,114,4.249463422779526,4.224215599764131,0.8952889366344176,19.57894736842105,20.526315789473685,0.5043859649122807,561552,433888,3764736,1.108401125,False
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_guarded_scalar_range,114,4.249365733992769,4.224094929864843,0.9022465836626848,19.57894736842105,20.526315789473685,0.5043859649122807,831328,617472,3764736,1.1718937916666667,False
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_constant,114,4.439019856659792,4.315319689357441,0.8620102875159533,18.94736842105263,21.789473684210527,0.5307017543859649,807040,597056,3764736,1.0464407083333334,False
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_lineage_constant,114,4.518532571264881,4.425969724193814,0.8971614999105593,19.57894736842105,22.42105263157895,0.5307017543859649,561120,422656,3764736,1.065577375,False
0001,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_guarded_scalar_constant,114,4.341279826767199,4.280333057045036,0.885213933205309,18.94736842105263,21.789473684210527,0.5131578947368421,816544,606208,3764736,1.06789675,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence,144,3.898063466473439,3.4631169682768452,0.08438529492901009,22.5,10.5,0.2916666666666667,478784,478784,4755456,4.180842625,True
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_range,144,3.8177093847855783,3.3827468133060665,0.08512631750293785,22.0,10.0,0.2916666666666667,524896,524896,4755456,3.6774774166666666,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_lineage_range,144,4.057095733560278,3.654068927505689,0.08202314134058336,23.5,12.5,0.3194444444444444,388728,388728,4755456,2.4415985416666666,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_guarded_scalar_range,144,3.8705796713702583,3.386761002545468,0.08429286121333256,22.5,9.5,0.2916666666666667,520320,520320,4755456,2.3058055833333335,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_constant,144,3.8352119587752562,3.4245052819771775,0.08158889770446547,23.5,10.0,0.2569444444444444,529120,529120,4755456,1.9084082083333334,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_lineage_constant,144,3.894174670043196,3.490943242826656,0.08302501435485696,23.0,11.5,0.2986111111111111,390888,390888,4755456,1.9580016666666666,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,reliable,marked_gaussian_evidence_guarded_scalar_constant,144,3.919330060037344,3.4842429499447087,0.08202730079815726,23.5,10.5,0.2638888888888889,513984,513984,4755456,1.8614032916666667,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence,144,4.063124806782223,3.560748409955118,0.09833390700661696,22.0,11.25,0.3020833333333333,507648,401248,4755456,1.948679625,True
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_range,144,4.90051482800083,4.123838335794117,0.0990778559751176,21.5,16.5,0.3819444444444444,656896,531840,4755456,1.9103312083333333,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_lineage_range,144,5.158505038802858,4.333740597802739,0.09223093862057863,25.0,16.25,0.3923611111111111,547056,455504,4755456,1.8015283333333334,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_guarded_scalar_range,144,4.930313435671098,4.129231269458547,0.10299656543797706,22.0,16.0,0.3819444444444444,659712,534304,4755456,2.015384375,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_constant,144,4.0255210092266465,3.5417333243423985,0.09915006770441438,21.5,12.0,0.2986111111111111,550944,447712,4755456,1.7664488333333332,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_lineage_constant,144,4.104282346555796,3.6090834825994285,0.10100648034704662,23.0,12.0,0.3055555555555556,443376,366512,4755456,1.5189510833333333,False
0002,v2v_development,testoutput_CAV_data_2022-03-15-10-29-43,intermittent,marked_gaussian_evidence_guarded_scalar_constant,144,4.0799105121312165,3.5838783286269518,0.10224330213235892,22.5,11.75,0.2881944444444444,551648,448768,4755456,1.6528575,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence,198,6.122249479331334,15.250273261067981,11.934718309063507,241.8181818181818,55.63636363636363,3.121212121212121,7731328,7731328,10814976,18.5403255,True
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_range,198,6.390290896972209,15.787362548626003,15.310173820452599,242.9090909090909,61.81818181818182,3.1818181818181817,9805312,9805312,13075968,24.231706875,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_lineage_range,198,6.788109337472539,16.7877610123944,14.176374431852848,258.1818181818182,73.0909090909091,3.398989898989899,8679240,8679240,11290112,32.17584791666667,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_guarded_scalar_range,198,6.349403955112428,15.722857009208031,14.861527525869631,247.27272727272728,61.09090909090909,3.2222222222222223,10824352,10824352,14468608,23.94255104166667,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_constant,198,6.218030582202572,15.32896227668081,12.033321697565167,235.63636363636363,57.45454545454545,3.0505050505050506,8873568,8873568,11568640,18.736785833333332,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_lineage_constant,198,6.3700215414117825,15.720786673380976,13.132749918645185,244.36363636363637,61.45454545454545,3.1565656565656566,7281072,7281072,10585600,26.84519591666667,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_guarded_scalar_constant,198,6.312269383828885,15.647286071580368,12.834735727482705,244.0,61.81818181818182,3.1161616161616164,8958752,8958752,11830784,18.75945108333333,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence,198,6.629738284342926,16.1817846794556,10.327580337150478,262.90909090909093,60.36363636363637,3.3333333333333335,6707008,4713952,10798592,11.856407458333333,True
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_range,198,6.729834445012738,16.424046734725646,10.947313278551684,264.90909090909093,65.27272727272727,3.4494949494949494,8710944,6090624,11322880,16.427939125,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_lineage_range,198,7.0186806762105824,17.183914870524916,14.179031044986454,268.72727272727275,77.0909090909091,3.5656565656565657,5822640,4005552,8963584,16.890281666666667,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_guarded_scalar_range,198,6.690316894550529,16.329074420782085,12.207800778962172,264.0,62.54545454545455,3.404040404040404,9233312,6476768,11863552,18.607627833333332,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_constant,198,6.740185114654906,16.38769084553135,12.269548082200327,258.72727272727275,66.0,3.303030303030303,8959808,6331392,11453952,17.987362625,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_lineage_constant,198,6.712150205480836,16.387736330388805,15.92506903241869,259.45454545454544,63.45454545454545,3.3383838383838382,5655888,3974880,9438720,17.277937,False
0003,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,intermittent,marked_gaussian_evidence_guarded_scalar_constant,198,6.700171705898294,16.425417633129626,15.644158622686849,258.54545454545456,67.0909090909091,3.2803030303030303,8806688,6089216,11748864,16.069952208333333,False
0004,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence,180,5.001597884237048,20.589116185493626,61.14520940674198,331.2,48.8,3.922222222222222,10565536,10565536,14054400,68.645856625,True
0004,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_range,180,4.9181016271869655,21.643820558535467,63.59719764905173,316.4,100.4,3.0,8916416,8916416,11908096,52.380711125,False
0004,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_lineage_range,180,4.95603407765594,22.878931474410283,61.10120430883367,326.0,146.8,2.488888888888889,5533344,5533344,7959552,50.77260720833333,False
0004,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_guarded_scalar_range,180,4.929587667939327,21.68317004743865,63.14060511429616,319.2,100.4,3.0388888888888888,9002656,9002656,12088320,51.925805125,False
0004,v2v_development,testoutput_CAV_data_2022-03-17-10-50-46,reliable,marked_gaussian_evidence_constant,180,4.940461044846611,20.578384094493096,61.2054189938765,322.8,56.0,3.7055555555555557,11148800,11148800,14562304,73.34653454166667,False
