sequence,dataset,recording,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s,reused
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence,147,2.0540325088014852,2.4366771750925214,0.19032083902876012,13.714285714285714,5.387755102040816,0.23809523809523808,1001696,1001696,4854528,2.8030665833333335,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_lineage,147,2.1112403445538552,2.5475354198425153,0.1435112359521936,16.163265306122447,4.408163265306122,0.24489795918367346,684624,684624,4854528,1.9103205833333334,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_guarded_scalar,147,2.035972427106574,2.463565344850831,0.20281919471732632,14.693877551020408,4.8979591836734695,0.23129251700680273,1003104,1003104,4854528,1.672894875,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_range,147,2.12116699916594,2.510322604035546,0.2418195777823385,13.224489795918368,6.36734693877551,0.24489795918367346,1142848,1142848,4854528,1.7830412083333333,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_lineage_range,147,2.2723823659889244,2.695798321930055,0.152176419452709,16.163265306122447,5.387755102040816,0.272108843537415,921144,921144,4854528,1.9236829583333332,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_guarded_scalar_range,147,2.19015224952917,2.636950604937451,0.2741837136135154,15.183673469387756,5.877551020408164,0.25170068027210885,1159744,1159744,4854528,1.6573019583333333,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_constant,147,1.9432007121691142,2.3275261443482016,0.19473908618760222,13.224489795918368,4.8979591836734695,0.22448979591836735,1137568,1137568,4854528,1.7089762083333333,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_lineage_constant,147,2.1728545307039564,2.5873351601827816,0.15535130966605634,16.163265306122447,4.408163265306122,0.2585034013605442,939936,939936,4854528,1.971642,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,reliable,marked_gaussian_evidence_guarded_scalar_constant,147,2.0412132431736145,2.47166447306529,0.21284616028698258,14.204081632653061,5.387755102040816,0.23129251700680273,1087232,1087232,4854528,1.5657685833333332,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_gaussian_evidence,147,2.298442285887365,2.848733695505098,1.2760828103021666,13.959183673469388,6.122448979591836,0.25170068027210885,1016128,754400,4854528,1.36810675,False
0000,v2v_development,testoutput_CAV_data_2022-03-15-09-54-40,intermittent,marked_lineage,147,2.5395482514421954,3.1271579668644116,1.2141880055959131,16.653061224489797,6.122448979591836,0.2891156462585034,614856,461432,4854528,1.199052125,False
