time,ospa_fixed,ospa_balanced,ospa_cardinality,rmse_fixed,rmse_balanced,rmse_cardinality,card_fixed,card_balanced,card_cardinality
1,0,0,0,0,0,0,0,0,0
2,0.5,0.5,2.589650153979756,0,0,0.8957675569882502,0.05,0.05,0.175
3,1.370664932665604,1.310974434569111,2.411225700343846,0.008854263178934549,0.02408375734037927,1.323225289904468,0.15,0.15,0.125
4,2.146182905627916,2.750738106120355,1.911104464354973,0.1321580911915916,0.5120670535926075,1.690698528043421,0.25,0.35,0
5,2.670749335731218,2.794678825618276,2.103396228439846,0.3931182357417305,0.5819415222453509,1.399059862634617,0.325,0.375,0.1
6,2.732647605868211,2.707083646980998,1.647670694659783,0.5958749235380516,0.8935976945977447,1.3660433229203,0.325,0.3,0.025
7,2.576302678880972,2.178301572221083,1.345211410419797,0.6478729671103688,0.9369763209715517,1.044950007929463,0.325,0.175,0.075
8,2.594140337593211,2.354665176983424,1.109330739029437,0.6555899545819055,1.030658205134116,0.9917398095839249,0.325,0.175,0
9,2.530008905141516,2.104126209273284,1.476234503189103,0.6663353414115298,1.118756205418616,1.124624279555113,0.3,0.125,0.05
10,2.631054082661111,2.042729600354688,2.633671466500521,4.343547528501292,1.094905518194777,5.915150320123055,0.175,0.15,0.25
11,1.964443553708388,1.595165990289503,1.825941001972553,0.794184224750902,0.9544392226391775,5.682676259208439,0.2,0.1,0.1
12,2.415792278104276,2.517515960773792,1.566431544707873,2.398203854086282,1.389557201197762,1.414168292932772,0.2,0.35,0
13,2.261078943138256,2.170259132748206,1.763842393581956,1.461042448458448,1.139879353377246,1.372119420499919,0.275,0.275,0.1
14,1.9741241600928,1.836798155305209,1.700911604969183,1.17150740373619,1.225732990156718,1.373134849257506,0.175,0.125,0.05
15,2.594268284334416,1.82379967419165,1.568733360517025,1.45895973355815,1.365668055085397,1.372834211846956,0.35,0.1,0.025
16,2.509119816900457,1.507971438734258,1.485617823804383,1.41223679087569,1.301884374323353,1.287404997046553,0.275,0.025,0.025
17,2.472053376197857,1.587947171376277,1.505101248239525,1.593170707545977,1.412973734702655,1.416705025640838,0.275,0.025,0
18,2.254749736861171,1.787007331692053,1.781668170733925,1.344028542821937,1.187488775632365,1.276629997448696,0.25,0.175,0.1
19,2.324182864410798,1.923241518841263,1.915908191443888,1.635526395855927,1.312117985900084,1.407296945825579,0.3,0.2,0.15
