panel,cohort,condition,candidate,reference,metric,scene,unit_index,unit_id,difference
c,synthetic,,conservative_recency,qualified_exist,ospa,split_latebirth,7,2908,0.053750075345354364
c,synthetic,,conservative_recency,qualified_exist,ospa,split_latebirth,8,2909,0.11743297736878366
c,synthetic,,conservative_recency,qualified_exist,ospa,split_latebirth,9,2910,0.03897131665382059
c,synthetic,,conservative_recency,qualified_exist,ospa,split_latebirth,10,2911,0.0682047145337834
c,synthetic,,conservative_recency,qualified_exist,ospa,split_latebirth,11,2912,0.11348200236450623
c,synthetic,,conservative_recency,qualified_exist,ospa,split_latebirth,12,2913,0.05299350562417926
c,synthetic,,conservative_recency,qualified_exist,ospa,split_latebirth,13,2914,0.18210665573139329
c,synthetic,,conservative_recency,qualified_exist,ospa,split_latebirth,14,2915,0.16835321349868826
c,synthetic,,conservative_recency,qualified_exist,ospa,split_latebirth,15,2916,0.0421393555561318
c,synthetic,,conservative_recency,qualified_exist,ospa,split_latebirth,16,2917,0.02367842665007025
c,synthetic,,conservative_recency,qualified_exist,ospa,split_latebirth,17,2918,0.07724865872914677
c,synthetic,,conservative_recency,qualified_exist,ospa,split_latebirth,18,2919,0.1123294511503472
c,synthetic,,conservative_recency,qualified_exist,ospa,split_latebirth,19,2920,0.14877439096775014
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,0,2901,0.020484193130562378
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,1,2902,0.04316035379982175
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,2,2903,0.02035800704522961
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,3,2904,0.011928421092590291
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,4,2905,0.017800337166621993
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,5,2906,0.11752619007831244
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,6,2907,-2.750806329387956e-07
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,7,2908,0.03577638123289528
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,8,2909,0.03220133153974203
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,9,2910,0.01820860303212868
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,10,2911,0.018226871597701866
c,synthetic,,confirmation_recency,qualified_exist,ospa,split_latebirth,11,2912,0.014544038086213629
