time,receiver,formation,birthTime,birthLocation,predictedExistence,localExistence,predictedMeanPd,localExistenceChange,localLogOddsChange,weightedInputLogOdds,spatialLogNormalizer,preEtaExistence,fusedExistence,activeExistenceSourceCount,strongInputPresent,selectedForOutput,mixtureUsed,normalizerFallback
1,5,1,1,23,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,5,1,1,24,0.06,0.06,0,0,0,-2.75153531304195,5.32907051820075e-15,0.06,0.0600000000000003,2,0,0,0,0
1,6,1,1,1,0.06,0.06,0,0,0,-2.75153531304195,1.59872115546023e-14,0.06,0.0600000000000009,2,0,1,0,0
1,6,1,1,2,0.06,0.06,0,0,0,-2.75153531304195,-1.24344978758018e-14,0.06,0.0599999999999993,2,0,0,0,0
1,6,1,1,3,0.06,0.06,0,0,0,-2.75153531304195,1.59872115546023e-14,0.06,0.0600000000000009,2,0,0,0,0
1,6,1,1,4,0.06,0.06,0,0,0,0.643174680380847,-0.546715771743393,0.655470748443619,0.524096046942873,2,0,1,1,0
1,6,1,1,5,0.06,0.06,0,0,0,-2.75153531304195,-5.32907051820075e-15,0.06,0.0599999999999997,2,0,0,0,0
1,6,1,1,6,0.06,0.06,0,0,0,-2.75153531304195,1.59872115546023e-14,0.06,0.0600000000000009,2,0,0,0,0
1,6,1,1,7,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,6,1,1,8,0.06,0.06,0,0,0,-2.75153531304195,8.88178419700125e-15,0.06,0.0600000000000005,2,0,0,0,0
1,6,1,1,9,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,6,1,1,10,0.06,0.06,0,0,0,-2.75153531304195,8.88178419700125e-15,0.06,0.0600000000000005,2,0,0,0,0
1,6,1,1,11,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,6,1,1,12,0.06,0.06,0,0,0,-2.75153531304195,-1.77635683940025e-15,0.06,0.0599999999999999,2,0,0,0,0
1,6,1,1,13,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,6,1,1,14,0.06,0.06,0,0,0,-2.75153531304195,0,0.06,0.06,2,0,0,0,0
1,6,1,1,15,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,6,1,1,16,0.06,0.06,0,0,0,-2.75153531304195,0,0.06,0.06,2,0,0,0,0
1,6,1,1,17,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,6,1,1,18,0.06,0.06,0,0,0,-2.75153531304195,0,0.06,0.06,2,0,0,0,0
1,6,1,1,19,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,6,1,1,20,0.06,0.06,0,0,0,-2.75153531304195,0,0.06,0.06,2,0,0,0,0
1,6,1,1,21,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
1,6,1,1,22,0.06,0.06,0,0,0,-2.75153531304195,8.88178419700125e-15,0.06,0.0600000000000005,2,0,0,0,0
1,6,1,1,23,0.06,0.06,0,0,0,-2.75153531304195,1.77635683940025e-15,0.06,0.0600000000000001,2,0,0,0,0
