time,receiver,formation,predictedLabelCount,localLabelCount,fusedLabelCount,predictedMass,localMass,localUpdateMassChange,preEtaMass,fusedMass,poolingMassChangeFromLocal,spatialMassLoss,prunedMass,retainedNotOutputMass,localMapCount,outputMapCount,zeroPdLabelCount,zeroPdMaxAbsLocalChange,weakBeforeSpatialCount,normalizerFallbackCount
1,1,1,24,24,24,1.44,1.44,0,1.47225191569386,1.38752397643927,0.0322519156938637,0.0847279392545948,0,1.32752397643927,1,1,24,0,24,4
1,2,1,24,24,24,1.44,1.44,0,1.44,1.44,0,-3.33066907387547e-15,0,1.38,1,1,24,0,24,0
1,3,1,24,24,24,1.44,1.44,0,1.44,1.44,0,-3.33066907387547e-15,0,1.38,1,1,24,0,24,0
1,4,1,24,24,24,1.44,1.40402020909754,-0.0359797909024657,1.42576289245517,1.42576289245517,0.0217426833576342,-3.5527136788005e-15,0,1.36576289245517,1,1,23,0,24,0
1,5,1,24,24,24,1.44,2.27071354275246,0.830713542752463,1.50305991370405,1.4493090460146,-0.767653629048414,0.0537508676894545,0,1.38,2,1,23,0,24,0
1,6,1,24,24,24,1.44,1.44,0,2.03547074844362,1.90409604694288,0.59547074844362,0.131374701500744,0,1.32,1,2,24,0,23,0
1,7,2,24,24,24,1.44,3.14839381610707,1.70839381610707,4.31685118293237,4.19086191905354,1.16845736682531,0.125989263878838,0,1.2,3,4,20,0,20,4
1,8,2,24,24,24,1.44,3.98620159640151,2.54620159640151,3.38003309790732,3.24884296413372,-0.606168498494186,0.131190133773602,0,1.68682316123095,4,3,20,0,20,4
1,9,2,24,24,24,1.44,2.2229044898466,0.782904489846599,3.45706296113764,3.2582994728411,1.23415847129104,0.198763488296538,0,1.70284675239802,2,3,20,0,20,3
1,10,2,24,24,24,1.44,4.00130322460805,2.56130322460805,2.71211830319376,2.55951941275097,-1.28918492141429,0.152598890442793,0,1.82081207787803,4,2,20,0,24,4
1,11,2,24,24,24,1.44,3.14279129809995,1.70279129809995,3.63521102286806,3.35469990832379,0.492419724768105,0.280511114544266,0,1.70622410283527,3,3,20,0,20,2
1,12,2,24,24,24,1.44,4.64438752924988,3.20438752924988,3.69421715329021,3.51712596721828,-0.950170375959674,0.177091186071923,0,1.7169378903843,4,3,20,0,20,2
1,13,3,24,24,24,1.44,2.2289256895621,0.788925689562103,4.03316379174108,3.86386106662995,1.80423810217897,0.169302725111129,0,1.18630211349276,2,4,20,0,20,4
1,14,3,24,24,24,1.44,3.96461965212068,2.52461965212067,2.70789650726869,2.62458053193622,-1.25672314485198,0.0833159753324666,0,1.88048535227788,4,2,20,0,24,4
1,15,3,24,24,24,1.44,2.2585961502919,0.818596150291896,3.39834483668316,2.74769464459225,1.13974868639127,0.650650192090919,0,1.9433544473489,2,2,21,0,21,0
1,16,3,24,24,24,1.44,3.97800156665565,2.53800156665565,2.57788449631134,2.30261060995412,-1.40011707034431,0.275273886357217,0,1.58715712686441,4,2,20,0,24,7
1,17,3,24,24,24,1.44,4.59543194371237,3.15543194371237,4.19510779156981,4.1521395913385,-0.400324152142562,0.042968200231309,0,1.2,4,4,20,0,20,4
1,18,3,24,24,24,1.44,4.61752937827184,3.17752937827184,4.60214473763677,4.55040857901457,-0.0153846406350695,0.0517361586222016,0,1.2,4,4,20,0,20,2
1,19,4,24,24,24,1.44,3.98294601261704,2.54294601261704,3.86694227237975,3.68687376768523,-0.116003740237294,0.180068504694513,0,1.18414728452728,4,4,20,0,20,8
1,20,4,24,24,24,1.44,3.14781737747649,1.70781737747649,3.74872271297721,3.71455131749042,0.60090533550072,0.0341713954867853,0,1.2,3,4,20,0,20,4
1,21,4,24,24,24,1.44,3.99726567323674,2.55726567323674,3.41608178744263,3.33760430492811,-0.581183885794101,0.0784774825145225,0,1.69535821435722,4,3,20,0,20,4
1,22,4,24,24,24,1.44,3.97825306252568,2.53825306252568,3.85612755514753,3.63080668989208,-0.122125507378148,0.225320865255448,0,1.738260482848,4,3,20,0,20,8
1,23,4,24,24,24,1.44,2.26209574627666,0.822095746276661,3.41179054389783,3.31447600129906,1.14969479762117,0.0973145425987645,0,1.51885831251241,2,3,21,0,21,0
