scene,seed,arm,ospa,count_mae,gospa,miss2,false2,loc2,reunion_ospa,post_departure_false2,remote_acquisitions,remote_queries,wire_bytes,raw_bytes
split_latebirth,2901,ceiling_association,2.508626945037215,0.3875,3.5381252954735887,27.9,0.0,0.2892023509179818,2.180289710865745,0.0,8,8,26206208.0,2836584
split_latebirth,2902,ceiling_association,2.607390967949028,0.4010416666666667,3.702247079325493,28.95,0.075,0.7688999024955236,2.5356505769153865,0.0,8,8,26173440.0,2717304
split_latebirth,2903,ceiling_association,2.5898029878104127,0.39895833333333336,3.645398423275437,28.725,0.0,0.40066331612786016,2.555415447558376,0.0,8,8,26206208.0,2866760
split_latebirth,2904,ceiling_association,2.6958031135617335,0.4166666666666667,3.7966617091944337,30.0,0.0,0.5140325099506543,3.29243913635691,0.0,8,8,26173440.0,2837896
split_latebirth,2905,ceiling_association,2.4320979122803945,0.38333333333333336,3.4724776093799146,27.6,0.0,0.2552690388873566,2.596577272076869,0.0,8,8,26206208.0,2873896
split_latebirth,2906,ceiling_association,2.8612998728414265,0.44583333333333336,4.105581542917011,32.1,0.0,0.6660123290164468,1.7748988136329236,0.0,8,8,26206208.0,2912864
split_latebirth,2907,ceiling_association,2.4134697742408506,0.3802083333333333,3.4501874489023794,27.375,0.0,0.2789272420504219,1.8154072868296605,0.0,8,8,26140672.0,2874616
split_latebirth,2908,ceiling_association,2.6031334445667356,0.4041666666666667,3.7416577348302744,29.1,0.0,1.154078055485686,3.751991342950446,0.0,8,8,26206208.0,2764472
split_latebirth,2909,ceiling_association,2.7987980057817663,0.4322916666666667,3.9271813259544333,31.125,0.0,0.7651211936663527,3.6776908360637615,0.0,8,8,26206208.0,2733160
split_latebirth,2910,ceiling_association,2.5276408275492632,0.396875,3.5931848659860237,28.575,0.0,0.5944685522887496,2.1335895891985084,0.0,8,8,26173440.0,2826664
split_latebirth,2911,ceiling_association,2.6353824102488557,0.4083333333333333,3.730565085081639,29.4,0.0,0.3578901404397109,2.810633982451724,0.0,8,8,26173440.0,2811896
split_latebirth,2912,ceiling_association,2.4633575651243005,0.38333333333333336,3.4790937665964674,27.6,0.0,0.19877117887005977,1.679960340390164,0.0,8,8,26206208.0,2836760
split_latebirth,2913,ceiling_association,2.647237063407436,0.403125,3.756446283535787,29.4,0.375,0.7677713827881334,3.1528720515450104,0.0,8,8,26206208.0,2862160
split_latebirth,2914,ceiling_association,2.5434460547858015,0.39479166666666665,3.6071289898706094,28.575,0.15,0.3897278663737831,2.821689373317882,0.0,8,8,26206208.0,2811912
split_latebirth,2915,ceiling_association,2.450439304787627,0.38125,3.482891489759053,27.45,0.0,0.17616503857490978,1.8055168263730805,0.0,8,8,26173440.0,2862424
split_latebirth,2916,ceiling_association,2.5052671415437175,0.39166666666666666,3.5888240151111614,28.2,0.0,0.4780034980638044,3.0290656426056737,0.0,8,8,26206208.0,2810144
split_latebirth,2917,ceiling_association,2.5230005105606135,0.384375,3.658132225618885,27.675,0.0,0.7539784922003427,2.3715219436197432,0.0,8,8,26173440.0,2767280
