scene,seed,arm,ospa,count_mae,gospa,miss2,false2,loc2,reunion_ospa,post_departure_false2,remote_acquisitions,remote_queries,wire_bytes,raw_bytes
split_latebirth,2901,conservative_recency,2.62871401124993,0.40520833333333334,3.680905950972804,29.175,0.0,0.2881706938173327,2.9003417631162742,0.0,8,8,26206208.0,2780552
split_latebirth,2902,conservative_recency,2.7805533830773945,0.428125,3.9179476749875874,30.9,0.075,0.767608802411489,3.7440908929467698,0.0,8,8,26173440.0,2661096
split_latebirth,2903,conservative_recency,2.6925024074914092,0.41458333333333336,3.770750712418013,29.85,0.0,0.39940526831839607,3.2721515843601594,0.0,8,8,26206208.0,2810232
split_latebirth,2904,conservative_recency,2.738053180911756,0.4239583333333333,3.8553818084750833,30.525,0.0,0.5145848055172012,3.795347540239966,0.0,8,8,26173440.0,2781720
split_latebirth,2905,conservative_recency,2.455881504901379,0.3875,3.5054088761044926,27.9,0.0,0.2542414974121367,2.8819803835993785,0.0,8,8,26206208.0,2817568
split_latebirth,2906,conservative_recency,2.976578954591642,0.4666666666666667,4.263032711937038,33.6,0.0,0.6498198791564973,2.3498428780918,0.0,8,8,26206208.0,2850832
split_latebirth,2907,conservative_recency,2.5095915589955107,0.396875,3.583908295984774,28.575,0.0,0.27835699315241497,2.9688687038723303,0.0,8,8,26140672.0,2818224
split_latebirth,2908,conservative_recency,2.6450189459930806,0.4114583333333333,3.799822771431839,29.625,0.0,1.1533474658045175,3.9676756722999675,0.0,8,8,26206208.0,2707920
split_latebirth,2909,conservative_recency,2.910392507163922,0.45,4.067965551723527,32.4,0.0,0.7646317635931207,4.029030029557018,0.0,8,8,26206208.0,2680424
split_latebirth,2910,conservative_recency,2.5604984277400047,0.40208333333333335,3.635507368457513,28.95,0.0,0.5942215592175305,2.351717672978109,0.0,8,8,26173440.0,2770520
split_latebirth,2911,conservative_recency,2.6914667916357065,0.4166666666666667,3.7982322657538345,30.0,0.0,0.35755187361627494,2.954378161008733,0.0,8,8,26173440.0,2755288
split_latebirth,2912,conservative_recency,2.5681370816430857,0.40208333333333335,3.6279280273922914,28.95,0.0,0.19790995365023686,2.900738189949238,0.0,8,8,26206208.0,2779320
split_latebirth,2913,conservative_recency,2.691484084607029,0.41041666666666665,3.814302746695404,29.925,0.375,0.7669006078387242,3.511241913306331,0.0,8,8,26206208.0,2804464
split_latebirth,2914,conservative_recency,2.7014606040022175,0.4197916666666667,3.8099128689053994,30.375,0.15,0.3885867180603474,4.054027827798215,0.0,8,8,26206208.0,2755184
split_latebirth,2915,conservative_recency,2.6128354597336445,0.409375,3.708911708034343,29.475,0.0,0.1745922515856432,3.6106571799684035,0.0,8,8,26173440.0,2805632
split_latebirth,2916,conservative_recency,2.547406219878003,0.39895833333333336,3.6474896339741303,28.725,0.0,0.4772294786372013,3.3203900495519663,0.0,8,8,26206208.0,2755296
split_latebirth,2917,conservative_recency,2.5466789372126746,0.3885416666666667,3.690871880167203,27.975,0.0,0.7537602405641031,2.585744566750603,0.0,8,8,26173440.0,2710432
split_latebirth,2918,conservative_recency,2.651506601770198,0.41041666666666665,3.75178276596503,29.55,0.0,0.5120536415597544,3.1279627336505564,0.0,8,8,26173440.0,2831336
split_latebirth,2919,conservative_recency,2.743701491642194,0.4197916666666667,3.8897806490512115,30.225,0.0,1.132796699242015,3.462323310341657,0.0,8,8,26206208.0,2660992
split_latebirth,2920,conservative_recency,2.6713583137353925,0.41354166666666664,3.7821406896470053,29.775,0.0,0.7686341059874378,3.641977510615953,0.0,8,8,26206208.0,2808776
churn_departure,2901,conservative_recency,0.9563680109027863,0.11041666666666666,1.3040218939540549,6.0,2.4,0.1631091790087871,1.159233993684256,9.6,8,8,27123712.0,2651192
churn_departure,2902,conservative_recency,1.65737136507418,0.18854166666666666,2.28746677322768,13.875,4.2,0.1823068868782061,1.965348070488524,16.8,8,8,26697728.0,2398640
churn_departure,2903,conservative_recency,0.6961645182919708,0.06770833333333333,0.9846286549134781,3.675,1.2,0.2580577964284637,0.5734597939550563,4.8,8,8,27058176.0,2679680
churn_departure,2904,conservative_recency,0.6981344081297939,0.07604166666666666,0.9867176774701873,3.3,2.175,0.16488734132085778,0.5813252690582071,8.7,8,8,26730496.0,2736776
churn_departure,2905,conservative_recency,1.6087657564450286,0.24166666666666667,2.3161535170658474,14.55,2.85,0.1684989939085006,2.1372740610619965,11.4,8,8,27222016.0,2680616
churn_departure,2906,conservative_recency,1.0605912142026341,0.12708333333333333,1.4723435813039198,7.65,1.95,0.21248798893522042,1.3606070423437528,7.8,8,8,27058176.0,2667192
churn_departure,2907,conservative_recency,1.531971920111073,0.23125,2.2017588565170283,15.525,1.125,0.14688226854568665,1.7108322876458915,4.5,8,8,26501120.0,2587312
churn_departure,2908,conservative_recency,0.7460229926193296,0.08645833333333333,1.1203532602219766,3.15,3.225,0.2118482636885446,0.2653621196171109,12.9,8,8,27320320.0,2744760
churn_departure,2909,conservative_recency,1.2375006953553616,0.15520833333333334,1.683485407957962,9.0,2.475,0.2062448469564029,1.3297201792348494,9.9,8,8,26959872.0,2793336
churn_departure,2910,conservative_recency,0.7877433543732508,0.09895833333333333,1.1426282648402628,4.725,2.4,0.17708997799758225,0.7269348347183672,9.6,8,8,26894336.0,2545240
churn_departure,2911,conservative_recency,0.9608983342467312,0.10833333333333334,1.3191803131328563,7.125,1.125,0.2037661783042111,0.9845677446975954,4.5,8,8,26861568.0,2423544
churn_departure,2912,conservative_recency,1.7594807400446297,0.2625,2.4891278199167313,18.375,0.525,0.16758033112143073,1.6737047305563546,2.1,5,8,26927104.0,2778880
churn_departure,2913,conservative_recency,1.1767319066997932,0.14166666666666666,1.5941571191085595,8.475,2.325,0.18927847291728112,1.2861575030184496,9.3,8,8,27254784.0,2505792
churn_departure,2914,conservative_recency,1.9295508954977498,0.28020833333333334,2.7247539936657974,18.825,2.7,0.16556190735202508,2.516545663359258,10.5,8,8,27254784.0,2676872
churn_departure,2915,conservative_recency,0.6506638522232535,0.071875,0.9602755119502798,3.225,1.95,0.17891643117065598,0.5857115588513534,7.8,8,8,26796032.0,2703304
churn_departure,2916,conservative_recency,0.5090094325533515,0.052083333333333336,0.777016843359739,2.475,1.275,0.16009036752717873,0.5525496744631446,5.1,8,8,27156480.0,2623312
churn_departure,2917,conservative_recency,1.2132139392106494,0.15104166666666666,1.707103506779495,10.575,1.05,0.21226513063468908,1.3937427656788017,4.2,8,8,26894336.0,2679360
churn_departure,2918,conservative_recency,0.7566360747297778,0.084375,1.0884843859841238,5.025,1.05,0.19775154012871887,0.7260103075267677,4.2,8,8,26927104.0,2675448
churn_departure,2919,conservative_recency,1.2042489643948575,0.146875,1.6253348293293193,9.075,2.25,0.17454851314414005,1.5228896295281245,9.0,8,8,27287552.0,2643728
churn_departure,2920,conservative_recency,0.7633309791913805,0.08541666666666667,1.0944965334559986,3.525,2.625,0.19502679407393111,0.755177357877976,10.5,8,8,26959872.0,2774128
split_no_new,2901,conservative_recency,0.8039415607846825,0.065625,0.9362096737135288,3.75,0.975,0.22212253530648748,2.972887684075142,1.2,0,0,26206208.0,2319000
split_no_new,2902,conservative_recency,0.8689235594468664,0.06041666666666667,1.016563351930041,4.35,0.0,0.5978593427879701,3.8156534693476716,0.0,0,0,26173440.0,2188008
split_no_new,2903,conservative_recency,1.3995401655895852,0.14895833333333333,1.6691160560594749,3.9,6.975,0.3163068810057121,2.795618751457515,24.3,0,0,26206208.0,2305504
split_no_new,2904,conservative_recency,0.8661658190156155,0.06041666666666667,1.01268041454252,4.35,0.0,0.43524236180992787,4.062961691338908,0.0,0,0,26173440.0,2268144
split_no_new,2905,conservative_recency,0.4458610189496402,0.020833333333333332,0.5573397803328266,1.5,0.0,0.1946333362767407,1.9749049807426498,0.0,0,0,26206208.0,2322304
split_no_new,2906,conservative_recency,0.7136354706227681,0.05,0.8860358565775681,2.025,1.575,0.40283569607683795,2.2723590547200345,6.3,0,0,26206208.0,2399528
split_no_new,2907,conservative_recency,0.5397901682514236,0.03229166666666667,0.6520568301248534,2.325,0.0,0.2220004639283313,3.0749970395066972,0.0,0,0,26140672.0,2289416
split_no_new,2908,conservative_recency,0.9219771654071368,0.051041666666666666,1.1287991052564699,3.675,0.0,1.0628773961073934,4.080811093547657,0.0,0,0,26206208.0,2177432
split_no_new,2909,conservative_recency,1.1548764928980242,0.08958333333333333,1.327060922548147,6.45,0.0,0.6645588972001628,4.510028154415307,0.0,0,0,26206208.0,2119024
split_no_new,2910,conservative_recency,0.6368263903238057,0.03229166666666667,0.7914364414066005,2.325,0.0,0.5293787452653806,2.1356566079477313,0.0,0,0,26173440.0,2238296
split_no_new,2911,conservative_recency,0.6733962340416872,0.04583333333333333,0.8001508020087684,3.225,0.225,0.24555923519355763,2.3921894086994975,0.0,0,0,26173440.0,2267472
split_no_new,2912,conservative_recency,0.6130044490387937,0.04479166666666667,0.7095387021670926,3.225,0.0,0.13755047726889968,3.0100296871025907,0.0,0,0,26206208.0,2285288
split_no_new,2913,conservative_recency,0.8866636531537379,0.059375,1.0475961371310418,4.275,0.0,0.6755341491346116,3.6517401048001297,0.0,0,0,26206208.0,2268880
split_no_new,2914,conservative_recency,0.8323309831766255,0.06041666666666667,0.9647999820205542,4.35,0.0,0.3283413718413604,4.164469327082112,0.0,0,0,26206208.0,2150720
split_no_new,2915,conservative_recency,0.6197925258695153,0.04895833333333333,0.7044887859270715,3.525,0.0,0.10540963916595233,4.029755915369032,0.0,0,0,26173440.0,2262824
split_no_new,2916,conservative_recency,0.7155179338481351,0.04895833333333333,0.8764404593221584,2.4,1.125,0.38622989842433325,2.7480021186939867,3.9,0,0,26206208.0,2293240
split_no_new,2917,conservative_recency,0.5493378513918014,0.019791666666666666,0.7073498059930785,1.425,0.0,0.4978367404692679,1.973066378923241,0.0,0,0,26173440.0,2239248
split_no_new,2918,conservative_recency,0.6431605554366766,0.036458333333333336,0.7836318837022829,2.625,0.0,0.3983732948402286,2.2667892157130307,0.0,0,0,26173440.0,2343408
