sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes
0000,reliable,qualified_exist,147,3.8487297657742148,4.870508607059032,0.24534976607055414,15.673469387755102,27.918367346938776,0.48299319727891155,72.13283122474286,630,750504,4854528
0000,reliable,innovation_recency,147,3.8116674369993384,4.838293280128494,0.24535047919272795,15.673469387755102,27.918367346938776,0.48299319727891155,72.13304088266209,630,660000,4854528
0000,intermittent,qualified_exist,147,3.96132069559732,5.108084014450409,1.373065492853881,15.918367346938776,27.918367346938776,0.48639455782312924,403.6812548990412,629,768432,4854528
0000,intermittent,innovation_recency,147,4.04563654041395,5.205088084518782,1.3730901101741044,15.918367346938776,28.653061224489797,0.4965986394557823,403.6884923911866,629,752016,4854528
0001,reliable,qualified_exist,114,7.193531192082701,6.897881157712179,0.8374250780432799,22.105263157894736,49.89473684210526,0.8947368421052632,190.93291779386786,114,509712,3764736
0001,reliable,innovation_recency,114,7.19353119350528,6.9215385290409275,0.8374253943515803,22.105263157894736,50.526315789473685,0.9035087719298246,190.9329899121604,114,528072,3764736
0001,intermittent,qualified_exist,114,7.101120952344334,7.338679276755113,0.8332113634674999,21.789473684210527,60.94736842105263,1.043859649122807,189.97219087058994,115,472128,3764736
0001,intermittent,innovation_recency,114,8.469541979620777,8.275501230144078,0.8332112557011827,21.789473684210527,68.52631578947368,1.1666666666666667,189.97216629986963,115,472344,3764736
0002,reliable,qualified_exist,144,5.091669890505766,4.763774508526266,0.922989083235725,22.5,24.5,0.4583333333333333,265.8208559718888,122,473184,4755456
0002,reliable,innovation_recency,144,5.11604732440663,4.788121525861379,0.9219558421066318,23.0,24.5,0.4513888888888889,265.52328252671003,120,539928,4755456
0002,intermittent,qualified_exist,144,6.148642871696854,5.4999837056093535,1.6750340016967253,21.25,30.25,0.5555555555555556,482.40979248865693,127,504072,4755456
0002,intermittent,innovation_recency,144,6.154801970325969,5.451123746880784,1.6739245896518304,21.75,28.75,0.5416666666666666,482.0902818197271,125,609264,4755456
0003,reliable,qualified_exist,198,6.463879887487626,16.1948360384673,12.856196833214042,221.0909090909091,86.9090909090909,2.8434343434343434,5091.053945952757,2500,5343120,8816128
0003,reliable,innovation_recency,198,6.502088568641911,16.259943997594917,12.27587629391434,224.36363636363637,86.18181818181819,2.8686868686868685,4861.247012390083,2482,4637232,7128576
0003,intermittent,qualified_exist,198,6.890350751056643,16.96893482200332,14.51154733319976,239.63636363636363,87.0909090909091,3.1035353535353534,5746.572743947106,2398,4351464,7226880
0003,intermittent,innovation_recency,198,6.873875669370494,16.892015985187356,13.625301281389925,240.1818181818182,84.9090909090909,3.106060606060606,5395.619307430412,2395,4176936,7161344
