sequence,role,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes,runtime_s,maximum_bernoulli_count
0000,overlap_control,reliable,local,147,8.326182346059717,10.334458230062754,8.100603681228858,84.9795918367347,27.183673469387756,0.891156462585034,2381.577482281285,347,0,0,0.89881725,17
0000,overlap_control,reliable,lineage,147,3.434261769691684,4.3244849547903295,0.1385586971799748,18.122448979591837,20.571428571428573,0.3877551020408163,40.73625697091258,620,766320,4854528,1.660430375,26
0000,overlap_control,reliable,qualified_exist,147,3.848759670084224,4.8705539909890945,0.24537509169123545,15.673469387755102,27.918367346938776,0.48299319727891155,72.14027695722321,630,723264,4854528,1.26336925,23
0000,overlap_control,reliable,conservative_recency,147,3.171513769330278,3.964711936755799,0.13831587615820493,18.612244897959183,16.653061224489797,0.35374149659863946,40.66486759051229,618,766320,4854528,1.407102125,24
0000,overlap_control,reliable,confirmation_recency,147,3.853514533653327,4.891138738677339,0.15902880757704857,16.653061224489797,27.428571428571427,0.47619047619047616,46.754469427652346,626,690816,4854528,1.4222900416666666,22
0000,overlap_control,reliable,mil_support,147,4.499213915046464,5.849110964425053,0.41352272965124537,14.204081632653061,40.6530612244898,0.6394557823129252,121.57568251746618,636,1916768,4854528,2.1548133333333332,53
0000,overlap_control,reliable,tc_ospa2_w5,147,4.937801714002867,6.592938861823017,3.7312011127753375,14.204081632653061,43.10204081632653,0.7006802721088435,1096.9731271559488,636,172048,4854528,0.5327018333333333,0
0000,overlap_control,reliable,tc_ospa2_w10,147,4.618658811350888,6.054058529863746,5.14994181286717,18.612244897959183,30.857142857142858,0.6190476190476191,1514.082892982947,618,323856,4854528,0.3333001666666667,0
0000,overlap_control,intermittent,local,147,8.326182346059717,10.334458230062754,8.100603681228858,84.9795918367347,27.183673469387756,0.891156462585034,2381.577482281285,347,0,0,0.89881725,17
0000,overlap_control,intermittent,lineage,147,4.091729057839244,5.265023787870701,1.2076652120009306,18.612244897959183,26.20408163265306,0.45918367346938777,355.05357232827345,618,844320,4854528,1.1082157916666666,26
0000,overlap_control,intermittent,qualified_exist,147,3.961330587880159,5.108093094931617,1.3730897827858175,15.918367346938776,27.918367346938776,0.48639455782312924,403.6883961390307,629,740528,4854528,0.9198177916666667,22
0000,overlap_control,intermittent,conservative_recency,147,4.03491512992238,5.131165569832536,1.2074122574782926,19.102040816326532,24.0,0.46258503401360546,354.9792036986175,616,769856,4854528,1.06072825,25
0000,overlap_control,intermittent,confirmation_recency,147,4.039412535745053,5.218590961362727,1.2933969455184247,16.653061224489797,28.653061224489797,0.4931972789115646,380.25870198241677,626,753632,4854528,1.206641625,23
0000,overlap_control,intermittent,mil_support,147,4.350533005505736,5.767710447105769,2.8381477242485875,13.224489795918368,37.714285714285715,0.5986394557823129,834.4154309290835,640,1669664,4854528,1.6546759583333333,49
0000,overlap_control,intermittent,tc_ospa2_w5,147,5.702797237362822,7.5430163020205185,5.9243121231311315,39.91836734693877,34.285714285714285,0.6972789115646258,1741.747764200552,531,172048,4854528,0.125038375,0
0000,overlap_control,intermittent,tc_ospa2_w10,147,5.558358230778674,7.225827728780912,5.867123952535269,44.08163265306123,26.93877551020408,0.673469387755102,1724.9344420453674,514,323856,4854528,0.15564675,0
0005,reserved,reliable,local,217,6.297126541882585,14.370087836384782,17.84460294284588,116.62672811059907,89.75115207373273,1.5069124423963134,7744.557677195105,2449,0,0,1.81962775,48
0005,reserved,reliable,lineage,217,5.247963678280682,11.987420547925934,16.595581251535812,68.35023041474655,72.33179723502305,1.0414746543778801,7202.4822631665465,2740,3325456,7166208,6.390703,75
0005,reserved,reliable,qualified_exist,217,5.243395174514552,11.96144577579331,17.579252243955366,66.02764976958525,72.66359447004608,1.0783410138248848,7629.395473876628,2754,3170704,7166208,6.1165545833333335,68
0005,reserved,reliable,conservative_recency,217,5.2312538071260315,11.937931829152284,16.424475574770828,74.65437788018433,63.705069124423964,1.0276497695852536,7128.222399450529,2702,3415312,7166208,6.9574930833333335,77
