sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,raw_bytes,wire_bytes
0000,reliable,qualified_exist,147,3.8487297657742148,4.870508607059032,0.24534976607055414,15.673469387755102,27.918367346938776,0.48299319727891155,72.13283122474286,630,750504,4854528
0000,reliable,innovation_recency,147,3.8116674369993384,4.838293280128494,0.24535047919272795,15.673469387755102,27.918367346938776,0.48299319727891155,72.13304088266209,630,660000,4854528
0000,intermittent,qualified_exist,147,3.96132069559732,5.108084014450409,1.373065492853881,15.918367346938776,27.918367346938776,0.48639455782312924,403.6812548990412,629,768432,4854528
0000,intermittent,innovation_recency,147,4.04563654041395,5.205088084518782,1.3730901101741044,15.918367346938776,28.653061224489797,0.4965986394557823,403.6884923911866,629,752016,4854528
0001,reliable,qualified_exist,114,7.193531192082701,6.897881157712179,0.8374250780432799,22.105263157894736,49.89473684210526,0.8947368421052632,190.93291779386786,114,509712,3764736
0001,reliable,innovation_recency,114,7.19353119350528,6.9215385290409275,0.8374253943515803,22.105263157894736,50.526315789473685,0.9035087719298246,190.9329899121604,114,528072,3764736
0001,intermittent,qualified_exist,114,7.101120952344334,7.338679276755113,0.8332113634674999,21.789473684210527,60.94736842105263,1.043859649122807,189.97219087058994,115,472128,3764736
0001,intermittent,innovation_recency,114,8.469541979620777,8.275501230144078,0.8332112557011827,21.789473684210527,68.52631578947368,1.1666666666666667,189.97216629986963,115,472344,3764736
0002,reliable,qualified_exist,144,5.091669890505766,4.763774508526266,0.922989083235725,22.5,24.5,0.4583333333333333,265.8208559718888,122,473184,4755456
0002,reliable,innovation_recency,144,5.11604732440663,4.788121525861379,0.9219558421066318,23.0,24.5,0.4513888888888889,265.52328252671003,120,539928,4755456
0002,intermittent,qualified_exist,144,6.148642871696854,5.4999837056093535,1.6750340016967253,21.25,30.25,0.5555555555555556,482.40979248865693,127,504072,4755456
0002,intermittent,innovation_recency,144,6.154801970325969,5.451123746880784,1.6739245896518304,21.75,28.75,0.5416666666666666,482.0902818197271,125,609264,4755456
0003,reliable,qualified_exist,198,6.463879887487626,16.1948360384673,12.856196833214042,221.0909090909091,86.9090909090909,2.8434343434343434,5091.053945952757,2500,5343120,8816128
0003,reliable,innovation_recency,198,6.502088568641911,16.259943997594917,12.27587629391434,224.36363636363637,86.18181818181819,2.8686868686868685,4861.247012390083,2482,4637232,7128576
0003,intermittent,qualified_exist,198,6.890350751056643,16.96893482200332,14.51154733319976,239.63636363636363,87.0909090909091,3.1035353535353534,5746.572743947106,2398,4351464,7226880
0003,intermittent,innovation_recency,198,6.873875669370494,16.892015985187356,13.625301281389925,240.1818181818182,84.9090909090909,3.106060606060606,5395.619307430412,2395,4176936,7161344
0004,reliable,qualified_exist,180,5.158462418786463,24.516173557013545,63.042217307213285,315.6,229.6,2.3055555555555554,22695.198230596783,8218,5893200,8057856
0004,reliable,innovation_recency,180,5.157346327627442,24.509085397948528,63.50386328893647,315.2,229.2,2.3055555555555554,22861.39078401713,8220,5872248,8057856
0004,intermittent,qualified_exist,180,5.023765254790169,23.983741135467753,64.18376881511573,306.2,213.0,2.066666666666667,23106.156773441646,8265,5932296,8205312
0004,intermittent,innovation_recency,180,5.0323511828596725,24.025360134596664,63.6981266728682,308.6,213.4,2.0944444444444446,22931.32560223257,8253,5919336,8188928
0005,reliable,qualified_exist,310,4.589181245898201,14.737857962499572,21.253086239168155,122.4,104.0516129032258,1.403225806451613,13176.91346828425,8588,9994720,14775808
0005,reliable,innovation_recency,310,4.596240174778878,14.68922901196857,22.82702924994806,119.14838709677419,103.12258064516129,1.4741935483870967,14152.758134967824,8616,9397696,14628352
0005,intermittent,qualified_exist,310,4.941829011926245,15.711997696482376,25.326318550848264,143.76774193548388,111.83225806451613,1.5467741935483872,15702.317501525944,8404,9628600,14857728
0005,intermittent,innovation_recency,310,4.967148544467602,15.760828759086134,23.98284719194757,145.9741935483871,112.76129032258065,1.5838709677419356,14869.365259007494,8385,9867712,14841344
0006,reliable,qualified_exist,304,6.393488340804606,12.871222225323878,2.6697504826480256,63.94736842105263,131.92105263157896,1.6414473684210527,1623.20829345,3482,4909264,10579968
0006,reliable,innovation_recency,304,6.404946634031872,12.887200331250071,2.6647911275535785,64.65789473684211,131.68421052631578,1.6546052631578947,1620.1930055525738,3476,4941232,10629120
0006,intermittent,qualified_exist,304,6.209741632231192,12.480734143112722,2.5922344980103706,63.0,123.51315789473684,1.449013157894737,1576.0785747903049,3490,5076664,10891264
0006,intermittent,innovation_recency,304,6.1910301932423835,12.443584708858891,2.815999153236098,62.64473684210526,123.15789473684211,1.4391447368421053,1712.127485167549,3493,5099776,11071488
0007,reliable,qualified_exist,221,4.267143711232083,12.813073893752282,19.828090185680505,76.56108597285068,92.85067873303167,1.3665158371040724,8764.015862070784,5474,6834128,10427648
0007,reliable,innovation_recency,221,4.183512961680985,12.599816884021875,19.512134312121113,74.60633484162896,90.89592760180996,1.330316742081448,8624.363365957535,5486,6397376,10214656
0007,intermittent,qualified_exist,221,4.823202479355385,14.866069082198884,40.269171358710686,133.08597285067873,107.34841628959276,1.8642533936651584,17798.97374055013,5127,7718648,11246848
0007,intermittent,innovation_recency,221,4.818434345169819,14.873020834370342,41.82758755287199,131.45701357466064,107.51131221719457,1.8257918552036199,18487.793698369456,5137,7319480,10427648
0008,reliable,qualified_exist,375,0.8646858443030389,2.827351581019581,3.083221317987942,9.024,8.064,0.22133333333333333,2312.41598849096,10688,7884888,12646144
