condition,arm,frame,robot,detected,output_count,active_components,near_active_components,near_total_r,near_max_r,association_has_column,association_effective_labels,association_largest_share,association_nearest_distance_m,association_joint_mass
reliable,marked_gaussian_evidence_once_initial_negative,21,1,True,7,77,1,0.7707775692488306,0.7707775692488306,True,1.8899428868719506,0.9121122257101192,0.09168980582450387,0.9661989780890803
reliable,marked_gaussian_evidence_once_initial_negative,21,2,True,7,77,1,0.7707775692488306,0.7707775692488306,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,22,1,True,7,78,1,0.9247072422225647,0.9247072422225647,True,1.2598968275594995,0.9729522252628363,0.06143679940974246,0.9901964586057117
reliable,marked_gaussian_evidence_once_initial_negative,22,2,True,7,78,1,0.9247072422225647,0.9247072422225647,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,23,1,True,7,79,1,0.9792175944567202,0.9792175944567202,True,1.0852600063815698,0.9915892076847811,0.1200661223864506,0.9904881530039561
reliable,marked_gaussian_evidence_once_initial_negative,23,2,True,7,79,1,0.9792175944567202,0.9792175944567202,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,24,1,True,7,74,1,0.9938557311516011,0.9938557311516011,True,1.044654722810788,0.9957802147221264,0.04687810512051207,0.9942235557902456
reliable,marked_gaussian_evidence_once_initial_negative,24,2,True,7,74,1,0.9938557311516011,0.9938557311516011,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,25,1,True,7,73,1,0.9966514909504884,0.9966514909504884,True,1.0330893603120268,0.9969379128575317,0.11109578156562097,0.9933082151804485
reliable,marked_gaussian_evidence_once_initial_negative,25,2,True,7,73,1,0.9966514909504884,0.9966514909504884,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,26,1,True,7,73,1,0.9975948724307104,0.9975948724307104,True,1.032758448102675,0.9969692836447771,0.1446768418821758,0.9951241384155025
reliable,marked_gaussian_evidence_once_initial_negative,26,2,True,7,73,1,0.9975948724307104,0.9975948724307104,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,27,1,True,7,77,1,0.9977839763013047,0.9977839763013047,True,1.0338003954302262,0.996881393212378,0.09425574860562583,0.9954386818581703
reliable,marked_gaussian_evidence_once_initial_negative,27,2,True,7,77,1,0.9977839763013047,0.9977839763013047,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,28,1,True,7,78,1,0.9972413475873713,0.9972413475873713,True,1.0351598027685416,0.9967669834519042,0.14609414399609785,0.9911479274026603
reliable,marked_gaussian_evidence_once_initial_negative,28,2,True,7,78,1,0.9972413475873713,0.9972413475873713,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,29,1,True,6,80,1,0.9975015827844732,0.9975015827844732,True,1.0380753695494835,0.9964826697811702,0.06595437955072765,0.9933229627765027
reliable,marked_gaussian_evidence_once_initial_negative,29,2,True,6,80,1,0.9975015827844732,0.9975015827844732,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,30,1,True,6,83,1,0.9976018397855098,0.9976018397855098,True,1.0398148507907514,0.9963338580385297,0.10946912424036814,0.9943409687560377
reliable,marked_gaussian_evidence_once_initial_negative,30,2,True,6,83,1,0.9976018397855098,0.9976018397855098,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,31,1,True,7,87,1,0.9975456599415962,0.9975456599415962,True,1.0414748483466676,0.9961879255503739,0.08829915880796961,0.993942384745356
reliable,marked_gaussian_evidence_once_initial_negative,31,2,True,7,87,1,0.9975456599415962,0.9975456599415962,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,32,1,True,7,91,1,0.9972604567009155,0.9972604567009155,True,1.0442180623288921,0.9959363061507994,0.1276275268101563,0.991857581419707
reliable,marked_gaussian_evidence_once_initial_negative,32,2,True,7,91,1,0.9972604567009155,0.9972604567009155,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,33,1,True,7,95,1,0.9974557082601764,0.9974557082601764,True,1.0469853744224311,0.9956753221643105,0.13037048703411427,0.9938967888874601
reliable,marked_gaussian_evidence_once_initial_negative,33,2,True,7,95,1,0.9974557082601764,0.9974557082601764,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,34,1,True,7,99,1,0.9977476199113333,0.9977476199113333,True,1.045870748467553,0.9957943024455806,0.06686490791099757,0.9959984984340441
reliable,marked_gaussian_evidence_once_initial_negative,34,2,True,7,99,1,0.9977476199113333,0.9977476199113333,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,35,1,True,7,103,1,0.997186731002769,0.997186731002769,True,1.0452562869618423,0.9958655077149275,0.07119023561182705,0.9909147268012479
reliable,marked_gaussian_evidence_once_initial_negative,35,2,True,7,103,1,0.997186731002769,0.997186731002769,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,36,1,True,8,101,1,0.997391232921236,0.997391232921236,True,1.0468171435573532,0.9957226463591827,0.06371735568738825,0.9937450235166505
reliable,marked_gaussian_evidence_once_initial_negative,36,2,True,8,101,1,0.997391232921236,0.997391232921236,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,37,1,True,8,103,1,0.997833724792351,0.997833724792351,True,1.04842101868808,0.9955752057218347,0.09117330618167116,0.9967800100688635
reliable,marked_gaussian_evidence_once_initial_negative,37,2,True,8,103,1,0.997833724792351,0.997833724792351,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,38,1,True,8,102,1,0.997506701574008,0.997506701574008,True,1.0462205991916707,0.9958042199197621,0.11920467821727368,0.9941020389695338
reliable,marked_gaussian_evidence_once_initial_negative,38,2,True,8,102,1,0.997506701574008,0.997506701574008,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,39,1,True,8,107,1,0.9974698555329212,0.9974698555329212,True,1.0455239468353321,0.9958809789785399,0.13080897192112637,0.9944544223904175
reliable,marked_gaussian_evidence_once_initial_negative,39,2,True,8,107,1,0.9974698555329212,0.9974698555329212,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,40,1,True,8,106,1,0.9976900398809586,0.9976900398809586,True,1.0449162119538689,0.9959450211068456,0.08858551246905268,0.9960086329395217
reliable,marked_gaussian_evidence_once_initial_negative,40,2,True,8,106,1,0.9976900398809586,0.9976900398809586,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,41,1,True,8,111,1,0.9972681922528858,0.9972681922528858,True,1.0435151857812879,0.996085627603277,0.07037480290136493,0.9924228512500959
reliable,marked_gaussian_evidence_once_initial_negative,41,2,True,8,111,1,0.9972681922528858,0.9972681922528858,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,42,1,True,8,110,1,0.9972959393844276,0.9972959393844276,True,1.0444229084645404,0.9960068267153126,0.1352366596943447,0.993452653061263
reliable,marked_gaussian_evidence_once_initial_negative,42,2,True,8,110,1,0.9972959393844276,0.9972959393844276,False,,,,
reliable,marked_gaussian_evidence_once_initial_negative,43,1,True,8,117,1,0.9975381765914887,0.9975381765914887,True,1.0448774258168791,0.9959638784776094,0.0833394835762643,0.994849886103955
reliable,marked_gaussian_evidence_once_initial_negative,43,2,True,8,117,1,0.9975381765914887,0.9975381765914887,True,1.0000015672596387,0.9999999089426701,54.83688755796934,5.3170429550159046e-42
reliable,marked_gaussian_evidence_once_initial_negative,44,1,True,8,115,1,0.9977322296364498,0.9977322296364498,True,1.0461504836033315,0.9958579502937904,0.07579585839954701,0.9963804747785507
reliable,marked_gaussian_evidence_once_initial_negative,44,2,True,8,115,1,0.9977322296364498,0.9977322296364498,False,,,,
