condition,backend,frame,robot,phase,left_count,right_count,common_labels,same_labels,exact,maximum_existence_difference,maximum_mean_difference,maximum_covariance_difference,equal
reliable,GCE,5,2,posterior,29,31,28,False,False,0.023922037445270786,1.8578570917133255,25.341100816759848,False
reliable,GCE,5,2,fused,32,32,31,False,False,0.023922037445270786,1.9903911494879276,25.341100816759848,False
reliable,GCE,5,2,target_local,2,1,1,False,False,3.371819069757716e-05,0.06507067594598936,0.2654576584079109,False
reliable,GCE,5,2,target_posterior,3,3,3,True,False,0.009092577859836456,0.1930122114713808,19.56612738387352,False
reliable,GCE,6,1,predicted,38,40,38,False,False,0.023682817070818075,3.0891880558449643,0.0,False
reliable,GCE,6,1,local,36,38,36,False,False,0.09695682738932118,1.3043954885881286,10.393896649274538,False
reliable,GCE,6,1,posterior,36,37,35,False,False,0.1062233848575928,2.1414396299622496,46.918769576385984,False
reliable,GCE,6,1,fused,36,38,36,False,False,0.1062233848575928,2.1414396299622496,69.15379751420883,False
reliable,GCE,6,1,target_local,4,5,4,False,False,0.09695682738932118,0.25879568385302176,2.151835108237833,False
reliable,GCE,6,1,target_posterior,4,5,4,False,False,0.005126592595915696,0.24117709519558161,19.144114076883994,False
reliable,GCE,6,2,predicted,29,31,28,False,False,0.023682817070818075,1.9068657431962894,0.0,False
reliable,GCE,6,2,local,17,26,15,False,False,0.003813530637780005,0.5149630709316133,12.000301800123701,False
reliable,GCE,6,2,posterior,36,37,33,False,False,0.1062233848575928,2.1414396299622496,27.373147975270484,False
reliable,GCE,6,2,fused,36,38,33,False,False,0.1062233848575928,2.1414396299622496,27.373147975270484,False
reliable,GCE,6,2,target_local,0,2,0,False,False,0.0,0.0,0.0,False
reliable,GCE,6,2,target_posterior,4,5,4,False,False,0.0051265925959155904,0.24117709519558161,19.144114076883994,False
reliable,GCE,7,1,predicted,45,46,44,False,False,0.10516115100901686,2.1414396299622496,0.0,False
reliable,GCE,7,1,local,42,44,42,False,False,0.18671172043049844,3.4250572138520514,18.177142367990086,False
reliable,GCE,7,1,posterior,40,44,40,False,False,0.24329680055101235,3.4250572138520283,35.83992345208492,False
reliable,GCE,7,1,fused,42,44,42,False,False,0.24329680055101235,3.4250572138520283,46.9483249925014,False
reliable,GCE,7,1,target_local,7,6,5,False,False,0.038197458086400335,0.32684038960827533,4.644973210751203,False
reliable,GCE,7,1,target_posterior,7,6,5,False,False,0.007265484536606091,0.23843576899425165,18.58931935094087,False
reliable,GCE,7,2,predicted,36,37,33,False,False,0.10516115100901686,2.1414396299622496,0.0,False
reliable,GCE,7,2,local,22,24,16,False,False,0.013921579339985212,0.8317263457359019,26.108112261857613,False
reliable,GCE,7,2,posterior,40,44,39,False,False,0.2432968005509845,3.4250572138520283,35.83992345208492,False
reliable,GCE,7,2,fused,42,44,39,False,False,0.2432968005509845,3.4250572138520283,35.83992345208492,False
reliable,GCE,7,2,target_local,1,2,0,False,False,0.0,0.0,0.0,False
reliable,GCE,7,2,target_posterior,7,6,5,False,False,0.007265484536606091,0.23843576899425165,18.58931935094087,False
reliable,GCE,8,1,predicted,50,54,50,False,False,0.24086383254550223,3.4250572138520283,0.0,False
reliable,GCE,8,1,local,49,51,49,False,False,0.13701960206188724,1.7422713833363428,31.105148718178015,False
reliable,GCE,8,1,posterior,49,50,48,False,False,0.39133941144014744,1.7422713833364085,31.105148718178015,False
reliable,GCE,8,1,fused,49,51,49,False,False,0.39133941144014744,1.7422713833364085,58.18803635598769,False
reliable,GCE,8,1,target_local,13,9,8,False,False,0.09000045691396058,0.4068294306897867,13.113734807160341,False
reliable,GCE,8,1,target_posterior,13,9,8,False,False,0.00760888875706054,0.5581045792803528,16.12248083797151,False
reliable,GCE,8,2,predicted,40,44,39,False,False,0.24086383254547464,3.4250572138520283,0.0,False
reliable,GCE,8,2,local,21,24,19,False,False,0.04207619721986834,0.22664243234433235,18.58931935094087,False
reliable,GCE,8,2,posterior,49,50,46,False,False,0.3913394114401104,1.7422713833364085,31.105148718178015,False
reliable,GCE,8,2,fused,49,51,46,False,False,0.3913394114401104,1.7422713833364085,31.105148718178015,False
reliable,GCE,8,2,target_local,3,3,2,False,False,0.00018017761164999878,0.17147620196865887,18.58931935094087,False
reliable,GCE,8,2,target_posterior,13,9,8,False,False,0.00760888875706054,0.5581045792803528,16.12248083797151,False
reliable,GCE,9,1,predicted,58,59,57,False,False,0.387426017325746,1.7422713833364085,0.0,False
reliable,GCE,9,1,local,52,57,52,False,False,0.10843932531708522,1.2725991145051339,18.115062976923042,False
reliable,GCE,9,1,posterior,49,56,49,False,False,0.4111727259605907,1.2725991145051267,18.115062976923056,False
reliable,GCE,9,1,fused,52,57,52,False,False,0.4111727259605907,1.6954149466671389,18.115062976923056,False
reliable,GCE,9,1,target_local,15,14,13,False,False,0.061499608649721864,0.6139830078148065,13.823644087918808,False
reliable,GCE,9,1,target_posterior,15,14,13,False,False,0.004343394377674058,0.7465165199656099,14.9198092732207,False
reliable,GCE,9,2,predicted,50,51,47,False,False,0.38742601732570936,1.7422713833364085,0.0,False
