branch,commit,archive_tag,method_family,in_current_mainline,had_remote_branch
codex/v253-cross-seed-ridge-selector,501572eb54a33302440e626c84eeadf0b65849ab,codex/v253-cross-seed-ridge-selector,data-driven-gateway-selection,false,true
codex/v254-scale-equivariant-gateway,1dc2b9f0b3d367c5e4ab0761723edab5eb9dfeab,codex/v254-scale-equivariant-gateway,data-driven-gateway-selection,true,true
codex/v255-budgeted-local-gateway,cbd37f5190127aa96065509cbdbdf0c9677baf7c,codex/v255-budgeted-local-gateway,data-driven-gateway-selection,true,true
codex/v256-pooled-expected-gateway,b3010041b0e397e75f75d4ca50097588d4b5c1d7,codex/v256-pooled-expected-gateway,data-driven-gateway-selection,true,true
codex/v257-decision-aware-gateway,213e26f02475f06d40259a612ac3f9aa793d2317,codex/v257-decision-aware-gateway,data-driven-gateway-selection,true,true
codex/v258-event-cut-reinforcement,dc9a971972aadafbe5ddec1a300d785c4209554a,codex/v258-event-cut-reinforcement,risk-triggered-topology,true,true
codex/v259-risk-decomposed-horizon,dfb4ed2512e215a89300f0cc01b36de78e45e127,codex/v259-risk-decomposed-horizon,risk-triggered-topology,true,true
codex/v260-risk-triggered-local-pulse,6fc7b54911aacc6fa6ba8935e9e302ddd9f2a019,codex/v260-risk-triggered-local-pulse,risk-triggered-topology,true,true
codex/v261-risk-triggered-local-replacement,e7ae2ccd86e4f3ae7770924aa2771d79f8021473,codex/v261-risk-triggered-local-replacement,risk-triggered-topology,true,true
codex/v262-risk-episode-latch,7c4bc35c65f725e6a65e52f00c6f5805bcff2908,codex/v262-risk-episode-latch,risk-triggered-topology,true,true
codex/v263-multi-source-risk-tree,ada2fb6e21d3abd5d03bf33e1009814543f111aa,codex/v263-multi-source-risk-tree,risk-triggered-topology,true,true
codex/v264-minimal-risk-cycle,466c7d661b979849ab02a2bd699ed528a6522539,codex/v264-minimal-risk-cycle,risk-triggered-topology,true,true
codex/v265-label-selective-shortcut,254452291b8b21b2294e6562398566535379eb33,codex/v265-label-selective-shortcut,source-preserving-label-packets,true,true
codex/v266-eta-projected-label-trust,df08db2d41320bc76e173e1dccf485b5e00dcaaf,codex/v266-eta-projected-label-trust,source-preserving-label-packets,true,true
codex/v267-asymmetric-eta-retention,44907d88b1a12be1b345c6e3a6074bac30c2a4b0,codex/v267-asymmetric-eta-retention,source-preserving-label-packets,true,true
codex/v268-source-preserving-label-packet,78c0a0ea787ba7368119bc2c3877090c4c58e350,codex/v268-source-preserving-label-packet,source-preserving-label-packets,true,true
codex/v269-existence-margin-beneficiary,3f1d188178f74afa7941801606dfad229a60b6ae,codex/v269-existence-margin-beneficiary,source-preserving-label-packets,true,true
codex/v270-one-shot-packet-episode,2ee4a9a219df930cbfbe35ffa052bbcc97389700,codex/v270-one-shot-packet-episode,source-preserving-label-packets,true,true
codex/v271-temporal-mixing-probe,6d29250c0a9d759b5c82da6a3005102c96f4b498,codex/v271-temporal-mixing-probe,mixing-and-scale-controls,true,true
codex/v272-temporally-balanced-backbone,b7da25ccb5e739ab14f81f5b754cb2b5526c4240,codex/v272-temporally-balanced-backbone,mixing-and-scale-controls,true,true
codex/v273-lmb-existence-safety,788967658a2658f7fa7b9f68ff7134d5eee49ae9,codex/v273-lmb-existence-safety,mixing-and-scale-controls,true,true
codex/v274-x36-minimum-backbone,2f3105f518679414967f545462ebabb9eaa0b125,codex/v274-x36-minimum-backbone,mixing-and-scale-controls,false,true
codex/v275-balanced-kla-backbone,fbbe3d3518b96f5fe0ec2394bb61091fbe5c2bdf,codex/v275-balanced-kla-backbone,mixing-and-scale-controls,true,true
codex/v276-zipper-merge-scene,4f1d24409272a607df0aa521e4d79fea8e5b0bfd,codex/v276-zipper-merge-scene,mixing-and-scale-controls,true,true
codex/v277-realized-kla-balance,fbbe3d3518b96f5fe0ec2394bb61091fbe5c2bdf,codex/v277-realized-kla-balance,mixing-and-scale-controls,true,false
codex/v39-incremental-risk,814e2858e2e5eea8a49d1b9a6b2096698452dee4,codex/v39-incremental-risk,topology-scheduling-prototypes,true,true
codex/v40-conditional-reweight,13bd6d1ed19d88d87024706c08be9ec677c4d13d,codex/v40-conditional-reweight,topology-scheduling-prototypes,false,true
codex/v41-window-contraction,8bc26e2ddbc72941e08ccadd9df81e1829f76dcf,codex/v41-window-contraction,topology-scheduling-prototypes,false,true
codex/v42-structural-equivariance,e95b48fe3a6dfadf93f6f15f661eaffd4e3d48bb,codex/v42-structural-equivariance,topology-scheduling-prototypes,false,true
codex/v43-index-equivariant-route,4a3a0def702ccebd79fc531f6e48c00613d8c9ba,codex/v43-index-equivariant-route,topology-scheduling-prototypes,true,true
codex/v44-residual-duty-cycle,cfd5b47c1ccc6ffaa1bab4a36a25471d1e49d177,codex/v44-residual-duty-cycle,topology-scheduling-prototypes,true,true
codex/v45-b4-paired-tracking,f17c29382c27d891d3a4859e473186a5f74c1fbb,codex/v45-b4-paired-tracking,topology-scheduling-prototypes,true,true
