group,label_stages,mean_abs_pd_difference,p95_abs_pd_difference,maximum_abs_pd_difference,abs_pd_difference_ge_005_count,mean_zero_pd_count,mean_zero_density_pd_ge_005_count,high_r_count,high_r_abs_pd_difference_ge_005_count,mean_abs_miss_r_difference,maximum_abs_miss_r_difference,mean_miss_position_difference_m,p95_miss_position_difference_m,mean_abs_quadrature_difference,maximum_abs_quadrature_difference,existence_weighted_abs_pd_difference
0,33786,0.0223020990625,0.127773071874,0.465640174652,4147,27939,3189,5950,1040,0.00185495492261,0.168607239738,3.56733243182,16.8942213952,0.000313457903407,0.00423114419037,0.0278786040618
1,5743,0.0334699004655,0.20930612568,0.465640174652,988,4769,679,1217,436,0.00430409453964,0.168607239738,3.96153497558,15.5122449098,0.000321563915853,0.0037699901754,0.0564785835324
2,5642,0.0152765731364,0.0922156376549,0.330040778623,559,4490,474,1064,57,0.000933735290059,0.111601072227,2.36469523758,12.13698876,0.000218715963524,0.00345627410068,0.0104843641153
3,5598,0.0290109894217,0.150662740755,0.323393672198,1034,4660,888,923,140,0.00197319496112,0.11665044462,5.42569409122,28.353565068,0.000350575249974,0.00397809495412,0.0270405874471
4,5553,0.0163078540622,0.0534663939108,0.315478768658,326,4612,174,926,139,0.00152820619826,0.108560919047,3.27067388614,16.1742521934,0.00035442574637,0.00250334831194,0.0235763943133
5,5608,0.0230692382383,0.130658458304,0.333744485571,714,4704,575,850,146,0.0011532554696,0.0764641187417,3.33949003292,12.6534598131,0.000346653385324,0.00384231734323,0.0254385842451
6,5642,0.0164405059353,0.0770292487729,0.32047121266,526,4704,399,970,122,0.00118493911433,0.103572210163,3.04328960105,13.5854883723,0.000289803808176,0.00423114419037,0.0191911029029
