age_s,mean_x_er,mean_x_both,existence_er,existence_both
0.0,1.0,1.0,0.3775406687981454,0.3775406687981454
0.2,1.0,1.0149233933007817,0.369866389396908,0.3698923424813425
0.4,1.0,1.0296872955092558,0.36233828400907947,0.36244010613996486
0.6000000000000001,1.0,1.0442826340769806,0.3549619075794873,0.355186433113466
0.8,1.0,1.0587008088294751,0.34774211427092083,0.3481329989398419
1.0,1.0,1.072933706892092,0.3406830654220458,0.3412807267594442
1.2000000000000002,1.0,1.0869737149459167,0.3337882431063281,0.3346298358072609
1.4000000000000001,1.0,1.1008137288282254,0.3270604687088461,0.3281798920538139
1.6,1.0,1.114447160513965,0.32050192590405135,0.3219298601253936
1.8,1.0,1.127867942535235,0.31411418740020636,0.3158781557150087
2.0,1.0,1.1410705299146289,0.30789824481405575,0.3100226977825326
2.2,1.0,1.1540498997054185,0.3018545410505759,0.304360959932744
2.4000000000000004,1.0,1.1668015482467367,0.29598300458554105,0.2988900204504809
2.6,1.0,1.1793214862551415,0.29028308508111555,0.29360661056051085
2.8000000000000003,1.0,1.1916062318850993,0.2847537898047225,0.28850716056409126
3.0,1.0,1.203652801900046,0.27939372036707305,0.2835878435830583
3.2,1.0,1.21545870110278,0.27420110934461267,0.2788446167146217
3.4000000000000004,1.0,1.2270219101790465,0.2691738564030618,0.27427325946518294
3.6,1.0,1.2383408721114018,0.2643095635906989,0.269869409389107
3.8000000000000003,1.0,1.2494144773218596,0.2596055695212772,0.265628594908407
4.0,1.0,1.2602420477015719,0.25505898221591644,0.26154626533191044
4.2,1.0,1.2708233196840029,0.2506667104201368,0.257617818127997
4.4,1.0,1.281158426514863,0.24642549325575544,0.25383862353390463
4.6000000000000005,1.0,1.2912478798676412,0.24233192810722348,0.2502040466074298
4.800000000000001,1.0,1.301092550948065,0.23838249667785147,0.24670946684420594
5.0,1.0,1.3106936512243723,0.23457358918315244,0.2433502954962536
5.2,1.0,1.320052712913088,0.23090152667620217,0.24012199073576623
5.4,1.0,1.3291715693421635,0.22736258152360161,0.23702007081274884
5.6000000000000005,1.0,1.3380523353050702,0.22395299607048566,0.23404012535670674
5.800000000000001,1.0,1.3466973875107953,0.22066899954931518,0.23117782497163894
6.0,1.0,1.3551093452258955,0.21750682330018026,0.22842892927059238
6.2,1.0,1.3632910511958327,0.21446271438035053,0.2257892934914146
6.4,1.0,1.3712455529239471,0.21153294764814282,0.22325487382948755
6.6000000000000005,1.0,1.3789760843776537,0.2087138364111538,0.2208217316164564
6.800000000000001,1.0,1.3864860481828714,0.20600174173185273,0.2184860364665793
7.0,1.0,1.3937789983593993,0.20339308048472013,0.21624406850454983
7.2,1.0,1.400858623641989,0.20088433225885222,0.21409221978067897
7.4,1.0,1.4077287314242621,0.19847204519847153,0.21202699497134725
7.6000000000000005,1.0,1.4143932323554573,0.19615284087133103,0.21004501145475743
7.800000000000001,1.0,1.4208561256132541,0.1939234182517795,0.20814299884436116
8.0,1.0,1.4271214848696707,0.19178055690144807,0.20631779805495357
8.200000000000001,1.0,1.4331934449612345,0.18972111942629744,0.20456635996940514
8.4,1.0,1.4390761892693384,0.18774205328424862,0.2028857437673566
8.6,1.0,1.444773937811866,0.18584039201294808,0.2012731149709677
8.8,1.0,1.4502909360428247,0.18401325594246898,0.19972574325700576
9.0,1.0,1.4556314443528546,0.18225785245301465,0.19824100007916795
9.200000000000001,1.0,1.4607997282600316,0.18057147583303731,0.19681635613957627
9.4,1.0,1.4658000492773904,0.1789515067886496,0.195449378743824
9.600000000000001,1.0,1.4706366564409907,0.1773954116508508,0.19413772906980048
9.8,1.0,1.4753137784801367,0.17590074132292147,0.19287915937673583
10.0,1.0,1.4798356166095146,0.174465130006396,0.19167151017748715
10.200000000000001,1.0,1.4842063379214876,0.17308629374030635,0.19051270739399517
10.4,1.0,1.488430069355593,0.1717620287849133,0.18940075951306332
10.600000000000001,1.0,1.4925108922213504,0.17049020987790497,0.18833375475712566
10.8,1.0,1.4964528372498456,0.1692687883880412,0.18730985828244193
11.0,1.0,1.5002598801491094,0.16809579038846112,0.1863273094151901
11.200000000000001,1.0,1.503935937638103,0.16696931466932713,0.1853844189341649
11.4,1.0,1.5074848639340928,0.16588753070715712,0.18447956640724872
11.600000000000001,1.0,1.5109104476683255,0.16484867660607985,0.18361119758745303
11.8,1.0,1.5142164092052046,0.16385105702432315,0.18277782187313243
12.0,1.0,1.5174063983405706,0.16289304109750488,0.1819780098359279
12.200000000000001,1.0,1.5204839923552047,0.16197306036872494,0.18121039081908305
12.4,1.0,1.523452694400279,0.16108960673404543,0.18047365060798828
12.600000000000001,1.0,1.5263159321921635,0.16024123041067578,0.17976652917412558
12.8,1.0,1.5290770569947307,0.1594265379340518,0.17908781849300257
13.0,1.0,1.5317393428681079,0.15864419018898357,0.1784363604361614
13.200000000000001,1.0,1.53430598616364,0.15789290047915489,0.17781104473692896
13.4,1.0,1.5367801052456875,0.15717143263846017,0.17721080702921432
13.600000000000001,1.0,1.539164740421763,0.15647859918696522,0.1766346269583628
13.8,1.0,1.541462854063378,0.15581325953366135,0.1760815263628305
