frame,robot,phase,total_count,near_count,near_sum_r,near_max_r,near_birth_labels,near_labels_from_first_three_frames,near_label_age_sum,ancestry_roots,ancestry_memberships,repeated_roots,labels_with_shared_roots,pairs_with_shared_roots,maximum_root_multiplicity,condition,backend
15,2,local,12,1,0.020268024109140418,0.020268024109140418,0,1,12,1,1,0,0,0,1,reliable,GCE
15,1,posterior,46,24,0.19939483569166339,0.04366502182099214,1,4,173,25,25,0,0,0,1,reliable,GCE
15,2,posterior,46,24,0.19939483569166339,0.04366502182099214,1,4,173,25,25,0,0,0,1,reliable,GCE
16,1,local,52,21,1.009394505417381,0.20884395427102662,1,3,160,22,22,0,0,0,1,reliable,GCE
16,2,local,10,1,0.04322837160278222,0.04322837160278222,0,1,13,1,1,0,0,0,1,reliable,GCE
16,1,posterior,51,21,0.21519195664913102,0.08928556789934146,1,3,160,22,22,0,0,0,1,reliable,GCE
16,2,posterior,51,21,0.21519195664913102,0.08928556789934146,1,3,160,22,22,0,0,0,1,reliable,GCE
17,1,local,59,15,0.8186682045508927,0.36556734894675996,1,3,124,16,16,0,0,0,1,reliable,GCE
17,2,local,12,1,0.08839271222034804,0.08839271222034804,0,1,14,1,1,0,0,0,1,reliable,GCE
17,1,posterior,58,15,0.25369140405338364,0.17509097792041328,1,3,124,16,16,0,0,0,1,reliable,GCE
17,2,posterior,58,15,0.25369140405338364,0.17509097792041328,1,3,124,16,16,0,0,0,1,reliable,GCE
18,1,local,65,10,0.8128268422724018,0.5771473779800645,1,2,101,11,11,0,0,0,1,reliable,GCE
18,2,local,13,1,0.17334006814120914,0.17334006814120914,0,1,15,1,1,0,0,0,1,reliable,GCE
18,1,posterior,63,10,0.370084940178123,0.3244741417232502,1,2,101,11,11,0,0,0,1,reliable,GCE
18,2,posterior,63,10,0.370084940178123,0.3244741417232502,1,2,101,11,11,0,0,0,1,reliable,GCE
19,1,local,71,4,0.8170097308959887,0.7679034898762161,1,1,45,4,4,0,0,0,1,reliable,GCE
19,2,local,13,1,0.32122940030601765,0.32122940030601765,0,1,16,1,1,0,0,0,1,reliable,GCE
19,1,posterior,71,4,0.5435558989925134,0.5315362874280165,1,1,45,4,4,0,0,0,1,reliable,GCE
19,2,posterior,71,4,0.5435558989925134,0.5315362874280165,1,1,45,4,4,0,0,0,1,reliable,GCE
20,1,local,75,1,0.9281181035203869,0.9281181035203869,0,1,17,1,1,0,0,0,1,reliable,GCE
20,2,local,18,1,0.5262209245537364,0.5262209245537364,0,1,17,1,1,0,0,0,1,reliable,GCE
20,1,posterior,69,1,0.7784091729364798,0.7784091729364798,0,1,17,1,1,0,0,0,1,reliable,GCE
20,2,posterior,69,1,0.7784091729364798,0.7784091729364798,0,1,17,1,1,0,0,0,1,reliable,GCE
21,1,local,78,1,0.9788211006628592,0.9788211006628592,0,1,18,1,1,0,0,0,1,reliable,GCE
21,2,local,9,1,0.770625081207115,0.770625081207115,0,1,18,1,1,0,0,0,1,reliable,GCE
21,1,posterior,77,1,0.9190862115974582,0.9190862115974582,0,1,18,1,1,0,0,0,1,reliable,GCE
21,2,posterior,77,1,0.9190862115974582,0.9190862115974582,0,1,18,1,1,0,0,0,1,reliable,GCE
22,1,local,82,1,0.996435137974933,0.996435137974933,0,1,19,1,1,0,0,0,1,reliable,GCE
22,2,local,12,1,0.9098953494814835,0.9098953494814835,0,1,19,1,1,0,0,0,1,reliable,GCE
22,1,posterior,77,1,0.9797937037892,0.9797937037892,0,1,19,1,1,0,0,0,1,reliable,GCE
22,2,posterior,77,1,0.9797937037892,0.9797937037892,0,1,19,1,1,0,0,0,1,reliable,GCE
23,1,local,81,1,0.9988733825994156,0.9988733825994156,0,1,20,1,1,0,0,0,1,reliable,GCE
23,2,local,8,1,0.969995766751308,0.969995766751308,0,1,20,1,1,0,0,0,1,reliable,GCE
23,1,posterior,80,1,0.9936098682738692,0.9936098682738692,0,1,20,1,1,0,0,0,1,reliable,GCE
23,2,posterior,80,1,0.9936098682738692,0.9936098682738692,0,1,20,1,1,0,0,0,1,reliable,GCE
24,1,local,75,1,0.9995052074501782,0.9995052074501782,0,1,21,1,1,0,0,0,1,reliable,GCE
24,2,local,11,1,0.9836737695911305,0.9836737695911305,0,1,21,1,1,0,0,0,1,reliable,GCE
24,1,posterior,72,1,0.9968985719366519,0.9968985719366519,0,1,21,1,1,0,0,0,1,reliable,GCE
24,2,posterior,72,1,0.9968985719366519,0.9968985719366519,0,1,21,1,1,0,0,0,1,reliable,GCE
25,1,local,76,1,0.9995358806257467,0.9995358806257467,0,1,22,1,1,0,0,0,1,reliable,GCE
25,2,local,11,1,0.9869295862172853,0.9869295862172853,0,1,22,1,1,0,0,0,1,reliable,GCE
25,1,posterior,73,1,0.9973238301860681,0.9973238301860681,0,1,22,1,1,0,0,0,1,reliable,GCE
25,2,posterior,73,1,0.9973238301860681,0.9973238301860681,0,1,22,1,1,0,0,0,1,reliable,GCE
26,1,local,75,1,0.9996535158500033,0.9996535158500033,0,1,23,1,1,0,0,0,1,reliable,GCE
26,2,local,11,1,0.9873505918842074,0.9873505918842074,0,1,23,1,1,0,0,0,1,reliable,GCE
26,1,posterior,71,1,0.9977261123327027,0.9977261123327027,0,1,23,1,1,0,0,0,1,reliable,GCE
26,2,posterior,71,1,0.9977261123327027,0.9977261123327027,0,1,23,1,1,0,0,0,1,reliable,GCE
27,1,local,78,1,0.9996659969733274,0.9996659969733274,0,1,24,1,1,0,0,0,1,reliable,GCE
27,2,local,8,1,0.9877488512093756,0.9877488512093756,0,1,24,1,1,0,0,0,1,reliable,GCE
27,1,posterior,77,1,0.997805720905605,0.997805720905605,0,1,24,1,1,0,0,0,1,reliable,GCE
27,2,posterior,77,1,0.997805720905605,0.997805720905605,0,1,24,1,1,0,0,0,1,reliable,GCE
28,1,local,79,1,0.9994656113353999,0.9994656113353999,0,1,25,1,1,0,0,0,1,reliable,GCE
28,2,local,10,1,0.987827663696549,0.987827663696549,0,1,25,1,1,0,0,0,1,reliable,GCE
28,1,posterior,76,1,0.9972417236172133,0.9972417236172133,0,1,25,1,1,0,0,0,1,reliable,GCE
28,2,posterior,76,1,0.9972417236172133,0.9972417236172133,0,1,25,1,1,0,0,0,1,reliable,GCE
29,1,local,81,1,0.9995789824743743,0.9995789824743743,0,1,26,1,1,0,0,0,1,reliable,GCE
29,2,local,8,1,0.9872693063810412,0.9872693063810412,0,1,26,1,1,0,0,0,1,reliable,GCE
29,1,posterior,80,1,0.9974934563366791,0.9974934563366791,0,1,26,1,1,0,0,0,1,reliable,GCE
29,2,posterior,80,1,0.9974934563366791,0.9974934563366791,0,1,26,1,1,0,0,0,1,reliable,GCE
30,1,local,84,1,0.9996036351205805,0.9996036351205805,0,1,27,1,1,0,0,0,1,reliable,GCE
30,2,local,10,1,0.9875185217733122,0.9875185217733122,0,1,27,1,1,0,0,0,1,reliable,GCE
30,1,posterior,81,1,0.997590960241634,0.997590960241634,0,1,27,1,1,0,0,0,1,reliable,GCE
30,2,posterior,81,1,0.997590960241634,0.997590960241634,0,1,27,1,1,0,0,0,1,reliable,GCE
31,1,local,88,1,0.9995814400090473,0.9995814400090473,0,1,28,1,1,0,0,0,1,reliable,GCE
31,2,local,9,1,0.9876150506392176,0.9876150506392176,0,1,28,1,1,0,0,0,1,reliable,GCE
31,1,posterior,87,1,0.9975354741907847,0.9975354741907847,0,1,28,1,1,0,0,0,1,reliable,GCE
31,2,posterior,87,1,0.9975354741907847,0.9975354741907847,0,1,28,1,1,0,0,0,1,reliable,GCE
32,1,local,92,1,0.9994808145201234,0.9994808145201234,0,1,29,1,1,0,0,0,1,reliable,GCE
32,2,local,13,1,0.9875601194488769,0.9875601194488769,0,1,29,1,1,0,0,0,1,reliable,GCE
32,1,posterior,89,1,0.9972525379412945,0.9972525379412945,0,1,29,1,1,0,0,0,1,reliable,GCE
32,2,posterior,89,1,0.9972525379412945,0.9972525379412945,0,1,29,1,1,0,0,0,1,reliable,GCE
33,1,local,96,1,0.9995636454653618,0.9995636454653618,0,1,30,1,1,0,0,0,1,reliable,GCE
33,2,local,13,1,0.9872800125618816,0.9872800125618816,0,1,30,1,1,0,0,0,1,reliable,GCE
33,1,posterior,95,1,0.9974494598474307,0.9974494598474307,0,1,30,1,1,0,0,0,1,reliable,GCE
33,2,posterior,95,1,0.9974494598474307,0.9974494598474307,0,1,30,1,1,0,0,0,1,reliable,GCE
34,1,local,100,1,0.9996538774174651,0.9996538774174651,0,1,31,1,1,0,0,0,1,reliable,GCE
34,2,local,17,1,0.9874749652489564,0.9874749652489564,0,1,31,1,1,0,0,0,1,reliable,GCE
34,1,posterior,97,1,0.9977434288994498,0.9977434288994498,0,1,31,1,1,0,0,0,1,reliable,GCE
34,2,posterior,97,1,0.9977434288994498,0.9977434288994498,0,1,31,1,1,0,0,0,1,reliable,GCE
35,1,local,104,1,0.9994449544665179,0.9994449544665179,0,1,32,1,1,0,0,0,1,reliable,GCE
35,2,local,17,1,0.9877659946104552,0.9877659946104552,0,1,32,1,1,0,0,0,1,reliable,GCE
35,1,posterior,103,1,0.9971853426199342,0.9971853426199342,0,1,32,1,1,0,0,0,1,reliable,GCE
35,2,posterior,103,1,0.9971853426199342,0.9971853426199342,0,1,32,1,1,0,0,0,1,reliable,GCE
36,1,local,104,1,0.9995460766219498,0.9995460766219498,0,1,33,1,1,0,0,0,1,reliable,GCE
36,2,local,21,1,0.9872134891937349,0.9872134891937349,0,1,33,1,1,0,0,0,1,reliable,GCE
36,1,posterior,99,1,0.9973918785905362,0.9973918785905362,0,1,33,1,1,0,0,0,1,reliable,GCE
36,2,posterior,99,1,0.9973918785905362,0.9973918785905362,0,1,33,1,1,0,0,0,1,reliable,GCE
37,1,local,105,1,0.999684365468478,0.999684365468478,0,1,34,1,1,0,0,0,1,reliable,GCE
37,2,local,17,1,0.9874179598046309,0.9874179598046309,0,1,34,1,1,0,0,0,1,reliable,GCE
37,1,posterior,102,1,0.9978393981446194,0.9978393981446194,0,1,34,1,1,0,0,0,1,reliable,GCE
37,2,posterior,102,1,0.9978393981446194,0.9978393981446194,0,1,34,1,1,0,0,0,1,reliable,GCE
38,1,local,106,1,0.9995637880109205,0.9995637880109205,0,1,35,1,1,0,0,0,1,reliable,GCE
38,2,local,17,1,0.9878610041631732,0.9878610041631732,0,1,35,1,1,0,0,0,1,reliable,GCE
38,1,posterior,101,1,0.9975103993123313,0.9975103993123313,0,1,35,1,1,0,0,0,1,reliable,GCE
38,2,posterior,101,1,0.9975103993123313,0.9975103993123313,0,1,35,1,1,0,0,0,1,reliable,GCE
