sensor,formation,reference_eospa,candidate_eospa,reference_rmse,candidate_rmse
1,1,146.843904672,145.230415841,2.75465554481,2.07858828625
2,1,146.841751556,146.843584328,1.006521093e-13,2.54148410657
3,1,146.841751556,146.841751556,7.28037097363e-14,7.28037097363e-14
4,1,146.842954709,146.843222608,2.05917242749,2.27691423457
5,1,145.231806682,145.231109232,4.36747375401,4.09197931747
6,1,143.620797569,145.231437764,4.70497143644,4.16775554545
7,2,135.340558441,137.085987471,14.4689074685,15.9549548894
8,2,136.960959483,136.999407638,11.2178267433,13.2422487404
9,2,138.66796504,138.692985944,9.37609313714,11.2488465514
10,2,140.339515285,140.311774232,11.2846181199,9.4189895772
11,2,138.747042416,137.084230641,15.4339146078,15.8868552883
12,2,136.985266221,136.97169572,12.9540149888,12.1246258488
13,3,137.08267033,135.358929571,15.7573678686,15.2353069832
14,3,140.361473278,138.665945246,14.6340902906,16.9617178084
15,3,138.568859961,136.981498719,8.20429951465,13.5929093831
16,3,140.352092138,140.378730533,14.2052948148,16.4545846934
17,3,138.746718613,137.130235438,14.1127654843,18.1661724345
18,3,137.194457458,137.191825539,20.5312577873,20.4396594763
19,4,137.064465795,137.0736006,14.7815271346,15.3103307429
20,4,137.051942576,137.051271886,14.1200610203,14.0810356932
21,4,138.676353059,138.691479175,10.3055299921,11.4985572658
22,4,138.735742466,138.748329618,14.2617068022,15.1403832543
23,4,137.020960896,136.976100344,14.8960594184,11.9378796059
24,4,142.039651838,138.688336205,14.1873467217,11.4020529825
25,5,140.338494376,140.33901019,11.9008643062,11.9677061666
26,5,135.34731674,135.317609869,15.8194240324,13.2699818601
27,5,137.02958703,138.705960595,15.3740940658,12.1517397126
28,5,140.338641276,140.332567733,11.1328224889,10.7242269469
29,5,140.37105241,138.67222173,11.5003776804,9.71343673527
30,5,140.324602027,138.751171847,10.163346713,16.7913057835
31,6,137.08710093,137.084408321,15.9981983751,15.8658948031
32,6,137.121711474,137.120907707,18.4451669651,18.4202759409
33,6,138.753377739,137.07617334,15.4463322601,15.405660687
34,6,140.380185439,140.378940921,12.3570312802,12.2373424375
35,6,138.712476096,137.322619597,13.1083538213,24.2699575516
36,6,137.140341359,136.999201875,16.0789100758,10.0862445198
