scene,seed,arm,ospa,count_mae,gospa,loc2,miss2,false2,matched_rmse,reunion_ospa,post_departure_false2,worst_node,wire_bytes,raw_bytes,delivered_raw_bytes,matched_support,runtime_s
split_latebirth,2901,tc_ospa2_w5,4.823946886588759,0.7458333333333333,7.047917228079941,12.62025349608663,54.225,0.525,2.1699501782832047,5.758806902147514,0.0,7.779611057744298,26206208.0,993904,897120,2573,2.2890890833333333
split_latebirth,2901,tc_ospa2_w10,4.85891259207125,0.7520833333333333,7.078369532013668,12.626133250700976,54.6,0.45,2.1725675624353227,5.780858715809645,0.0,7.795490134384624,26206208.0,1881376,1697968,2568,1.43450025
split_latebirth,2902,tc_ospa2_w5,5.534915533507759,1.0395833333333333,7.526889654310654,2.4066427860705177,74.85,0.0,1.002689393725971,5.746966240827487,0.0,8.52307899910037,26173440.0,933136,833592,2298,2.210884083333333
split_latebirth,2902,tc_ospa2_w10,5.578017759939234,1.0447916666666666,7.569542207153615,2.4063197936755034,75.225,0.0,1.0037146449559857,5.746966240827487,0.0,8.523079839976726,26173440.0,1760448,1571960,2293,1.2480329583333334
split_latebirth,2903,tc_ospa2_w5,5.916949650711501,1.1447916666666667,7.91260322484027,1.2004433846806395,82.425,0.0,0.7242548787552173,6.215525608158158,0.0,8.517065287087885,26206208.0,876496,793576,2197,0.832002875
split_latebirth,2903,tc_ospa2_w10,5.97575897688223,1.153125,7.970773294442951,1.1996335899909354,83.025,0.0,0.7253323449880319,6.215525608158158,0.0,8.575566552368825,26206208.0,1650640,1494392,2189,1.14426925
split_latebirth,2904,tc_ospa2_w5,5.20728712063123,0.91875,7.224380396954824,4.156116599126274,66.3,0.15,1.286147643486656,6.345411603467696,0.0,8.53704406361868,26173440.0,929632,843712,2412,0.8485526666666666
split_latebirth,2904,tc_ospa2_w10,5.283718558117298,0.928125,7.2995372794375495,4.154878427904439,66.975,0.15,1.2883619543842848,6.345411603467696,0.0,8.53705308010385,26173440.0,1755408,1592592,2403,1.1967467083333334
split_latebirth,2905,tc_ospa2_w5,4.470348845310077,0.7385416666666667,6.327958350785692,3.933037177117585,53.175,0.0,1.2080959487670988,5.510369807728457,0.0,7.490909524739457,26206208.0,1039168,937968,2587,0.9640214583333333
split_latebirth,2905,tc_ospa2_w10,4.504348169805208,0.7427083333333333,6.361399251403234,3.9323449620780755,53.475,0.0,1.208924608204209,5.510369807728457,0.0,7.490923383805426,26206208.0,1968400,1776080,2583,1.329033375
