sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,matched_sse,matched_support,matched_rmse,raw_bytes,wire_bytes,delivered_raw_bytes,runtime_s,maximum_prefusion_bernoulli_count,observable_absences,total_weight_change
0000,reliable,local,147,8.32618895999939,10.33446584471008,8.100591116137968,84.9795918367347,27.183673469387756,0.891156462585034,2381.5737881445616,347,2.619794846525312,0,0,0,1.237815875,17,0,0.0
0000,reliable,lineage,147,3.434228953343611,4.324433618295568,0.13853294007538589,18.122448979591837,20.571428571428573,0.3877551020408163,40.728684382163486,620,0.2563033874587777,766112,4854528.0,766112,2.1888355416666667,26,338,0.0
0000,reliable,qualified_exist,147,3.8487297657742148,4.870508607059032,0.24534976607055414,15.673469387755102,27.918367346938776,0.48299319727891155,72.13283122474286,630,0.3383733995153754,723056,4854528.0,723056,1.4650996666666667,23,294,1747.5719813374176
0000,reliable,mil_support,147,4.499193082102486,5.849082509205272,0.4134879161732899,14.204081632653061,40.6530612244898,0.6394557823129252,121.56544735494711,636,0.43719634089868575,1916560,4854528.0,1916560,2.4978836666666666,53,0,0.0
0000,reliable,tc_ospa2_w5,147,4.937785249963085,6.592918202681003,3.731181023361224,14.204081632653061,43.10204081632653,0.7006802721088435,1096.9672208681995,636,1.3133130730256926,172048,4854528.0,172048,0.691549875,0,0,0.0
0000,reliable,tc_ospa2_w10,147,4.618640170659561,6.05403327024119,5.149926734370771,18.612244897959183,30.857142857142858,0.6190476190476191,1514.0784599050069,618,1.5652364503414036,323856,4854528.0,323856,0.4224265,0,0,0.0
0000,intermittent,local,147,8.32618895999939,10.33446584471008,8.100591116137968,84.9795918367347,27.183673469387756,0.891156462585034,2381.5737881445616,347,2.619794846525312,0,0,0,1.237815875,17,0,0.0
0000,intermittent,lineage,147,4.091721469949646,5.26501824810601,1.2076402281071419,18.612244897959183,26.20408163265306,0.45918367346938777,355.0462270634998,618,0.7579633619321934,844112,4854528.0,613488,1.309860625,26,322,0.0
0000,intermittent,qualified_exist,147,3.96132069559732,5.108084014450409,1.373065492853881,15.918367346938776,27.918367346938776,0.48639455782312924,403.6812548990412,629,0.8011133497848872,740320,4854528.0,528208,1.1548570833333334,22,185,1257.9962864145905
0000,intermittent,mil_support,147,4.350517433751948,5.7676927189984,2.8380001787571136,13.224489795918368,37.714285714285715,0.5986394557823129,834.3720525545916,640,1.1417996024331718,1669664,4854528.0,1264944,2.08761025,49,0,0.0
