sensor,step,reference_count,candidate_count,common_count,added_count,lost_count,common_reference_squared_error,common_candidate_squared_error,added_squared_error,lost_squared_error
2,21,6,14,6,8,0,367.149960218966,391.229212436447,3535.29022342158,0
2,22,6,14,5,9,1,151.350976998077,231.465189928615,2864.50095887382,57.9836586024709
2,23,7,14,7,7,0,395.208428463004,585.117076174912,2089.06136760395,0
2,24,7,14,7,7,0,555.557550129174,1025.24742410346,1814.26303590177,0
2,25,7,14,6,8,1,361.732899027245,729.633386874717,948.852145384108,43.4893611226589
2,26,8,14,7,7,1,878.247093111455,1439.02465423309,958.676551628112,3.76872384064976
2,27,8,14,7,7,1,522.583032946843,541.767022969631,1017.31650866952,315.604991700744
2,28,8,13,7,6,1,1088.86901578145,1377.37825265176,863.491121353497,185.392341839739
2,29,8,14,8,6,0,542.755322966651,715.548891292747,956.361717765379,0
2,30,8,15,8,7,0,289.142247778817,247.479092750981,1315.04593847588,0
2,31,8,15,8,7,0,414.422498054881,461.841109533151,1384.4881047523,0
2,32,8,14,8,6,0,914.320168624841,742.898816634836,958.746398869874,0
2,33,7,13,7,6,0,440.223222654492,267.649924977399,962.894523967421,0
2,34,8,13,7,6,1,518.974550907359,259.056373342653,967.888673228322,132.563301635559
2,35,8,13,7,6,1,647.901102249552,463.058611220504,972.713629605239,373.898556713038
2,36,8,13,8,5,0,1226.94858093244,1115.54244201559,553.196678470272,0
2,37,8,14,8,6,0,798.395449747895,639.137904392825,982.330446598247,0
2,38,8,14,8,6,0,235.227343303296,500.983597222079,987.132830448625,0
2,39,8,13,8,5,0,341.873387652823,704.467432300498,766.589647267486,0
2,40,7,13,7,6,0,504.178148585444,1277.86873957594,804.057482049738,0
3,1,1,1,1,0,0,8.07793566946316e-28,8.07793566946316e-28,0,0
3,2,1,1,1,0,0,1.37324906380874e-26,1.37324906380874e-26,0,0
3,3,1,3,0,3,1,0,0,809.571707921546,0.0103683985195039
3,4,1,3,0,3,1,0,0,223.24123093381,37.3750569497155
3,5,1,4,1,3,0,40.3275779724912,76.288857749083,478.335450655007,0
3,6,2,4,1,3,1,293.213654880272,367.402353934523,325.527980966101,2.32452371272568
3,7,2,4,1,3,1,370.337593963969,428.291550651809,489.822724884618,2.49734966951239
3,8,2,4,1,3,1,204.982369369043,235.896915263671,1612.36098897994,41.2603332921313
3,9,3,7,3,4,0,431.784724324596,66.4821710446053,4277.80463561789,0
3,10,3,7,3,4,0,479.248968354489,84.7499377350196,6372.23452837212,0
3,11,3,7,3,4,0,409.115896442471,427.3453291139,4881.91496531687,0
3,12,3,9,2,7,1,134.362314847983,122.691226310045,5628.10387037276,69.5014730600758
3,13,4,9,4,5,0,162.736401068364,650.062738078099,3246.58449014078,0
3,14,4,9,2,7,2,115.258840180658,114.19360211958,3135.1118146093,246.183962284849
3,15,5,10,5,5,0,291.140969660003,307.94915024198,3201.04263303034,0
3,16,5,12,5,7,0,463.314217534072,643.906375030369,3420.17195853495,0
3,17,6,12,4,8,2,156.956742623363,108.180463624343,4398.97321586919,170.447012063758
3,18,7,13,6,7,1,291.932727527335,392.835338407001,4625.18073276308,50.7219101109493
3,19,8,13,7,6,1,510.890424888281,518.500201187194,4682.21199754065,79.9597499768063
3,20,8,13,7,6,1,444.598742644123,324.451598601655,4956.26454058039,75.6983419642751
3,21,7,15,7,8,0,798.243702523839,820.175544886658,4846.65602368095,0
3,22,6,14,6,8,0,473.417337898267,427.383502264744,4226.65347946079,0
3,23,6,14,6,8,0,429.245709432376,839.410953568959,3454.87306470759,0
3,24,7,14,6,8,1,148.193378351703,376.886783787645,2990.26442452683,86.619214847386
3,25,7,14,7,7,0,707.540581741829,1235.46966159655,2177.24132995875,0
3,26,7,14,7,7,0,713.402868874247,1177.13009811865,951.080621034101,0
3,27,7,14,7,7,0,1111.81312944525,3246.10450969415,1040.26630131266,0
3,28,8,13,6,7,2,709.153433061686,406.116650998957,1121.32714311971,547.709526379549
3,29,8,14,7,7,1,804.006083803918,438.858046578015,1217.94136247479,549.24277208966
3,30,8,14,8,6,0,759.202216909534,751.589172723509,1092.01630769796,0
3,31,8,15,8,7,0,275.234027620202,352.944049022957,1464.96575233553,0
3,32,8,15,8,7,0,504.490661083301,540.892439242685,1467.6306950049,0
3,33,8,14,8,6,0,1068.92019998663,875.478184378934,962.220211181753,0
3,34,7,13,7,6,0,704.51681517414,512.632690428307,966.381258345331,0
3,35,8,13,7,6,1,739.800089701702,214.423446834778,971.399871328807,214.499147742314
3,36,8,13,7,6,1,756.18823654426,389.347482221886,976.545745052893,426.614988823927
3,37,8,13,7,6,1,1059.53190234332,816.077611406374,982.647404502068,557.487729916212
3,38,8,14,8,6,0,1177.86759925615,967.026515379604,987.231378897774,0
3,39,8,14,8,6,0,396.826941103127,317.014069642931,992.257975857238,0
3,40,8,13,8,5,0,384.207871855662,541.812526177383,770.969078572848,0
4,1,1,1,1,0,0,8.07793566946316e-28,8.07793566946316e-28,0,0
4,2,1,2,1,1,0,16.9607643444775,20.93201485057,1.37324906380874e-26,0
4,3,1,2,1,1,0,94.8021620542986,85.2079377532664,0.0107475111315627,0
4,4,1,3,1,2,0,57.7859450206152,70.7551013421368,174.365928820887,0
4,5,1,4,1,3,0,84.5228806957097,11.0167561042277,275.734256855203,0
4,6,1,3,1,2,0,56.7456472447751,76.4214402652297,131.559723465347,0
4,7,2,4,1,3,1,48.6539980331852,17.4196012329198,350.055182678281,4.60440480403317
4,8,2,3,2,1,0,169.420236548473,196.590055029485,238.015902912071,0
4,9,2,3,1,2,1,177.367274665586,194.381883789998,250.941516318795,17.7802266085024
4,10,2,6,2,4,0,166.369294189606,69.327067150613,5443.3771658717,0
4,11,3,6,3,3,0,402.858992185329,248.740778851213,4070.27290460141,0
4,12,3,6,3,3,0,152.154337266201,281.771253144863,3387.84548462269,0
4,13,4,8,2,6,2,203.748526213542,557.60043191668,4065.78095436598,115.953976020204
4,14,4,9,3,6,1,145.171024472912,513.222437181747,3906.68584952386,177.425838324536
4,15,5,9,3,6,2,161.106129378018,323.781574697737,3412.34403572049,415.006982636961
4,16,5,9,4,5,1,344.794489254549,261.876974555406,3749.56774953479,62.9585939279013
4,17,5,12,5,7,0,437.14315744752,313.782836855093,4081.15047088377,0
4,18,5,12,3,9,2,241.168679922057,252.84766285798,4835.44678011316,159.566227499776
4,19,7,13,6,7,1,894.521189632944,575.003833169616,5107.57503380589,12.9373555769413
4,20,7,13,7,6,0,669.24796914096,435.750927785398,5323.35899107387,0
4,21,8,13,7,6,1,898.335128684017,647.720013040795,5550.29816010594,76.4042588548198
4,22,7,12,6,6,1,855.833411904916,322.22768679089,6106.08442967364,65.6569672896513
4,23,7,14,5,9,2,300.214626005688,474.738193298358,5164.09091009444,2108.19764981333
4,24,6,14,6,8,0,273.589404607701,691.862469581053,4209.32144317866,0
4,25,7,15,7,8,0,296.232507865742,599.634519874165,4150.10174701221,0
4,26,7,15,7,8,0,386.163121159393,589.42137394766,3648.79492478112,0
4,27,7,14,7,7,0,325.899616769374,669.000078551851,1741.18930082419,0
4,28,7,13,7,6,0,1292.9363565999,2679.78630120133,895.336550679882,0
4,29,8,13,6,7,2,871.169918826954,469.299541919099,1237.97629084714,670.27948188586
4,30,8,14,7,7,1,1002.03104127507,467.783971142729,1354.59905037031,704.567285502155
4,31,8,14,7,7,1,582.174006761747,456.874307563118,1482.93331865803,287.945371990284
4,32,8,14,8,6,0,529.324792792713,546.619066946477,1406.74118441751,0
4,33,8,14,8,6,0,576.101773846107,599.39323881208,1143.49513728517,0
4,34,8,14,8,6,0,579.460378967439,715.33545421814,1253.8327551294,0
4,35,8,14,7,7,1,956.249659405649,634.754395172961,1825.71819448329,414.899279166407
4,36,8,13,7,6,1,1028.55985639345,399.42568352259,975.26775136907,324.063335815335
4,37,8,13,7,6,1,789.528177495069,546.208464623029,980.637219697607,509.229185002466
4,38,8,13,7,6,1,1214.56091770809,826.128781166354,986.832650872663,681.646865034986
4,39,8,13,8,5,0,1426.96487074311,1128.86649686031,563.370026002796,0
4,40,8,13,8,5,0,869.571189509245,530.518231296159,568.138582682063,0
5,1,1,1,1,0,0,22.6867648819306,22.6867648819306,0,0
5,2,2,2,2,0,0,31.5517401950044,31.5517401950032,0,0
5,3,2,2,2,0,0,165.451385604122,131.782056901025,0,0
5,4,2,2,2,0,0,310.027325199947,298.65395949893,0,0
5,5,3,4,2,2,1,283.683804685472,527.777032460983,170.816949173354,1.00114256644624
5,6,2,4,2,2,0,122.279378690143,220.498299201629,148.425461099545,0
5,7,2,4,2,2,0,126.795519936724,76.4591234832018,135.877109844244,0
5,8,2,4,2,2,0,145.400478723638,503.396040985725,304.701169756587,0
5,9,3,4,3,1,0,475.948597343905,270.86017997951,852.536513783257,0
5,10,3,4,3,1,0,420.766298496291,145.633338009205,564.151153234374,0
5,11,2,6,2,4,0,227.772991647162,57.2366101552337,7064.81376984397,0
5,12,4,7,4,3,0,458.31086892459,922.406354816208,7858.62263112846,0
5,13,5,7,5,2,0,846.288326947029,871.516084084527,5759.86431360594,0
5,14,5,9,4,5,1,817.959578731022,733.315404097067,4305.73573357028,77.2355904712162
5,15,5,10,4,6,1,390.656341353116,652.406387604618,4716.70435914612,169.522406988511
5,16,5,10,5,5,0,461.478364310732,383.674777310254,5065.77722851138,0
5,17,5,10,5,5,0,437.888071667936,311.074824704711,4212.76302093269,0
5,18,5,11,4,7,1,300.055519956508,303.624256296109,4670.77464489981,53.0115333161712
5,19,5,12,4,8,1,813.61743226925,849.429424044551,5095.99414294561,69.6007966999981
5,20,7,13,6,7,1,348.018470226171,223.497541461075,5929.18546954623,3.30360775639722
5,21,7,13,7,6,0,848.298519172854,537.119433171295,5974.17515476113,0
5,22,7,12,5,7,2,460.809461396993,294.694111488571,6327.37424989281,480.707527398889
5,23,7,13,6,7,1,861.915555466755,416.112076778713,6979.12302049917,61.2668047598069
5,24,7,15,6,9,1,385.148228106149,331.885061449659,6358.23205270686,1175.72310107477
5,25,7,14,6,8,1,162.752168962851,358.420696902642,5079.20318869525,459.80502328185
5,26,7,15,7,8,0,132.414012617212,505.032300482811,4139.63330652743,0
5,27,7,15,7,8,0,208.787322025341,438.885070975399,3234.84935328628,0
5,28,8,14,7,7,1,594.623371458715,698.689175309935,1833.68168824688,34.4828033215376
5,29,7,13,6,7,1,518.725762130413,352.391361562234,1234.67583092692,115.524198448979
5,30,7,13,6,7,1,759.424141374487,429.623593118618,1368.46869261783,130.278065439749
5,31,8,13,7,6,1,1630.23066342131,275.842418985024,1274.04514904507,258.243790680105
5,32,8,14,8,6,0,512.533579858415,658.862061380422,1427.72892736683,0
5,33,8,14,8,6,0,781.525244594466,589.925327931774,1606.96607352214,0
5,34,8,14,8,6,0,593.001210834971,554.20657774979,1820.61507244591,0
5,35,8,14,8,6,0,851.035228252653,872.116597625438,1377.80895749382,0
5,36,8,14,8,6,0,1173.63704349864,1079.25289881202,974.517984465737,0
5,37,8,13,7,6,1,937.34060676057,822.739325007623,979.487096929439,89.1605752737214
5,38,8,12,7,5,1,329.587102332574,424.356146383749,763.025706119116,287.425567114167
5,39,7,12,7,5,0,248.047041275126,314.545284891423,771.861064276131,0
5,40,8,12,8,4,0,878.099171643708,904.762392791669,349.512706607248,0
6,1,2,2,2,0,0,26.9796779405789,27.9527209237415,0,0
6,2,2,2,2,0,0,65.828432251047,55.4847958117692,0,0
6,3,2,2,2,0,0,253.693022729002,252.059490240242,0,0
6,4,2,4,2,2,0,224.222593201228,195.536656015168,189.351895048305,0
6,5,3,5,3,2,0,212.29051861642,281.272059435548,351.617293260479,0
6,6,3,6,2,4,1,108.351072698589,237.839027136131,1218.14914607106,2.32452371272506
6,7,3,6,2,4,1,176.788719138789,123.995940264324,2496.12685797867,0.402450850357771
6,8,2,6,2,4,0,112.418017928559,118.23693248065,1656.78438189918,0
6,9,3,9,2,7,1,145.812179090163,242.244216901882,2439.92388522952,56.0829632350058
6,10,3,8,3,5,0,139.549207092066,832.742229355182,1525.3956293955,0
6,11,4,8,3,5,1,294.030623681375,236.817587163274,2043.25092238786,196.03555633168
6,12,4,8,3,5,1,132.251535327948,448.812468759423,2963.94827157477,104.758494587889
6,13,5,12,5,7,0,288.824071330378,275.871026542905,3138.62960066985,0
6,14,5,11,5,6,0,175.58624004849,290.551357651884,3122.36009279795,0
6,15,5,11,3,8,2,150.908564694495,586.741979189846,3369.8145167201,609.039316775764
6,16,5,12,5,7,0,263.742112911589,302.119916111791,3287.77672841343,0
6,17,5,12,5,7,0,373.259758198209,353.186514858834,3540.44576927922,0
6,18,5,14,5,9,0,473.649373582064,445.09346202891,3228.32639417363,0
6,19,5,13,4,9,1,388.096747832253,422.150124670928,2807.7089111001,41.1263230483393
6,20,6,14,5,9,1,228.360330709179,343.484660250085,2051.49980344303,3.91456533299637
6,21,7,14,7,7,0,236.7021138775,320.579897279213,1411.42826613326,0
6,22,7,14,6,8,1,420.530167487842,460.988758895826,1349.34210454551,68.5364727333014
6,23,8,14,7,7,1,300.52546385191,454.201585780467,820.402144354599,114.373264853512
6,24,8,15,7,8,1,500.725255041884,763.64370185345,1234.06486519792,280.584081297288
6,25,7,14,7,7,0,556.43840294295,604.658559513222,846.338345715461,0
6,26,7,14,7,7,0,540.063964742954,743.988987657255,913.755172596927,0
6,27,8,15,8,7,0,410.989169358487,400.621763159325,1134.53959274807,0
6,28,8,15,8,7,0,215.766096367377,296.468636470631,1081.67387353333,0
6,29,8,15,8,7,0,258.303901742316,463.605177078662,1251.983871049,0
6,30,7,14,6,8,1,241.877146516197,285.482762429073,1375.94553400532,117.890224074123
6,31,7,13,6,7,1,295.57404544078,330.793824466578,979.418929717464,102.743686875997
6,32,8,14,8,6,0,397.769683311143,682.564724443319,961.751276349143,0
6,33,8,14,8,6,0,550.878887210037,572.529486894926,1145.68134818804,0
6,34,8,13,8,5,0,498.2628142894,578.838690465659,743.076278425812,0
6,35,8,14,8,6,0,809.616031758448,858.710745244028,972.206375613706,0
6,36,8,14,8,6,0,344.492588047105,788.634580515007,977.930217157633,0
6,37,8,14,8,6,0,776.939992869092,1315.54722010214,984.359712730263,0
6,38,8,13,7,6,1,759.118873470298,703.835446185295,985.676985401583,155.429946673945
6,39,8,13,7,6,1,605.13855270125,490.230049992656,995.138812393003,53.3580304701208
6,40,8,13,8,5,0,869.055383831476,837.349681318504,775.798365837799,0
7,1,4,4,4,0,0,1159.28491984571,1159.28491984571,0,0
7,2,5,5,5,0,0,709.678647141249,709.678647141249,0,0
7,3,5,5,5,0,0,504.069372067554,505.203384650478,0,0
7,4,5,5,5,0,0,218.676656718929,220.59853754422,0,0
7,5,4,4,4,0,0,407.768243795712,412.565842716648,0,0
7,6,4,4,4,0,0,563.227644300858,566.933748242305,0,0
7,7,4,6,3,3,1,209.304796692167,233.033548352995,2434.6356434381,98.9653009508734
7,8,4,6,4,2,0,497.913704728556,259.31382386693,1882.47267704202,0
7,9,4,6,3,3,1,367.865855507005,81.6118305957636,2692.69981812063,2.01362467587394
7,10,4,6,2,4,2,85.5967835860353,69.1016780205388,3515.41836657395,38.4042545267748
7,11,4,9,3,6,1,20.8715311464267,59.1970857440444,2055.7500821407,72.1493659167159
7,12,5,10,4,6,1,146.656774913127,124.383830213237,2143.16974881168,45.2828597634764
7,13,4,10,4,6,0,104.840028186355,223.081122569299,2292.41846142213,0
7,14,4,12,4,8,0,204.72407887514,246.418391688294,1475.49720255465,0
7,15,3,11,3,8,0,90.6836066124677,83.9798870752686,970.124207219354,0
7,16,4,12,4,8,0,343.144112465573,255.000508632021,1044.30717549862,0
7,17,4,11,4,7,0,142.121869439478,40.2311273840517,700.70057198243,0
7,18,4,11,4,7,0,142.249444163721,80.3711677506468,770.732069071693,0
7,19,4,12,4,8,0,200.114299430397,180.973812898069,744.125362480329,0
7,20,4,13,3,10,1,57.3773930885094,197.324872305469,990.244898626566,4.08952161295246
7,21,4,13,3,10,1,109.176862258698,192.476710212861,1008.60634875778,18.0114015108344
7,22,4,13,4,9,0,353.812687347528,128.446285212418,1130.40961076077,0
7,23,4,13,4,9,0,157.017895698682,195.717407080796,1172.16081739122,0
7,24,4,13,4,9,0,46.9396738960259,51.2651929277974,1608.42186484763,0
7,25,4,13,4,9,0,107.42772864581,230.847855412172,1731.07581604318,0
7,26,4,13,4,9,0,265.172323316879,282.351174055744,1591.36642931511,0
7,27,5,13,5,8,0,115.323821414301,333.054676692752,1502.80815032727,0
7,28,4,12,4,8,0,134.177524230379,304.237070130948,1202.45162467984,0
7,29,4,12,4,8,0,63.3651042164371,141.412613582297,1401.88546466357,0
7,30,4,12,4,8,0,188.147767375926,55.8679399803497,1541.07907179903,0
7,31,5,12,5,7,0,114.487016965257,74.4170620440718,1390.46580603666,0
7,32,6,12,6,6,0,371.677684943181,212.219541420905,913.073501398358,0
7,33,6,12,6,6,0,422.887731590466,336.772587837904,1237.53158721544,0
7,34,7,12,5,7,2,319.925398999455,137.469150746936,1376.29320005896,132.764263315825
7,35,7,12,6,6,1,356.163603588355,374.390502142625,797.518367514956,31.2009394019686
7,36,8,13,8,5,0,468.827429869966,519.550381141279,802.078425618116,0
7,37,8,12,8,4,0,451.954688263409,241.617545393923,669.522906938996,0
7,38,7,12,7,5,0,214.705243030847,164.083061073894,681.630732544685,0
7,39,7,12,6,6,1,158.975340468448,154.636096156082,1290.27836342987,266.730388913906
7,40,8,12,7,5,1,181.648435105745,345.509407112886,1149.40113708753,56.0806357011286
8,1,3,3,3,0,0,474.351137520299,474.351137520299,0,0
8,2,5,7,4,3,1,486.215678820721,893.380334302435,251.460629730772,4.03896783473158e-27
8,3,5,7,4,3,1,261.210131844364,272.433593393171,347.376125391815,11.9368379133329
8,4,5,7,4,3,1,505.396410744493,539.17009575716,339.968077239488,0.327991901240293
8,5,4,10,4,6,0,255.443034995893,253.33882834524,859.537573625924,0
8,6,4,10,3,7,1,160.609208661818,176.003517853689,1161.71839715346,141.166212560843
8,7,4,9,3,6,1,200.849589086347,197.709637330558,1134.33251302383,2.03720598746219
8,8,4,9,3,6,1,82.3163590653374,133.978072557698,1317.02659955554,53.561636306416
8,9,4,11,3,8,1,293.435489630832,50.2414932229675,1506.13059020455,0.178816108077303
8,10,4,11,2,9,2,89.5056594030431,59.3830946701556,1681.79043297788,35.1424626163733
8,11,4,11,4,7,0,466.970638629544,208.411352399138,1111.82830872765,0
8,12,4,10,3,7,1,74.1395784779993,233.939486559686,593.850928853262,3.27903157975256
8,13,5,12,4,8,1,71.8797098350393,124.922122738991,811.895662847848,42.1810319566826
8,14,4,12,4,8,0,74.2499848842105,248.388224502104,1007.20198709121,0
8,15,4,13,4,9,0,283.085149447258,154.847235220147,1032.98439899238,0
8,16,3,12,3,9,0,99.5117697064058,97.4564364616046,1434.2130506542,0
8,17,4,13,4,9,0,122.174373449032,167.229618695499,921.269478901011,0
8,18,4,12,4,8,0,93.800919962056,44.2980403005008,1383.49017719987,0
8,19,4,12,4,8,0,170.308474121414,125.142632315806,1397.53035955609,0
8,20,4,13,4,9,0,329.412120756934,275.783340233714,1416.01735998227,0
8,21,4,12,3,9,1,67.7173590630726,266.099155333244,1466.27299299476,0.0417705849960189
8,22,4,12,3,9,1,63.9803696086032,90.1760777566056,1577.95696866655,10.9464690692225
8,23,4,12,3,9,1,196.33834351756,71.2333364024184,1761.23266541434,29.2621443131428
8,24,4,13,4,9,0,76.7347689725128,65.4696542267515,1565.77167703455,0
8,25,4,12,4,8,0,61.3753799780153,68.0597556260378,1504.86232044017,0
8,26,4,12,4,8,0,120.740289622683,193.065663645519,1696.88316568703,0
8,27,4,12,4,8,0,130.670300684825,173.328243942784,1577.2811042794,0
8,28,4,11,4,7,0,83.4395171296815,93.192480814632,1118.90109511062,0
8,29,4,11,4,7,0,82.7958961103916,247.890553703183,1624.03771315169,0
8,30,4,11,4,7,0,101.466055435462,114.55026576826,1316.71317712683,0
8,31,5,10,4,6,1,131.727849976488,84.4716749437443,1377.90129170468,20.7588851167644
8,32,6,10,5,5,1,131.698132462797,123.669737078397,1098.50907014338,41.2886158773617
8,33,6,11,5,6,1,300.476918036518,240.074475902386,807.734849494941,44.2607511095896
8,34,7,11,6,5,1,227.272362062927,407.168930771234,1102.79915244591,47.6583559924704
8,35,7,11,7,4,0,303.183370228184,424.148081730873,1094.39562096597,0
8,36,6,11,5,6,1,229.970781462463,176.395563354497,1247.96642423732,32.4171284536946
8,37,8,11,6,5,2,132.618520703328,170.029202391987,1152.95189195389,37.4715073813488
8,38,7,12,7,5,0,71.2095019404429,84.4028122358189,1132.38984073231,0
8,39,7,11,7,4,0,171.275065245688,144.589492669508,640.160733253073,0
8,40,7,12,7,5,0,218.047738870602,171.849031228432,1214.39183414845,0
9,1,3,3,3,0,0,463.752890405871,463.752890405871,0,0
9,2,4,4,4,0,0,159.718686463828,159.718686463828,0,0
9,3,5,7,4,3,1,1824.41271473721,1239.3576375099,365.452435299003,0.0103683985195039
9,4,5,7,4,3,1,277.303369712508,266.090184930687,593.573888705632,0.0365582200698458
9,5,5,7,4,3,1,611.052121094709,569.609427643915,224.289923189091,0.457678403341365
9,6,5,10,4,6,1,306.265565653658,303.733773494702,943.842423631138,2.32452371272553
9,7,4,9,3,6,1,159.275648432931,182.810207386779,1290.33068789363,178.193954298571
9,8,4,9,3,6,1,93.3896179877183,106.362991979443,1381.528282166,85.0097108910591
9,9,4,8,3,5,1,149.34157999129,106.379083400469,619.734650523786,7.37793732095635
9,10,4,11,4,7,0,199.931435070768,213.109944877428,759.06718112891,0
9,11,4,11,3,8,1,325.529731014855,140.904322159078,1484.53781735015,7.00683756425904
9,12,4,11,4,7,0,199.372074791932,99.8006443528411,740.114732141189,0
9,13,4,11,3,8,1,444.439168066623,151.114145828238,781.602522152661,11.4582964802565
9,14,4,10,3,7,1,86.7083579730993,181.620615531596,556.21769117289,98.8862981623043
9,15,4,11,4,7,0,109.470118942292,273.9018181195,705.40550870057,0
9,16,4,13,3,10,1,27.8112295870081,139.241402553117,1162.23421103979,153.583971057436
9,17,3,12,3,9,0,81.9320018499813,90.3945867320511,1009.52618126966,0
9,18,4,13,4,9,0,292.683552887756,316.540754261499,994.562323274934,0
9,19,4,13,4,9,0,195.611921239602,217.040312645549,1411.52909874046,0
9,20,4,12,4,8,0,143.092232924083,129.118621578871,1398.6980420985,0
9,21,4,13,4,9,0,471.930955947929,209.097858593302,1419.45693129427,0
9,22,4,12,3,9,1,142.845469379584,71.0882704596003,1481.13709422923,19.6909048344309
9,23,4,12,4,8,0,44.0494818243636,123.860975784507,1141.19296162823,0
9,24,4,12,3,9,1,111.508024272065,87.2268918052376,1815.62630885145,50.8887142178565
9,25,4,13,4,9,0,189.809412718798,44.5635279432304,1653.52013532304,0
9,26,4,12,4,8,0,101.653633786126,95.6107550295079,1582.61635482595,0
9,27,4,12,4,8,0,36.6476792726589,53.3521205067059,1606.45870769334,0
