step,reference_eospa,candidate_eospa,reference_count_error,candidate_count_error,reference_disagreement,candidate_disagreement,excluded_sources
1,141.096339114482,138.662160357465,21.2222222222222,20.5,150,136.290828899268,106
2,138.298358048556,134.06178266273,20.3888888888889,19.1666666666667,148.958847426587,136.274358077664,76
3,137.447413588188,130.815315865587,20.1388888888889,18.25,145.653180307786,134.404447155475,72
4,137.699997643294,128.432655361331,20.2222222222222,17.6111111111111,146.70446126156,125.970794825171,97
5,137.612268084801,124.679993322018,20.1944444444444,16.6388888888889,148.679341991131,119.273026936888,144
6,137.53086478073,120.974516414955,20.1666666666667,15.6666666666667,147.097108862856,120.021742495849,118
7,137.715717015896,119.451843011338,20.2222222222222,15.25,144.015845361354,122.777214418193,62
8,137.330151001553,118.218199078391,20.1111111111111,14.9444444444444,143.182544393703,110.899440663988,74
9,137.53023996366,116.206955307046,20.1666666666667,14.4444444444444,147.103633314893,119.316674102608,107
10,137.715389589884,114.63522328702,20.2222222222222,14.0277777777778,147.08238980127,118.539728545044,100
11,137.712185190128,113.370890579522,20.2222222222222,13.6944444444444,145.015789866005,100.588469507594,68
12,137.526148940473,113.544880374777,20.1666666666667,13.7222222222222,144.73233797266,102.387042900019,54
13,136.869943188341,112.31095907765,19.9722222222222,13.4166666666667,146.347376640977,106.360261556586,72
14,137.051155855067,111.100913025643,20.0277777777778,13.1111111111111,145.797038011238,101.427266171171,72
15,136.84898318442,111.181714957961,19.9722222222222,13.1111111111111,147.56238660249,105.660310104413,56
16,136.76138597185,111.008334136373,19.9444444444444,13.0555555555556,147.077832255751,96.6686174728965,43
17,136.361285049939,110.024251338125,19.8333333333333,12.8055555555556,146.562719606734,96.4024961373419,39
18,136.162123210021,110.144285092855,19.7777777777778,12.8333333333333,146.556872751723,102.726586910639,46
19,135.762951166838,110.228360854604,19.6666666666667,12.8611111111111,146.570417959316,107.270811854767,24
20,135.664907545663,110.450477405965,19.6388888888889,12.9166666666667,147.078466097311,105.094140818589,27
21,135.571432978638,111.106912644855,19.6111111111111,13.0555555555556,147.072682313561,107.453764361428,23
22,135.679784920341,112.381237885922,19.6388888888889,13.3333333333333,146.570063275299,111.018218070758,16
23,135.279168263133,112.302942667511,19.5277777777778,13.3055555555556,146.557713078755,111.197808208111,13
24,135.26453119846,112.205210460816,19.5277777777778,13.2777777777778,147.050399725175,109.599598857124,18
25,134.983111709299,113.110950866855,19.4444444444444,13.4722222222222,147.097711537525,112.15152348075,9
26,134.893233693317,113.688912775555,19.4166666666667,13.5833333333333,145.524273634841,113.98685984807,14
27,134.39535076673,113.915617539453,19.2777777777778,13.6111111111111,144.043736873346,116.301348152895,16
28,133.709195515767,115.267117003719,19.0833333333333,13.9166666666667,144.217004304387,117.654536199169,13
29,133.614485433327,116.000716385409,19.0555555555556,14.0555555555556,144.966068684354,116.871202851914,11
30,133.136743553312,116.104061546483,18.9166666666667,14.0555555555556,142.415234574679,116.659952250793,12
31,133.032744290666,116.824935513092,18.8888888888889,14.1944444444444,143.397657964163,115.878330381319,12
32,132.037179988572,116.874307472573,18.6111111111111,14.1666666666667,142.485364036951,114.856640181203,10
33,132.25399115198,117.970181073921,18.6666666666667,14.3888888888889,142.490586622003,120.835432010372,6
34,132.144384407029,118.6855284111,18.6388888888889,14.5277777777778,142.526251809425,120.274683173149,8
35,131.445935666072,118.526144661755,18.4444444444444,14.4444444444444,141.346861837021,119.88109856382,10
36,131.056078981309,118.691967378737,18.3333333333333,14.4444444444444,133.757654714216,119.024026019293,8
37,130.375624824234,119.446970397066,18.1388888888889,14.6111111111111,133.645907660676,119.171748864087,4
38,130.665756238007,119.933467776454,18.2222222222222,14.6666666666667,141.77591047711,122.770734652091,4
39,130.578432824754,120.851760541646,18.1944444444444,14.8611111111111,140.778732839291,124.839086790066,2
40,130.386220771303,121.28860160393,18.1388888888889,14.9444444444444,137.289549939164,125.903393936318,4
