condition,arm,frame,robot,detected,output_count,active_components,near_active_components,near_total_r,near_max_r,association_has_column,association_effective_labels,association_largest_share,association_nearest_distance_m,association_joint_mass
reliable,marked_gaussian_evidence_prune_info,21,2,True,7,51,1,0.99488564664656,0.99488564664656,False,,,,
reliable,marked_gaussian_evidence_prune_info,22,1,True,7,49,1,0.9975901794694605,0.9975901794694605,True,1.0282729525267167,0.9970834108830714,0.06143679940974246,0.9930569280555751
reliable,marked_gaussian_evidence_prune_info,22,2,True,7,49,1,0.9975901794694605,0.9975901794694605,False,,,,
reliable,marked_gaussian_evidence_prune_info,23,1,True,7,43,1,0.9976942910719973,0.9976942910719973,True,1.0286040561331866,0.9970286988359843,0.1200661223864506,0.9883560753793474
reliable,marked_gaussian_evidence_prune_info,23,2,True,7,43,1,0.9976942910719973,0.9976942910719973,False,,,,
reliable,marked_gaussian_evidence_prune_info,24,1,True,7,41,1,0.9978742781958332,0.9978742781958332,True,1.029040670684307,0.9970277014392173,0.04687810512051207,0.9913217085835299
reliable,marked_gaussian_evidence_prune_info,24,2,True,7,41,1,0.9978742781958332,0.9978742781958332,False,,,,
reliable,marked_gaussian_evidence_prune_info,25,1,True,7,37,1,0.997677342438496,0.997677342438496,True,1.0281889000641031,0.9971333729408035,0.11109578156562097,0.9887446447156162
reliable,marked_gaussian_evidence_prune_info,25,2,True,7,37,1,0.997677342438496,0.997677342438496,False,,,,
reliable,marked_gaussian_evidence_prune_info,26,1,True,7,34,1,0.997965172785557,0.997965172785557,True,1.032637763015539,0.9966239202212968,0.1446768418821758,0.9906932731305189
reliable,marked_gaussian_evidence_prune_info,26,2,True,7,34,1,0.997965172785557,0.997965172785557,False,,,,
reliable,marked_gaussian_evidence_prune_info,27,1,True,7,37,1,0.9980461135110177,0.9980461135110177,True,1.0335865377075277,0.9965018179460897,0.09425574860562583,0.9909746703935309
reliable,marked_gaussian_evidence_prune_info,27,2,True,7,37,1,0.9980461135110177,0.9980461135110177,False,,,,
reliable,marked_gaussian_evidence_prune_info,28,1,True,6,34,1,0.9974762941709322,0.9974762941709322,True,1.0353888783272471,0.9963123442615046,0.14609414399609785,0.9817686326040413
reliable,marked_gaussian_evidence_prune_info,28,2,True,6,34,1,0.9974762941709322,0.9974762941709322,False,,,,
reliable,marked_gaussian_evidence_prune_info,29,1,True,6,36,1,0.9977438052373045,0.9977438052373045,True,1.0429490744606271,0.9954267932576558,0.06595437955072765,0.9843256633871597
reliable,marked_gaussian_evidence_prune_info,29,2,True,6,36,1,0.9977438052373045,0.9977438052373045,False,,,,
reliable,marked_gaussian_evidence_prune_info,30,1,True,6,34,1,0.9978574162083406,0.9978574162083406,True,1.0415172085582802,0.9956184255704469,0.10946912424036814,0.9875921786858962
reliable,marked_gaussian_evidence_prune_info,30,2,True,6,34,1,0.9978574162083406,0.9978574162083406,False,,,,
reliable,marked_gaussian_evidence_prune_info,31,1,True,6,39,1,0.997824494092969,0.997824494092969,True,1.0412070831124707,0.9956581241303225,0.08829915880796961,0.9865906588509751
reliable,marked_gaussian_evidence_prune_info,31,2,True,6,39,1,0.997824494092969,0.997824494092969,False,,,,
reliable,marked_gaussian_evidence_prune_info,32,1,True,7,39,1,0.9975611558327081,0.9975611558327081,True,1.0432883039945742,0.9954203540399427,0.1276275268101563,0.9811208510901211
reliable,marked_gaussian_evidence_prune_info,32,2,True,7,39,1,0.9975611558327081,0.9975611558327081,False,,,,
reliable,marked_gaussian_evidence_prune_info,33,1,True,7,43,1,0.9977949273571303,0.9977949273571303,True,1.0486085627941368,0.994794472844445,0.13037048703411427,0.9845056768502969
reliable,marked_gaussian_evidence_prune_info,33,2,True,7,43,1,0.9977949273571303,0.9977949273571303,False,,,,
reliable,marked_gaussian_evidence_prune_info,34,1,True,7,43,1,0.9981055259758002,0.9981055259758002,True,1.045221961814997,0.9951889476101635,0.06686490791099757,0.9904477252742624
reliable,marked_gaussian_evidence_prune_info,34,2,True,7,43,1,0.9981055259758002,0.9981055259758002,False,,,,
reliable,marked_gaussian_evidence_prune_info,35,1,True,7,46,1,0.9975052525907734,0.9975052525907734,True,1.042080516930707,0.9955501321273134,0.07119023561182705,0.9791521038550204
reliable,marked_gaussian_evidence_prune_info,35,2,True,7,46,1,0.9975052525907734,0.9975052525907734,False,,,,
reliable,marked_gaussian_evidence_prune_info,36,1,True,7,42,1,0.9977434826857051,0.9977434826857051,True,1.0438448803902416,0.9953347381131045,0.06371735568738825,0.9848796720049333
reliable,marked_gaussian_evidence_prune_info,36,2,True,7,42,1,0.9977434826857051,0.9977434826857051,False,,,,
reliable,marked_gaussian_evidence_prune_info,37,1,True,8,42,1,0.998253193579996,0.998253193579996,True,1.049268826871432,0.9946872493303544,0.09117330618167116,0.9912267418095096
reliable,marked_gaussian_evidence_prune_info,37,2,True,8,42,1,0.998253193579996,0.998253193579996,False,,,,
reliable,marked_gaussian_evidence_prune_info,38,1,True,8,40,1,0.9978756201482659,0.9978756201482659,True,1.0416965365394457,0.9955890706475099,0.11920467821727368,0.9862512343195649
reliable,marked_gaussian_evidence_prune_info,38,2,True,8,40,1,0.9978756201482659,0.9978756201482659,False,,,,
reliable,marked_gaussian_evidence_prune_info,39,1,True,8,42,1,0.9978509342928527,0.9978509342928527,True,1.041179282904934,0.9956458361215749,0.13080897192112637,0.9865587290753322
reliable,marked_gaussian_evidence_prune_info,39,2,True,8,42,1,0.9978509342928527,0.9978509342928527,False,,,,
reliable,marked_gaussian_evidence_prune_info,40,1,True,8,40,1,0.9980954023631906,0.9980954023631906,True,1.0433987757526326,0.9953748108624358,0.08858551246905268,0.989532970960418
reliable,marked_gaussian_evidence_prune_info,40,2,True,8,40,1,0.9980954023631906,0.9980954023631906,False,,,,
reliable,marked_gaussian_evidence_prune_info,41,1,True,8,40,1,0.9976107740817405,0.9976107740817405,True,1.037598797313354,0.9960504065250538,0.07037480290136493,0.9830899730461086
reliable,marked_gaussian_evidence_prune_info,41,2,True,8,40,1,0.9976107740817405,0.9976107740817405,False,,,,
reliable,marked_gaussian_evidence_prune_info,42,1,True,8,39,1,0.9813700310439877,0.9813700310439877,True,1.0403656912265866,0.9957111983739703,0.1352366596943447,0.9835459684942005
reliable,marked_gaussian_evidence_prune_info,42,2,True,8,39,1,0.9813700310439877,0.9813700310439877,False,,,,
reliable,marked_gaussian_evidence_prune_info,43,1,True,8,43,1,0.9618103596620139,0.9618103596620139,True,1.0470756452085348,0.9949017578229091,0.0833394835762643,0.9849920569715468
reliable,marked_gaussian_evidence_prune_info,43,2,True,8,43,1,0.9618103596620139,0.9618103596620139,True,1.0000000233127522,0.9999999989520684,54.83688755796934,7.166534021091432e-50
reliable,marked_gaussian_evidence_prune_info,44,1,True,8,41,1,0.9415497059686839,0.9415497059686839,True,1.0469817986912726,0.9949433368495583,0.07579585839954701,0.9899319640825784
reliable,marked_gaussian_evidence_prune_info,44,2,True,8,41,1,0.9415497059686839,0.9415497059686839,False,,,,
reliable,marked_gaussian_evidence_prune_info,45,1,True,8,46,1,0.9215677727247745,0.9215677727247745,True,1.046364678030839,0.9950560677837735,0.07599994338219847,0.9921284596083175
reliable,marked_gaussian_evidence_prune_info,45,2,True,8,46,1,0.9215677727247745,0.9215677727247745,False,,,,
reliable,marked_gaussian_evidence_prune_info,46,1,True,8,43,1,0.883919625140844,0.883919625140844,True,1.0474518610331602,0.9949157292243336,0.05281856519235835,0.9861087886726341
reliable,marked_gaussian_evidence_prune_info,46,2,True,8,43,1,0.883919625140844,0.883919625140844,False,,,,
