sequence,condition,arm,frames,ospa,gospa,loc2,miss2,false2,countError,raw_bytes,delivered_raw_bytes,wire_bytes,runtime_s
v2xt_0001,reliable,marked_gaussian_evidence_known_censor,240,8.768465733595075,25.357382230032854,22.008372832255432,487.2,141.15,4.80625,13912320,13912320,18313216,236.47397575
v2xt_0001,reliable,marked_gaussian_evidence_guarded_scalar_known_censor,240,8.837588150726898,25.46076155163475,18.25078449363742,495.6,141.45,4.91875,15385792,15385792,19886080,293.8084089166667
v2xt_0001,reliable,marked_lineage_known_censor,240,8.578221947309494,24.95852179020458,18.608139552991794,467.25,143.55,4.495833333333334,6789336,6789336,11317248,94.05561441666667
v2xt_0001,intermittent,marked_gaussian_evidence_known_censor,240,8.665815262175155,25.059743657900558,20.69503640530298,476.25,138.6,4.689583333333333,20055776,14631584,24473600,356.96245508333334
v2xt_0001,intermittent,marked_gaussian_evidence_guarded_scalar_known_censor,240,8.716755484020966,25.14933113426203,19.788138613187055,481.2,138.75,4.75625,19873440,14299648,24506368,406.940458625
v2xt_0001,intermittent,marked_lineage_known_censor,240,8.266762390051785,24.131557718075893,19.01774603028297,431.7,138.15,4.077083333333333,4228656,3455384,9383936,27.757125666666667
