condition,arm,frame,robot,previous,births,predicted,local,local_pruned,received,pre_fusion_prune,fusion_pruned,retained,local_lost_at_fusion,remote_only_retained,delta
reliable,marked_gaussian_evidence_known_censor,32,2,80,0,80,13,67,True,92,10,82,3,72,2
reliable,marked_gaussian_evidence_known_censor,33,1,89,10,99,96,3,True,96,1,95,1,0,6
reliable,marked_gaussian_evidence_known_censor,33,2,82,0,82,13,69,True,96,7,89,1,77,7
reliable,marked_gaussian_evidence_known_censor,34,1,95,9,104,100,4,True,100,3,97,3,0,2
reliable,marked_gaussian_evidence_known_censor,34,2,89,0,89,17,72,True,100,10,90,3,76,1
reliable,marked_gaussian_evidence_known_censor,35,1,97,10,107,104,3,True,104,1,103,1,0,6
reliable,marked_gaussian_evidence_known_censor,35,2,90,0,90,17,73,True,104,7,97,1,81,7
reliable,marked_gaussian_evidence_known_censor,36,1,103,9,112,104,8,True,104,5,99,5,0,-4
reliable,marked_gaussian_evidence_known_censor,36,2,97,0,97,21,76,True,104,11,93,5,77,-4
reliable,marked_gaussian_evidence_known_censor,37,1,99,9,108,105,3,True,105,3,102,3,0,3
reliable,marked_gaussian_evidence_known_censor,37,2,93,0,93,17,76,True,105,9,96,3,82,3
reliable,marked_gaussian_evidence_known_censor,38,1,102,10,112,106,6,True,106,5,101,5,0,-1
reliable,marked_gaussian_evidence_known_censor,38,2,96,0,96,17,79,True,106,13,93,5,81,-3
reliable,marked_gaussian_evidence_known_censor,39,1,101,10,111,108,3,True,108,2,106,2,0,5
reliable,marked_gaussian_evidence_known_censor,39,2,93,0,93,13,80,True,108,10,98,2,87,5
reliable,marked_gaussian_evidence_known_censor,40,1,106,10,116,110,6,True,110,5,105,5,0,-1
reliable,marked_gaussian_evidence_known_censor,40,2,98,0,98,15,83,True,110,13,97,5,87,-1
reliable,marked_gaussian_evidence_known_censor,41,1,105,10,115,112,3,True,112,2,110,2,0,5
reliable,marked_gaussian_evidence_known_censor,41,2,97,0,97,11,86,True,112,11,101,2,92,4
reliable,marked_gaussian_evidence_known_censor,42,1,110,10,120,114,6,True,114,5,109,5,0,-1
reliable,marked_gaussian_evidence_known_censor,42,2,101,0,101,13,88,True,114,13,101,5,93,0
reliable,marked_gaussian_evidence_known_censor,43,1,109,10,119,117,2,True,117,1,116,1,0,7
reliable,marked_gaussian_evidence_known_censor,43,2,101,0,101,9,92,True,117,9,108,1,100,7
reliable,marked_gaussian_evidence_known_censor,44,1,116,10,126,120,6,True,120,6,114,6,0,-2
reliable,marked_gaussian_evidence_known_censor,44,2,108,1,109,15,94,True,120,14,106,6,97,-2
reliable,marked_gaussian_evidence_known_censor,45,1,114,11,125,123,2,True,123,1,122,1,0,8
reliable,marked_gaussian_evidence_known_censor,45,2,106,0,106,9,97,True,123,9,114,1,106,8
reliable,marked_gaussian_evidence_known_censor,46,1,122,10,132,126,6,True,126,5,121,5,0,-1
reliable,marked_gaussian_evidence_known_censor,46,2,114,0,114,14,100,True,126,14,112,5,103,-2
reliable,marked_gaussian_evidence_known_censor,47,1,121,10,131,129,2,True,129,1,128,1,0,7
reliable,marked_gaussian_evidence_known_censor,47,2,112,0,112,10,102,True,129,9,120,1,111,8
reliable,marked_gaussian_evidence_known_censor,48,1,128,10,138,132,6,True,132,5,127,5,0,-1
reliable,marked_gaussian_evidence_known_censor,48,2,120,0,120,13,107,True,132,13,119,5,111,-1
reliable,marked_gaussian_evidence_known_censor,49,1,127,10,137,135,2,True,135,1,134,1,0,7
reliable,marked_gaussian_evidence_known_censor,49,2,119,0,119,10,109,True,135,9,126,1,117,7
reliable,marked_gaussian_evidence_known_censor,50,1,134,10,144,138,6,True,138,5,133,5,0,-1
reliable,marked_gaussian_evidence_known_censor,50,2,126,0,126,14,112,True,138,97,41,5,32,-85
reliable,marked_gaussian_evidence_known_censor,51,1,133,10,143,141,2,True,142,1,141,1,1,8
reliable,marked_gaussian_evidence_known_censor,51,2,41,1,42,10,32,True,142,12,130,1,121,89
reliable,marked_gaussian_evidence_known_censor,52,1,141,10,151,144,7,True,144,5,139,5,0,-2
reliable,marked_gaussian_evidence_known_censor,52,2,130,0,130,13,117,True,144,17,127,5,119,-3
reliable,marked_gaussian_evidence_known_censor,53,1,139,10,149,132,17,True,132,1,131,1,0,-8
reliable,marked_gaussian_evidence_known_censor,53,2,127,0,127,9,118,True,132,12,120,1,112,-7
reliable,marked_gaussian_evidence_known_censor,54,1,131,10,141,136,5,True,136,4,132,4,0,1
reliable,marked_gaussian_evidence_known_censor,54,2,120,0,120,13,107,True,136,17,119,4,110,-1
reliable,marked_gaussian_evidence_known_censor,55,1,132,11,143,139,4,True,139,2,137,2,0,5
reliable,marked_gaussian_evidence_known_censor,55,2,119,0,119,12,107,True,139,7,132,2,122,13
reliable,marked_gaussian_evidence_known_censor,56,1,137,11,148,143,5,True,143,3,140,3,0,3
reliable,marked_gaussian_evidence_known_censor,56,2,132,0,132,14,118,True,143,6,137,3,126,5
reliable,marked_gaussian_evidence_known_censor,57,1,140,10,150,146,4,True,146,2,144,2,0,4
reliable,marked_gaussian_evidence_known_censor,57,2,137,0,137,13,124,True,146,6,140,2,129,3
reliable,marked_gaussian_evidence_known_censor,58,1,144,10,154,150,4,True,150,2,148,2,0,4
reliable,marked_gaussian_evidence_known_censor,58,2,140,0,140,13,127,True,150,6,144,2,133,4
reliable,marked_gaussian_evidence_known_censor,59,1,148,10,158,154,4,True,155,2,153,2,1,5
reliable,marked_gaussian_evidence_known_censor,59,2,144,1,145,13,132,True,155,7,148,2,137,4
reliable,marked_gaussian_evidence_known_censor,60,1,153,10,163,158,5,True,160,2,158,2,2,5
reliable,marked_gaussian_evidence_known_censor,60,2,148,1,149,15,134,True,160,6,154,2,141,6
reliable,marked_gaussian_evidence_known_censor,61,1,158,10,168,156,12,True,159,6,153,6,3,-5
reliable,marked_gaussian_evidence_known_censor,61,2,154,3,157,18,139,True,159,11,148,6,136,-6
reliable,marked_gaussian_evidence_known_censor,62,1,153,9,162,157,5,True,162,2,160,2,5,7
reliable,marked_gaussian_evidence_known_censor,62,2,148,3,151,16,135,True,162,10,152,2,138,4
reliable,marked_gaussian_evidence_known_censor,63,1,160,9,169,163,6,True,166,3,163,3,3,3
reliable,marked_gaussian_evidence_known_censor,63,2,152,1,153,19,134,True,166,9,157,3,141,5
reliable,marked_gaussian_evidence_known_censor,64,1,163,9,172,165,7,True,173,1,172,1,8,9
reliable,marked_gaussian_evidence_known_censor,64,2,157,3,160,21,139,True,173,8,165,1,145,8
reliable,marked_gaussian_evidence_known_censor,65,1,172,9,181,171,10,True,178,4,174,4,7,2
reliable,marked_gaussian_evidence_known_censor,65,2,165,3,168,26,142,True,178,10,168,4,146,3
reliable,marked_gaussian_evidence_known_censor,66,1,174,11,185,177,8,True,184,2,182,2,7,8
reliable,marked_gaussian_evidence_known_censor,66,2,168,2,170,24,146,True,184,8,176,2,154,8
reliable,marked_gaussian_evidence_known_censor,67,1,182,9,191,178,13,True,186,3,183,3,8,1
reliable,marked_gaussian_evidence_known_censor,67,2,176,1,177,24,153,True,186,13,173,3,152,-3
reliable,marked_gaussian_evidence_known_censor,68,1,183,10,193,183,10,True,192,1,191,1,9,8
reliable,marked_gaussian_evidence_known_censor,68,2,173,1,174,24,150,True,192,6,186,1,163,13
reliable,marked_gaussian_evidence_known_censor,69,1,191,11,202,189,13,True,198,2,196,2,9,5
reliable,marked_gaussian_evidence_known_censor,69,2,186,1,187,29,158,True,198,11,187,2,160,1
reliable,marked_gaussian_evidence_known_censor,70,1,196,10,206,190,16,True,201,1,200,1,11,4
