condition,arm,frame,robot,previous,births,predicted,local,local_pruned,received,pre_fusion_prune,fusion_pruned,retained,local_lost_at_fusion,remote_only_retained,delta
reliable,marked_gaussian_evidence_prune_info,32,2,39,0,39,13,26,True,45,6,39,2,28,0
reliable,marked_gaussian_evidence_prune_info,33,1,39,10,49,47,2,True,47,4,43,4,0,4
reliable,marked_gaussian_evidence_prune_info,33,2,39,0,39,14,25,True,47,4,43,1,30,4
reliable,marked_gaussian_evidence_prune_info,34,1,43,9,52,49,3,True,49,6,43,6,0,0
reliable,marked_gaussian_evidence_prune_info,34,2,43,0,43,17,26,True,49,6,43,2,28,0
reliable,marked_gaussian_evidence_prune_info,35,1,43,10,53,51,2,True,51,5,46,5,0,3
reliable,marked_gaussian_evidence_prune_info,35,2,43,0,43,18,25,True,51,5,46,2,30,3
reliable,marked_gaussian_evidence_prune_info,36,1,46,9,55,49,6,True,49,7,42,7,0,-4
reliable,marked_gaussian_evidence_prune_info,36,2,46,0,46,20,26,True,49,7,42,4,26,-4
reliable,marked_gaussian_evidence_prune_info,37,1,42,9,51,48,3,True,48,6,42,6,0,0
reliable,marked_gaussian_evidence_prune_info,37,2,42,0,42,17,25,True,48,6,42,3,28,0
reliable,marked_gaussian_evidence_prune_info,38,1,42,10,52,47,5,True,47,7,40,7,0,-2
reliable,marked_gaussian_evidence_prune_info,38,2,42,0,42,17,25,True,47,7,40,4,27,-2
reliable,marked_gaussian_evidence_prune_info,39,1,40,10,50,47,3,True,47,5,42,5,0,2
reliable,marked_gaussian_evidence_prune_info,39,2,40,0,40,14,26,True,47,5,42,2,30,2
reliable,marked_gaussian_evidence_prune_info,40,1,42,10,52,47,5,True,47,7,40,7,0,-2
reliable,marked_gaussian_evidence_prune_info,40,2,42,0,42,15,27,True,47,7,40,4,29,-2
reliable,marked_gaussian_evidence_prune_info,41,1,40,10,50,47,3,True,47,7,40,7,0,0
reliable,marked_gaussian_evidence_prune_info,41,2,40,0,40,12,28,True,47,7,40,3,31,0
reliable,marked_gaussian_evidence_prune_info,42,1,40,10,50,46,4,True,46,7,39,7,0,-1
reliable,marked_gaussian_evidence_prune_info,42,2,40,0,40,12,28,True,46,7,39,4,31,-1
reliable,marked_gaussian_evidence_prune_info,43,1,39,10,49,47,2,True,47,4,43,4,0,4
reliable,marked_gaussian_evidence_prune_info,43,2,39,0,39,10,29,True,47,4,43,1,34,4
reliable,marked_gaussian_evidence_prune_info,44,1,43,10,53,48,5,True,48,7,41,7,0,-2
reliable,marked_gaussian_evidence_prune_info,44,2,43,1,44,14,30,True,48,7,41,5,32,-2
reliable,marked_gaussian_evidence_prune_info,45,1,41,11,52,50,2,True,50,4,46,4,0,5
reliable,marked_gaussian_evidence_prune_info,45,2,41,0,41,10,31,True,50,4,46,1,37,5
reliable,marked_gaussian_evidence_prune_info,46,1,46,10,56,51,5,True,51,8,43,8,0,-3
reliable,marked_gaussian_evidence_prune_info,46,2,46,0,46,13,33,True,51,8,43,4,34,-3
reliable,marked_gaussian_evidence_prune_info,47,1,43,10,53,51,2,True,51,5,46,5,0,3
reliable,marked_gaussian_evidence_prune_info,47,2,43,0,43,11,32,True,51,5,46,2,37,3
reliable,marked_gaussian_evidence_prune_info,48,1,46,10,56,52,4,True,52,8,44,8,0,-2
reliable,marked_gaussian_evidence_prune_info,48,2,46,0,46,14,32,True,52,8,44,4,34,-2
reliable,marked_gaussian_evidence_prune_info,49,1,44,10,54,52,2,True,52,3,49,3,0,5
reliable,marked_gaussian_evidence_prune_info,49,2,44,0,44,10,34,True,52,3,49,1,40,5
reliable,marked_gaussian_evidence_prune_info,50,1,49,10,59,54,5,True,54,9,45,9,0,-4
reliable,marked_gaussian_evidence_prune_info,50,2,49,0,49,14,35,True,54,9,45,5,36,-4
reliable,marked_gaussian_evidence_prune_info,51,1,45,10,55,54,1,True,55,4,51,4,1,6
reliable,marked_gaussian_evidence_prune_info,51,2,45,1,46,10,36,True,55,4,51,1,42,6
reliable,marked_gaussian_evidence_prune_info,52,1,51,10,61,55,6,True,55,9,46,9,0,-5
reliable,marked_gaussian_evidence_prune_info,52,2,51,0,51,13,38,True,55,9,46,5,38,-5
reliable,marked_gaussian_evidence_prune_info,53,1,46,10,56,44,12,True,44,5,39,5,0,-7
reliable,marked_gaussian_evidence_prune_info,53,2,46,0,46,9,37,True,44,5,39,1,31,-7
